# generated by v6/tsv2/scripts/v5-parity.sh from v6/dl/fixtures/v5-parity.dl6
# v5 engine: dl 0.10.0   repo rev: 6108cf85281964ba6c08c7441f116766754365c6
# files column = distinct top-level examples/*.dl files naming the thing (129-file corpus)
thing	family	files	v6_status
replace_re	fn	16	absent
split	fn	14	absent
json	fn	9	absent
replace	fn	9	absent
strip_prefix	fn	5	absent
trim	fn	5	absent
int	fn	2	absent
lcfirst	fn	1	absent
lower	fn	1	absent
sym	fn	1	absent
norm	fn	0	absent
strip_suffix	fn	0	absent
ucfirst	fn	0	absent
upper	fn	0	absent
json_object	fn	1	partial
json_array	fn	0	partial
gen	op	24	absent
comment	op	20	absent
closure	op	17	absent
scc	op	9	absent
ast_yaml	op	2	absent
glob	op	2	absent
hover_note	op	2	absent
node2vec	op	2	absent
graph_edge	op	1	absent
graph_node	op	1	absent
regex	op	1	absent
strfn	op	0	absent
scan	op	105	covered
diag	op	33	covered
match_line	op	19	covered
jsonp	op	14	covered
ast	op	12	covered
json	op	9	covered
arith	op	2	covered
query	op	2	covered
atom	op	1	covered
cmd	op	1	covered
comparison	op	1	covered
match	op	1	covered
aggregation	op	0	covered
negation	op	0	covered
match_ast	op	14	partial
sg	op	0	partial
diag	rel	33	absent
type_entity	rel	22	absent
call_edge	rel	20	absent
call_def	rel	17	absent
type_edge	rel	15	absent
call_name	rel	12	absent
repo	rel	12	absent
module_edge	rel	9	absent
scip_edge	rel	8	absent
changed	rel	7	absent
comment_node	rel	6	absent
scip_fn_edge	rel	6	absent
true	rel	6	absent
type_sig	rel	6	absent
agent_touch	rel	5	absent
changed_line	rel	5	absent
clock	rel	5	absent
head	rel	5	absent
rel_catalog	rel	5	absent
scip_def	rel	5	absent
scip_name	rel	5	absent
scip_occurrence	rel	5	absent
type_link	rel	5	absent
df_field	rel	4	absent
hook_event	rel	4	absent
loop_over	rel	4	absent
module_unresolved	rel	4	absent
ref	rel	4	absent
scip_local	rel	4	absent
checkout	rel	3	absent
doc_comment	rel	3	absent
env	rel	3	absent
every	rel	3	absent
file_lines	rel	3	absent
fn_catalog	rel	3	absent
node	rel	3	absent
op_catalog	rel	3	absent
string	rel	3	absent
type_shape	rel	3	absent
agent_edit	rel	2	absent
allocates	rel	2	absent
call_edge_rev	rel	2	absent
call_kind	rel	2	absent
checkout_done	rel	2	absent
const_value	rel	2	absent
content	rel	2	absent
crate_edge	rel	2	absent
created	rel	2	absent
def_target	rel	2	absent
df_lit	rel	2	absent
dl_diag	rel	2	absent
doc_node	rel	2	absent
doc_ref	rel	2	absent
effect_cmd	rel	2	absent
effect_log	rel	2	absent
hover_note	rel	2	absent
module_binding	rel	2	absent
module_binding_resolved	rel	2	absent
module_edge_rev	rel	2	absent
module_import	rel	2	absent
nest	rel	2	absent
program	rel	2	absent
propose_clone	rel	2	absent
rel_col	rel	2	absent
rel_count	rel	2	absent
rev	rel	2	absent
rev_behind	rel	2	absent
rev_cmp_want	rel	2	absent
scip_callee_type	rel	2	absent
skill_loaded	rel	2	absent
stmt_ms	rel	2	absent
type_decl_row	rel	2	absent
type_edge_rev	rel	2	absent
type_entity_rev	rel	2	absent
type_lgg	rel	2	absent
type_link_rev	rel	2	absent
call_def_rev	rel	1	absent
checkout_plan	rel	1	absent
child	rel	1	absent
const_value_rev	rel	1	absent
df_arg_rev	rel	1	absent
df_field_rev	rel	1	absent
df_lit_rev	rel	1	absent
df_node_repo	rel	1	absent
df_node_repo_rev	rel	1	absent
df_node_rev	rel	1	absent
diag_mute	rel	1	absent
doc_tag	rel	1	absent
git_ref	rel	1	absent
graph_edge	rel	1	absent
graph_node	rel	1	absent
module_binding_resolved_rev	rel	1	absent
module_binding_rev	rel	1	absent
module_unresolved_rev	rel	1	absent
propose_extract	rel	1	absent
query_log	rel	1	absent
rev_advanced	rel	1	absent
scip_binding	rel	1	absent
scip_impl	rel	1	absent
scip_ref	rel	1	absent
scip_want	rel	1	absent
similar	rel	1	absent
template_parts	rel	1	absent
unresolved	rel	1	absent
verb_catalog	rel	1	absent
diag_stage	rel	0	absent
file	rel	16	covered
call_site	rel	11	covered
df_node	rel	9	covered
df_arg	rel	4	covered
df_edge	rel	3	covered
df_param	rel	3	covered
