# extract ratchet, accuracy: one row per (lang, family, tier, oracle) = the measure id {lang}.{family}.{tier}.{oracle}, every row scored by score_case over ONE extraction per (lang, tier) against the committed oracle tsvs;
# oracle is the oracle's TOOL plus an optional variant joined by '-' (never a file name, never a dot); the tsv the id resolves to is oracle_files() in tests/bench/mod.rs.
# recall = overlap/|oracle|, precision = overlap/|ours|, percent; check: 0.10 pt; cost lives beside this in RATCHET.cost.tsv; local-only (COMMON.md), never CI; bump: RATCHET_BUMP=1 improves floors, RATCHET_FORCE=1 rewrites.
lang	family	tier	oracle	recall	precision	measured_at_sha
go	call	syntax	codeql2	98.97	90.79	cf46c15cc
go	call	syntax	oracle-vta-bare	85.40	81.60	cf46c15cc
go	call	checker	codeql2	99.00	90.86	e0b93498f
go	module	syntax	oracle	100.00	100.00	cf46c15cc
go	type	syntax	oracle-typedecl	85.64	97.22	cf46c15cc
go	type	checker	oracle-typedecl	85.43	97.14	e0b93498f
rust	call	syntax	codeql	65.27	77.15	1b2464c9b
rust	call	syntax	oracle	76.19	50.56	1b2464c9b
rust	call	syntax	scip_override	79.36	45.85	1b2464c9b
rust	call	checker	codeql	84.28	83.64	f58cc6666
rust	call	checker	oracle	93.66	51.82	41333391a
rust	call	checker	scip_override	77.09	36.98	41333391a
rust	type	syntax	oracle-typedecl	76.99	93.29	646e65374
rust	type	checker	oracle-typedecl	84.19	98.36	646e65374
ts5	call	syntax	codeql2	92.07	71.16	41333391a
ts5	call	syntax	oracle	88.20	76.14	41333391a
ts5	call	checker	codeql2	97.33	70.37	41333391a
ts5	call	checker	oracle	95.02	76.74	41333391a
ts5	module	syntax	depcruise	99.95	100.00	1b2464c9b
ts5	module	syntax	madge	99.95	100.00	1b2464c9b
ts5	module	checker	depcruise	99.95	100.00	1b2464c9b
ts5	module	checker	madge	99.95	100.00	1b2464c9b
