repo	lang	arm	sha	files	loc	rows_call	rows_type	rows_module	unresolved	wall_s	peak_rss_mb	overcap	extract_describe
dy	go	diet	8257349b5872d98052155e1f4fe5a79f2b4e8f26	339	105372	9309	356	502	6182	0.5	108.1	0	dcg-flip-2026-08-11-1741-gcdc3018b9
gin	go	diet	dcaa4296d111981ffb31ac3eba90bb63e1eb5ab9	98	23801	4254	46	31	1508	0.3	47.0	0	dcg-flip-2026-08-11-1741-gcdc3018b9
hugo	go	diet	850f11c060b45628b0e010afae0c2aee4dfbdda8	907	229002	28963	1639	2158	14242	1.0	194.6	0	dcg-flip-2026-08-11-1741-gcdc3018b9cad
lask	python	diet	d318b683471101618febed18996405ad26462110	83	18345	1649	189	0	0	0.1	32.7	0	dcg-flip-2026-08-11-1743-ge89cd8ff9
lick	python	diet	36baa15ff831b939a22bc527cd76ce653ef6f66d	79	28581	2365	440	0	0	0.2	46.3	0	dcg-flip-2026-08-11-1743-ge89cd8ff9
requests	python	diet	5460f467b02e49471c0fd6cfc9ca0adab6351f98	37	12032	1079	162	0	0	0.1	30.6	0	dcg-flip-2026-08-11-1743-ge89cd8ff9c
lacritty	rust	diet	ede2ac144da4dec4c075bfa803aacf3b3739bce6	85	33294	5819	444	556	5099	0.2	98.8	0	dcg-flip-2026-08-11-1744-gca3da6690
lap	rust	diet	6982fb1c98c7247e38a6d4f04191b94e30497e7b	119	42075	5180	230	410	4019	0.4	417.9	0	dcg-flip-2026-08-11-1744-gca3da6690a
ripgrep	rust	diet	3fce3b5bb0236da2df6d99672afb8a719642eca7	63	35782	7289	255	258	3993	0.2	100.2	0	dcg-flip-2026-08-11-1744-gca3da6690
serde	rust	diet	a874a1b1bb1cc16cf5ee3b1b7b527af5705742bb	53	26244	2874	223	258	2627	0.3	121.7	0	dcg-flip-2026-08-11-1744-gca3da6690c
tokio	rust	diet	ea91b33ca57ff0581b38e735cc108f831bccbdaa	497	128888	8825	932	1055	9952	0.4	142.7	0	dcg-flip-2026-08-11-1744-gca3da6690
hono	ts	diet	e2740d5a1bd0b4254e517e3af8b60789284bc7bd	385	85109	12865	1651	1543	2285	0.3	104.7	0	dcg-flip-2026-08-11-1742-g05f95d58fe
xpress	ts	diet	023767fe9872e029271df1418f73401bff20ff40	141	21475	1882	0	0	2256	0.1	38.9	0	dcg-flip-2026-08-11-1742-g05f95d58ff
zod	ts	diet	b801439b5fb160d651084ff7d7c27a61e24a7334	505	97220	12238	2781	575	5193	0.3	123.8	0	dcg-flip-2026-08-11-1742-g05f95d58f
ripgrep	rust	checker	3fce3b5bb0236da2df6d99672afb8a719642eca7	63	35782	7289	255	258	3993	3.6	92.2	0	dcg-flip-2026-08-11-1745-g10584cd12
serde	rust	checker	a874a1b1bb1cc16cf5ee3b1b7b527af5705742bb	53	26244	2874	223	258	2627	5.4	119.2	0	dcg-flip-2026-08-11-1745-g10584cd12
alacritty	rust	checker	ede2ac144da4dec4c075bfa803aacf3b3739bce6	85	33294	5819	444	556	5099	4.0	90.5	0	dcg-flip-2026-08-11-1745-g10584cd12
tokio	rust	checker	ea91b33ca57ff0581b38e735cc108f831bccbdaa	497	128888	9178	990	1055	9622	5.2	863.2	0	dcg-flip-2026-08-11-1747-gc448960f0
clap	rust	checker	6982fb1c98c7247e38a6d4f04191b94e30497e7b	119	42075	5296	252	410	3911	2.3	609.3	0	dcg-flip-2026-08-11-1747-gc448960f0
