cmd/tsgo/sys.go	childProcess	internal/contentmapper/hostimpl.go	processExitState
cmd/tsgo/sys.go	osSys	internal/contentmapper/hostimpl.go	Spawner
cmd/tsgo/sys.go	osSys	internal/execute/tsc/compile.go	System
cmd/tsgo/sys.go	osSys	internal/module/types.go	ResolutionHost
cmd/tsgo/sys.go	osSys	internal/tsoptions/tsconfigparsing.go	ParseConfigHost
cmd/tsgo/sys.go	osSys	internal/vfs/vfs.go	FS
cmd/tsgo/sys.go	osSys	internal/vfs/vfstest/vfstest.go	Clock
internal/api/callbackfs.go	callbackFS	internal/ipc/conn.go	Conn
internal/api/callbackfs.go	callbackFS	internal/vfs/vfs.go	FS
internal/api/encoder/decoder.go	astDecoder	internal/ast/ast.go	Node
internal/api/encoder/decoder.go	astDecoder	internal/ast/ast.go	NodeList
internal/api/encoder/decoder.go	astDecoder	internal/ast/ast_generated.go	NodeFactory
internal/api/encoder/encoder.go	NodeIndexTable	internal/ast/ast.go	Node
internal/api/proto.go	APIFileChangeSummary	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	APIFileChanges	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	CheckerNodeParams	internal/api/proto.go	NodeHandle
internal/api/proto.go	CheckerNodeParams	internal/api/proto.go	ProjectID
internal/api/proto.go	CheckerNodeParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	CheckerSignatureParams	internal/api/proto.go	ProjectID
internal/api/proto.go	CheckerSignatureParams	internal/api/proto.go	SignatureID
internal/api/proto.go	CheckerSignatureParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	CheckerSymbolParams	internal/api/proto.go	ProjectID
internal/api/proto.go	CheckerSymbolParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	CheckerSymbolParams	internal/api/proto.go	SymbolID
internal/api/proto.go	CheckerTypeParams	internal/api/proto.go	ProjectID
internal/api/proto.go	CheckerTypeParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	CheckerTypeParams	internal/api/proto.go	TypeID
internal/api/proto.go	CompletionEntryResponse	internal/api/proto.go	CompletionEntryLabelDetailsResponse
internal/api/proto.go	CompletionEntryResponse	internal/api/proto.go	SymbolResponse
internal/api/proto.go	CompletionInfoResponse	internal/api/proto.go	CompletionEntryResponse
internal/api/proto.go	ConfigFileResponse	internal/api/proto.go	DiagnosticResponse
internal/api/proto.go	ConfigFileResponse	internal/core/compileroptions.go	CompilerOptions
internal/api/proto.go	ConfigFileResponse	internal/core/projectreference.go	ProjectReference
internal/api/proto.go	ConfigFileResponse	internal/core/typeacquisition.go	TypeAcquisition
internal/api/proto.go	DiagnosticResponse	internal/api/proto.go	DiagnosticResponse
internal/api/proto.go	DiagnosticResponse	internal/diagnostics/diagnostics.go	Category
internal/api/proto.go	DocumentIdentifier	internal/glob/glob.go	element
internal/api/proto.go	DocumentIdentifier	internal/lsp/lsproto/lsp.go	DocumentUri
internal/api/proto.go	EmitOutputResponse	internal/api/proto.go	DiagnosticResponse
internal/api/proto.go	EmitOutputResponse	internal/api/proto.go	EmitOutputFile
internal/api/proto.go	EmitParams	internal/api/proto.go	ProjectID
internal/api/proto.go	EmitParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	EmitResponse	internal/api/proto.go	DiagnosticResponse
internal/api/proto.go	FormatNodeForInsertionParams	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	FormatNodeForInsertionParams	internal/api/proto.go	ProjectID
internal/api/proto.go	FormatNodeForInsertionParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetBaseTypeOfLiteralTypeParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetBaseTypeOfLiteralTypeParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetBaseTypeOfLiteralTypeParams	internal/api/proto.go	TypeID
internal/api/proto.go	GetCompletionsAtPositionParams	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	GetCompletionsAtPositionParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetCompletionsAtPositionParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetContextualTypeParams	internal/api/proto.go	NodeHandle
internal/api/proto.go	GetContextualTypeParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetContextualTypeParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetDefaultProjectForFileParams	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	GetDefaultProjectForFileParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetDiagnosticsParams	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	GetDiagnosticsParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetDiagnosticsParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetImportAdderEditsParams	internal/api/proto.go	DocumentIdentifier
internal/api/proto.go	GetImportAdderEditsParams	internal/api/proto.go	ImportAdderAction
internal/api/proto.go	GetImportAdderEditsParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetImportAdderEditsParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetIntrinsicTypeParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetIntrinsicTypeParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetMemberInModuleExportsParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetMemberInModuleExportsParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetMemberInModuleExportsParams	internal/api/proto.go	SymbolID
internal/api/proto.go	GetNonNullableTypeParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetNonNullableTypeParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetNonNullableTypeParams	internal/api/proto.go	TypeID
internal/api/proto.go	GetParameterTypeParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetParameterTypeParams	internal/api/proto.go	SignatureID
internal/api/proto.go	GetParameterTypeParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetProjectDiagnosticsParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetProjectDiagnosticsParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetPropertyOfTypeParams	internal/api/proto.go	ProjectID
internal/api/proto.go	GetPropertyOfTypeParams	internal/api/proto.go	SnapshotID
internal/api/proto.go	GetPropertyOfTypeParams	internal/api/proto.go	TypeID
