_tools/cmd	diet_scip	1	0	290	1
_tools/customlint	diet_scip	19	0	279	161
_tools/gen-proto	diet_scip	2	0	283	63
cmd/tsgo	diet_scip	9	0	255	16
internal/api	diet_scip	20	0	379	2543
internal/ast	diet_scip	25	0	551	5748
internal/astnav	diet_scip	3	0	319	67
internal/binder	diet_scip	4	0	319	617
internal/bundled	diet_scip	7	0	366	44
internal/checker	diet_scip	27	0	1048	13885
internal/collections	diet_scip	10	0	356	69
internal/compiler	diet_scip	18	0	364	632
internal/contentmapper	diet_scip	6	0	302	325
internal/core	diet_scip	29	0	328	105
internal/debug	diet_scip	2	0	380	19
internal/diagnostics	diet_scip	6	0	777	23
internal/diagnosticwriter	diet_scip	1	0	317	85
internal/evaluator	diet_scip	1	0	306	2
internal/execute	diet_scip	47	0	445	1748
internal/format	diet_scip	15	0	392	588
internal/fourslash	diet_scip	4365	0	4573	21317
internal/fswatch	diet_scip	28	0	497	1587
internal/glob	diet_scip	1	0	379	16
internal/ipc	diet_scip	11	0	401	84
internal/jsnum	diet_scip	7	0	573	236
internal/json	diet_scip	1	0	448	4
internal/jsonrpc	diet_scip	2	0	334	10
internal/locale	diet_scip	1	0	295	4
internal/ls	diet_scip	76	0	527	3439
internal/lsp	diet_scip	29	0	518	2388
internal/module	diet_scip	5	0	333	522
internal/modulespecifiers	diet_scip	6	0	375	169
internal/nativepath	diet_scip	8	0	367	9
internal/nodebuilder	diet_scip	1	0	359	0
internal/osutil	diet_scip	3	0	261	1
internal/outputpaths	diet_scip	3	0	314	19
internal/packagejson	diet_scip	10	0	314	60
internal/parser	diet_scip	7	0	451	2480
internal/pprof	diet_scip	1	0	306	2
internal/printer	diet_scip	20	0	571	2613
internal/project	diet_scip	66	0	443	2728
internal/pseudochecker	diet_scip	3	0	372	194
internal/repo	diet_scip	1	0	448	0
internal/scanner	diet_scip	5	0	419	772
internal/semver	diet_scip	4	0	410	96
internal/sourcemap	diet_scip	7	0	347	211
internal/spanmap	diet_scip	2	0	383	136
internal/stringutil	diet_scip	9	0	464	67
internal/symlinks	diet_scip	3	0	364	45
internal/testrunner	diet_scip	8	0	398	58
internal/testutil	diet_scip	48	0	412	501
internal/tracing	diet_scip	2	0	467	63
internal/transformers	diet_scip	43	0	523	4865
internal/transpile	diet_scip	1	0	396	2
internal/tsoptions	diet_scip	29	0	529	690
internal/tspath	diet_scip	7	0	366	558
internal/vfs	diet_scip	22	0	519	585
