case	category	oracle_edges	external_edges	ours_edges	overlap	recall_pct	precision_pct	fuzzy_recall_pct	fuzzy_precision_pct
args/assigned_call	args	2	0	0	0	0.00	0.00	0.00	0.00
args/call	args	2	0	0	0	0.00	0.00	0.00	0.00
args/imported_assigned_call	args	2	0	0	0	0.00	0.00	0.00	0.00
args/imported_call	args	2	0	0	0	0.00	0.00	0.00	0.00
args/nested_call	args	3	0	0	0	0.00	0.00	0.00	0.00
args/param_call	args	3	0	0	0	0.00	0.00	0.00	0.00
assignments/chained	assignments	2	0	0	0	0.00	0.00	0.00	0.00
assignments/recursive_tuple	assignments	6	0	0	0	0.00	0.00	0.00	0.00
assignments/starred	assignments	4	0	0	0	0.00	0.00	0.00	0.00
assignments/tuple	assignments	3	0	0	0	0.00	0.00	0.00	0.00
builtins/functions	builtins	0	1	0	0	0.00	0.00	0.00	0.00
builtins/map	builtins	4	1	1	1	25.00	100.00	25.00	100.00
builtins/types	builtins	0	3	0	0	0.00	0.00	0.00	0.00
classes/assigned_call	classes	1	0	0	0	0.00	0.00	0.00	0.00
classes/assigned_self_call	classes	2	0	1	1	50.00	100.00	50.00	100.00
classes/base_class_attr	classes	2	0	0	0	0.00	0.00	0.00	0.00
classes/base_class_calls_child	classes	3	0	0	0	0.00	0.00	0.00	0.00
classes/call	classes	1	0	0	0	0.00	0.00	0.00	0.00
classes/direct_call	classes	2	0	0	0	0.00	0.00	0.00	0.00
classes/imported_attr_access	classes	1	0	0	0	0.00	0.00	0.00	0.00
classes/imported_call	classes	2	0	0	0	0.00	0.00	0.00	0.00
classes/imported_call_without_init	classes	1	0	0	0	0.00	0.00	0.00	0.00
classes/imported_nested_attr_access	classes	1	0	0	0	0.00	0.00	0.00	0.00
classes/instance	classes	2	0	0	0	0.00	0.00	0.00	0.00
classes/nested_call	classes	2	0	1	1	50.00	100.00	50.00	100.00
classes/nested_class_calls	classes	4	0	3	1	25.00	33.33	25.00	33.33
classes/parameter_call	classes	3	0	0	0	0.00	0.00	0.00	0.00
classes/return_call	classes	2	0	0	0	0.00	0.00	0.00	0.00
classes/return_call_direct	classes	2	0	0	0	0.00	0.00	0.00	0.00
classes/self_assign_func	classes	3	0	1	1	33.33	100.00	33.33	100.00
classes/self_assignment	classes	3	0	0	0	0.00	0.00	0.00	0.00
classes/self_call	classes	4	0	2	2	50.00	100.00	50.00	100.00
classes/static_method_call	classes	1	0	0	0	0.00	0.00	0.00	0.00
classes/super_class_return	classes	2	0	0	0	0.00	0.00	0.00	0.00
classes/tuple_assignment	classes	4	0	0	0	0.00	0.00	0.00	0.00
decorators/assigned	decorators	2	0	0	0	0.00	0.00	0.00	0.00
decorators/call	decorators	2	0	0	0	0.00	0.00	0.00	0.00
decorators/nested	decorators	2	0	0	0	0.00	0.00	0.00	0.00
decorators/nested_decorators	decorators	6	0	0	0	0.00	0.00	0.00	0.00
decorators/param_call	decorators	3	0	0	0	0.00	0.00	0.00	0.00
decorators/return	decorators	3	0	0	0	0.00	0.00	0.00	0.00
decorators/return_different_func	decorators	4	0	1	0	0.00	0.00	25.00	100.00
dicts/add_key	dicts	1	0	0	0	0.00	0.00	0.00	0.00
dicts/assign	dicts	1	0	0	0	0.00	0.00	0.00	0.00
dicts/call	dicts	2	0	0	0	0.00	0.00	0.00	0.00
dicts/ext_key	dicts	1	0	0	0	0.00	0.00	0.00	0.00
dicts/nested	dicts	1	0	0	0	0.00	0.00	0.00	0.00
dicts/new_key_param	dicts	2	0	0	0	0.00	0.00	0.00	0.00
dicts/param	dicts	2	0	0	0	0.00	0.00	0.00	0.00
dicts/param_key	dicts	3	0	0	0	0.00	0.00	0.00	0.00
dicts/return	dicts	2	0	0	0	0.00	0.00	0.00	0.00
dicts/return_assign	dicts	2	0	0	0	0.00	0.00	0.00	0.00
dicts/type_coercion	dicts	1	0	0	0	0.00	0.00	0.00	0.00
dicts/update	dicts	1	0	0	0	0.00	0.00	0.00	0.00
direct_calls/assigned_call	direct_calls	2	0	0	0	0.00	0.00	0.00	0.00
direct_calls/imported_return_call	direct_calls	2	0	0	0	0.00	0.00	0.00	0.00
direct_calls/return_call	direct_calls	3	0	0	0	0.00	0.00	0.00	0.00
direct_calls/with_parameters	direct_calls	3	0	0	0	0.00	0.00	0.00	0.00
dynamic/eval	dynamic	1	1	0	0	0.00	0.00	0.00	0.00
