case	category	status	detail	edges	python
args/assigned_call	args	ok		2	Python 3.14.6
args/call	args	ok		2	Python 3.14.6
args/imported_assigned_call	args	ok		2	Python 3.14.6
args/imported_call	args	ok		2	Python 3.14.6
args/nested_call	args	ok		3	Python 3.14.6
args/param_call	args	ok		3	Python 3.14.6
assignments/chained	assignments	ok		2	Python 3.14.6
assignments/recursive_tuple	assignments	ok		6	Python 3.14.6
assignments/starred	assignments	ok		4	Python 3.14.6
assignments/tuple	assignments	ok		3	Python 3.14.6
builtins/functions	builtins	ok		0	Python 3.14.6
builtins/map	builtins	error	TypeError: 'function' object is not iterable at main.py:4	0	Python 3.14.6
builtins/types	builtins	ok		0	Python 3.14.6
classes/assigned_call	classes	ok		1	Python 3.14.6
classes/assigned_self_call	classes	ok		2	Python 3.14.6
classes/base_class_attr	classes	ok		2	Python 3.14.6
classes/base_class_calls_child	classes	ok		3	Python 3.14.6
classes/call	classes	ok		1	Python 3.14.6
classes/direct_call	classes	ok		2	Python 3.14.6
classes/imported_attr_access	classes	ok		1	Python 3.14.6
classes/imported_call	classes	ok		2	Python 3.14.6
classes/imported_call_without_init	classes	ok		1	Python 3.14.6
classes/imported_nested_attr_access	classes	ok		1	Python 3.14.6
classes/instance	classes	ok		2	Python 3.14.6
classes/nested_call	classes	ok		2	Python 3.14.6
classes/nested_class_calls	classes	ok		4	Python 3.14.6
classes/parameter_call	classes	ok		3	Python 3.14.6
classes/return_call	classes	ok		2	Python 3.14.6
classes/return_call_direct	classes	ok		2	Python 3.14.6
classes/self_assign_func	classes	ok		3	Python 3.14.6
classes/self_assignment	classes	ok		3	Python 3.14.6
classes/self_call	classes	ok		4	Python 3.14.6
classes/static_method_call	classes	ok		1	Python 3.14.6
classes/super_class_return	classes	ok		2	Python 3.14.6
classes/tuple_assignment	classes	ok		4	Python 3.14.6
decorators/assigned	decorators	ok		2	Python 3.14.6
decorators/call	decorators	ok		2	Python 3.14.6
decorators/nested	decorators	ok		2	Python 3.14.6
decorators/nested_decorators	decorators	ok		5	Python 3.14.6
decorators/param_call	decorators	ok		3	Python 3.14.6
decorators/return	decorators	ok		3	Python 3.14.6
decorators/return_different_func	decorators	ok		4	Python 3.14.6
dicts/add_key	dicts	ok		1	Python 3.14.6
dicts/assign	dicts	ok		1	Python 3.14.6
dicts/call	dicts	ok		2	Python 3.14.6
dicts/ext_key	dicts	ok		1	Python 3.14.6
dicts/nested	dicts	ok		1	Python 3.14.6
dicts/new_key_param	dicts	ok		2	Python 3.14.6
dicts/param	dicts	ok		2	Python 3.14.6
dicts/param_key	dicts	ok		3	Python 3.14.6
dicts/return	dicts	ok		2	Python 3.14.6
dicts/return_assign	dicts	ok		2	Python 3.14.6
dicts/type_coercion	dicts	ok		1	Python 3.14.6
dicts/update	dicts	ok		1	Python 3.14.6
direct_calls/assigned_call	direct_calls	ok		2	Python 3.14.6
direct_calls/imported_return_call	direct_calls	ok		2	Python 3.14.6
direct_calls/return_call	direct_calls	ok		3	Python 3.14.6
direct_calls/with_parameters	direct_calls	ok		3	Python 3.14.6
