case	category	status	pycg_edges	trace_edges	trace_and_pycg	ours_edges	ours_and_trace	recall_of_covered_pct	matched	contradicted	unjudged
args/assigned_call	args	ok	2	2	2	2	2	100.00	2	0	0
args/call	args	ok	2	2	2	2	2	100.00	2	0	0
args/imported_assigned_call	args	ok	2	2	2	1	1	50.00	1	0	0
args/imported_call	args	ok	2	2	2	1	1	50.00	1	0	0
args/nested_call	args	ok	3	3	3	3	3	100.00	3	0	0
args/param_call	args	ok	3	3	3	2	2	66.67	2	0	0
assignments/chained	assignments	ok	2	2	2	2	2	100.00	2	0	0
assignments/recursive_tuple	assignments	ok	6	6	6	6	6	100.00	6	0	0
assignments/starred	assignments	ok	4	4	4	4	4	100.00	4	0	0
assignments/tuple	assignments	ok	3	3	3	3	3	100.00	3	0	0
builtins/functions	builtins	ok	0	0	0	0	0	0.00	0	0	0
builtins/map	builtins	error	4	0	0	4	0	0.00	0	0	4
builtins/types	builtins	ok	0	0	0	0	0	0.00	0	0	0
classes/assigned_call	classes	ok	1	1	1	1	1	100.00	1	0	0
classes/assigned_self_call	classes	ok	2	2	2	2	2	100.00	2	0	0
classes/base_class_attr	classes	ok	2	2	2	2	2	100.00	2	0	0
classes/base_class_calls_child	classes	ok	3	3	3	3	3	100.00	3	0	0
classes/call	classes	ok	1	1	1	1	1	100.00	1	0	0
classes/direct_call	classes	ok	2	2	2	2	2	100.00	2	0	0
classes/imported_attr_access	classes	ok	1	1	1	1	1	100.00	1	0	0
classes/imported_call	classes	ok	2	2	2	2	2	100.00	2	0	0
classes/imported_call_without_init	classes	ok	1	1	1	1	1	100.00	1	0	0
classes/imported_nested_attr_access	classes	ok	1	1	1	1	1	100.00	1	0	0
classes/instance	classes	ok	2	2	2	2	2	100.00	2	0	0
classes/nested_call	classes	ok	2	2	2	2	2	100.00	2	0	0
classes/nested_class_calls	classes	ok	4	4	4	4	4	100.00	4	0	0
classes/parameter_call	classes	ok	3	3	3	3	3	100.00	3	0	0
classes/return_call	classes	ok	2	2	2	2	2	100.00	2	0	0
classes/return_call_direct	classes	ok	2	2	2	2	2	100.00	2	0	0
classes/self_assign_func	classes	ok	3	3	3	3	3	100.00	3	0	0
classes/self_assignment	classes	ok	3	3	3	3	3	100.00	3	0	0
classes/self_call	classes	ok	4	4	4	4	4	100.00	4	0	0
classes/static_method_call	classes	ok	1	1	1	1	1	100.00	1	0	0
classes/super_class_return	classes	ok	2	2	2	2	2	100.00	2	0	0
classes/tuple_assignment	classes	ok	4	4	4	4	4	100.00	4	0	0
decorators/assigned	decorators	ok	2	2	2	2	2	100.00	2	0	0
decorators/call	decorators	ok	2	2	2	2	2	100.00	2	0	0
decorators/nested	decorators	ok	2	2	2	2	2	100.00	2	0	0
decorators/nested_decorators	decorators	ok	6	5	5	4	4	80.00	4	0	0
decorators/param_call	decorators	ok	3	3	3	3	3	100.00	3	0	0
decorators/return	decorators	ok	3	3	3	3	3	100.00	3	0	0
decorators/return_different_func	decorators	ok	4	4	4	4	4	100.00	4	0	0
dicts/add_key	dicts	ok	1	1	1	1	1	100.00	1	0	0
dicts/assign	dicts	ok	1	1	1	1	1	100.00	1	0	0
dicts/call	dicts	ok	2	2	2	2	2	100.00	2	0	0
dicts/ext_key	dicts	ok	1	1	1	0	0	0.00	0	0	0
dicts/nested	dicts	ok	1	1	1	1	1	100.00	1	0	0
dicts/new_key_param	dicts	ok	2	2	2	1	1	50.00	1	0	0
dicts/param	dicts	ok	2	2	2	2	2	100.00	2	0	0
dicts/param_key	dicts	ok	3	3	3	1	1	33.33	1	0	0
dicts/return	dicts	ok	2	2	2	2	2	100.00	2	0	0
