build.rs	main	build.rs	set_git_revision_hash
build.rs	main	build.rs	set_windows_exe_options
crates/cli/src/decompress.rs	add	crates/cli/src/decompress.rs	resolve_binary
crates/cli/src/decompress.rs	associate	crates/cli/src/decompress.rs	try_associate
crates/cli/src/decompress.rs	async_stderr	crates/cli/src/process.rs	async_stderr
crates/cli/src/decompress.rs	build	crates/cli/src/decompress.rs	command
crates/cli/src/decompress.rs	build	crates/cli/src/decompress.rs	default_decompression_commands
crates/cli/src/decompress.rs	build	crates/cli/src/decompress.rs	new_passthru
crates/cli/src/decompress.rs	build	crates/cli/src/process.rs	build
crates/cli/src/decompress.rs	build	crates/globset/src/lib.rs	new
crates/cli/src/decompress.rs	command	crates/globset/src/lib.rs	matches
crates/cli/src/decompress.rs	default	crates/cli/src/decompress.rs	new
crates/cli/src/decompress.rs	default_decompression_commands	crates/cli/src/decompress.rs	add
crates/cli/src/decompress.rs	default_decompression_commands	crates/cli/src/decompress.rs	resolve_binary
crates/cli/src/decompress.rs	has_command	crates/globset/src/lib.rs	is_match
crates/cli/src/decompress.rs	new	crates/cli/src/decompress.rs	build
crates/cli/src/decompress.rs	new	crates/cli/src/decompress.rs	new
crates/cli/src/decompress.rs	resolve_binary	crates/cli/src/decompress.rs	try_resolve_binary
crates/cli/src/decompress.rs	try_resolve_binary	crates/cli/src/process.rs	io
crates/cli/src/escape.rs	escape	/Users/chrishafley/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/bstr-1.13.0/src/ext_slice.rs	escape_bytes
crates/cli/src/escape.rs	escape_os	crates/cli/src/escape.rs	escape
crates/cli/src/escape.rs	unescape_os	crates/cli/src/escape.rs	unescape
crates/cli/src/hostname.rs	gethostname	/Users/chrishafley/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/libc-0.2.189/src/unix/mod.rs	gethostname
crates/cli/src/hostname.rs	gethostname	/Users/chrishafley/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/libc-0.2.189/src/unix/mod.rs	sysconf
crates/cli/src/hostname.rs	hostname	crates/cli/src/hostname.rs	gethostname
crates/cli/src/human.rs	int	crates/cli/src/human.rs	InvalidInt
crates/cli/src/human.rs	parse_human_readable_size	crates/cli/src/human.rs	format
crates/cli/src/human.rs	parse_human_readable_size	crates/cli/src/human.rs	overflow
crates/cli/src/lib.rs	is_readable_stdin	crates/cli/src/lib.rs	imp
crates/cli/src/pattern.rs	pattern_from_bytes	crates/cli/src/escape.rs	escape
crates/cli/src/pattern.rs	pattern_from_os	crates/cli/src/escape.rs	escape_os
crates/cli/src/pattern.rs	patterns_from_path	crates/cli/src/pattern.rs	patterns_from_reader
crates/cli/src/pattern.rs	patterns_from_stdin	crates/cli/src/pattern.rs	patterns_from_reader
crates/cli/src/process.rs	build	crates/cli/src/process.rs	async
crates/cli/src/process.rs	build	crates/cli/src/process.rs	sync
crates/cli/src/process.rs	close	crates/cli/src/process.rs	is_empty
crates/cli/src/process.rs	close	crates/cli/src/process.rs	read_to_end
crates/cli/src/process.rs	drop	crates/cli/src/process.rs	close
crates/cli/src/process.rs	from	crates/cli/src/process.rs	Io
crates/cli/src/process.rs	io	crates/cli/src/process.rs	Io
crates/cli/src/process.rs	new	crates/cli/src/process.rs	build
crates/cli/src/process.rs	new	crates/cli/src/process.rs	new
crates/cli/src/process.rs	r#async	crates/cli/src/process.rs	Async
crates/cli/src/process.rs	r#async	crates/cli/src/process.rs	stderr_to_command_error
crates/cli/src/process.rs	read	crates/cli/src/process.rs	close
crates/cli/src/process.rs	read_to_end	crates/cli/src/process.rs	stderr_to_command_error
crates/cli/src/process.rs	stderr	crates/cli/src/process.rs	Stderr
crates/cli/src/process.rs	stderr_to_command_error	crates/cli/src/process.rs	io
crates/cli/src/process.rs	stderr_to_command_error	crates/cli/src/process.rs	stderr
crates/cli/src/process.rs	sync	crates/cli/src/process.rs	Sync
crates/cli/src/wtr.rs	is_synchronous	/Users/chrishafley/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/termcolor-1.4.1/src/lib.rs	is_synchronous
crates/cli/src/wtr.rs	reset	/Users/chrishafley/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/termcolor-1.4.1/src/lib.rs	reset
crates/cli/src/wtr.rs	set_color	/Users/chrishafley/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/termcolor-1.4.1/src/lib.rs	set_color
crates/cli/src/wtr.rs	set_hyperlink	/Users/chrishafley/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/termcolor-1.4.1/src/lib.rs	set_hyperlink
