interface method dispatch	internal/project/overlayfs.go	processChanges	internal/api/callbackfs.go	UseCaseSensitiveFileNames
closure-caller naming	internal/checker/checker.go	getAdjustedTypeWithFacts$1	internal/checker/checker.go	getGlobalNonNullableTypeInstantiation
vta-closure-callee (func literal named by vta)	internal/ast/ast.go	IterChildren$1$1	internal/transformers/moduletransforms/commonjsmodule.go	transformCommonJSModule$1
multi-hop receiver chain	internal/transformers/estransforms/classfields.go	createMemberAccessForPropertyName	internal/ast/ast_generated.go	NewPropertyAccessExpression
multi-hop receiver chain	internal/execute/build/buildtask.go	cleanProjectOutput	internal/vfs/iovfs/iofs.go	FileExists
multi-hop receiver chain	internal/compiler/program.go	UseCaseSensitiveFileNames	internal/project/snapshotfs.go	UseCaseSensitiveFileNames
other: concrete struct method missed	internal/compiler/fileInclude.go	computeDiagnostic	internal/tsoptions/parsedcommandline.go	ConfigName
vta-closure-callee (func literal named by vta)	internal/checker/checker.go	mapTypeEx	internal/checker/checker.go	checkArrayLiteralDestructuringElementAssignment$1
multi-hop receiver chain	internal/transformers/estransforms/async.go	visit	internal/ast/visitor.go	VisitEachChild
closure-caller naming	internal/checker/checker.go	containsArgumentsReference$1	internal/ast/ast.go	Initializer
closure-caller naming	internal/testrunner/transpile_runner.go	runTest$1	internal/testrunner/transpile_runner.go	runKind
multi-hop receiver chain	internal/transformers/estransforms/classfields.go	createCallBinding	internal/transformers/transformer.go	EmitContext
vta-closure-callee (func literal named by vta)	internal/vfs/vfstest/vfstest.go	Entries$1	internal/testutil/fsbaselineutil/differ.go	ChangedPaths$1
closure-caller naming	internal/modulespecifiers/specifiers.go	GetEachFileNameOfModule$2$1	internal/tspath/path.go	ResolvePath
closure-caller naming	internal/checker/checker.go	checkClassDeclaration$1	internal/ast/utilities.go	IsPrivateIdentifierClassElementDeclaration
interface method dispatch (single impl)	internal/printer/printer.go	emitExpression	internal/ast/ast_generated.go	AsObjectLiteralExpression
closure-caller naming	internal/ls/file_rename.go	updateTsconfigFiles$1	internal/ls/change/tracker.go	InsertNodeAfter
vta-closure-callee (func literal named by vta)	internal/ast/ast.go	visit	internal/ast/parseoptions.go	findChildNode$1
