UseCaseSensitiveFileNames	direct	19	n	310:path := uri.Path(fs.fs.UseCaseSensitiveFileNames())
getGlobalNonNullableTypeInstantiation	direct	1	n	31293:return c.getGlobalNonNullableTypeInstantiation(t) || 31331:func (c *Checker) getGlobalNonNullableTypeInstantiation(t *Type) *Type {
transformCommonJSModule$1	closure	0	n	
NewPropertyAccessExpression	direct	1	n	1299:tx.Factory().NewPropertyAccessExpression(visitedTarget, node.QuestionDotToken, tx.Factory().NewIdentifier("cal || 1308:tx.Factory().NewPropertyAccessExpression(visitedTarget, nil, tx.Factory().NewIdentifier("call"), ast.NodeFlags || 1344:tx.Factory().NewPropertyAccessExpression(tx.Visitor().VisitNode(target), nil, tx.Factory().NewIdentifier("bind
FileExists	direct	23	n	813:if orchestrator.host.FS().FileExists(outputFile) {
UseCaseSensitiveFileNames	direct	19	n	227:func (p *Program) UseCaseSensitiveFileNames() bool { || 228:return p.Host().FS().UseCaseSensitiveFileNames() || 249:canonicalFileName := tspath.GetCanonicalFileName(fileName, p.UseCaseSensitiveFileNames())
ConfigName	direct	1	n	185:return ast.NewCompilerDiagnostic(diagnostics.Matched_by_include_pattern_0_in_1, matchedIncludeSpec, toFileName
checkArrayLiteralDestructuringElementAssignment$1	closure	0	n	
VisitEachChild	direct	170	y	53:visited := tx.Visitor().VisitEachChild(node.AsNode()) || 90:return tx.Visitor().VisitEachChild(node) || 119:return tx.fallbackNodeVisitor.VisitEachChild(node)
Initializer	direct	1	n	1940:if declaration.Pos() <= usage.Pos() && !(ast.IsPropertyDeclaration(declaration) && isThisProperty(usage.Parent || 2031:initializerOfProperty := propertyDeclaration.Initializer() == current || 2685:if node.Initializer() == nil && isOptionalDeclaration(node) && ast.IsBindingPattern(node.Name()) && fn.Body() 
runKind	direct	1	n	89:r.runKind(t, configuredName, extension, units, options, harnessOptions, false) || 92:r.runKind(t, configuredName, extension, units, options, harnessOptions, true) || 104:func (r *TranspileBaselineRunner) runKind(
EmitContext	direct	2	n	181:tx.modifierVisitor = tx.EmitContext().NewNodeVisitor(tx.visitModifier) || 182:tx.discardedValueVisitor = tx.EmitContext().NewNodeVisitor(tx.visitDiscardedValue) || 183:tx.heritageClauseVisitor = tx.EmitContext().NewNodeVisitor(tx.visitHeritageClause)
ChangedPaths$1	closure	0	n	
ResolvePath	direct	0	n	328:option := tspath.ResolvePath(symlinkDirectory, relative)
IsPrivateIdentifierClassElementDeclaration	direct	0	n	2915:return ast.IsPrivateIdentifierClassElementDeclaration(n) || ast.IsPropertyDeclaration(n) && !ast.IsStatic(n) & || 4289:return ast.HasStaticModifier(p) && ast.IsPrivateIdentifierClassElementDeclaration(p) || 10161:(ast.IsPrivateIdentifierClassElementDeclaration(member) ||
AsObjectLiteralExpression	direct	1	n	3256:p.emitObjectLiteralExpression(node.AsObjectLiteralExpression())
InsertNodeAfter	direct	1	n	139:changeTracker.InsertNodeAfter(
findChildNode$1	closure	0	n	
AsNode	direct	2	y	75:n := data.AsNode() || 192:func (n *Node) AsNode() *Node { return n } || 1182:AsNode() *Node
AsImportClause	direct	1	n	5364:if importClause != nil && !c.checkGrammarImportClause(importClause.AsImportClause()) { || 5369:namedBindings := importClause.AsImportClause().NamedBindings || 7340:namedBindings := node.AsImportClause().NamedBindings
Push$2	closure	0	n	
ContentMapper	direct	1	n	413:ContentMapper:              task.file.ContentMapper(), || 459:ContentMapper:              file.ContentMapper(),
registerMultiProjectReferenceRequestHandler$1$1	closure	0	n	
AsNode	direct	2	y	244:if !canUseSourceFile || ast.GetSourceFileOfNode(node) != p.emitContext.MostOriginal(p.currentSourceFile.AsNode || 776:if p.shouldEmitOnSingleLine(body.AsNode()) { || 784:if !ast.NodeIsSynthesized(body.AsNode()) && p.currentSourceFile != nil && !RangeIsOnSingleLine(body.Loc, p.cur
AsSatisfiesExpression	direct	1	n	333:return n.AsSatisfiesExpression().Expression || 422:n.AsSatisfiesExpression().Expression = expr || 655:return n.AsSatisfiesExpression().Type
Body	direct	1	n	64:if node.Body() != nil { || 65:for _, statement := range node.Body().Statements() {
getSymbolOfDeclaration	direct	3	n	332:sym = b.ch.getSymbolOfDeclaration(b.ch.getThisContainer(leftmost, false, false)) || 845:typeParams = []*Type{b.ch.getDeclaredTypeOfTypeParameter(b.ch.getSymbolOfDeclaration(node.AsMappedTypeNode().T
TryGetAutoImportableReferenceFromTypeNode$1	closure	0	n	
NpmInstall	direct	3	n	1885:func (s *Session) NpmInstall(cwd string, npmInstallArgs []string) ([]byte, error) { || 1886:return s.npmExecutor.NpmInstall(cwd, npmInstallArgs)
IsExpandoFunctionDeclarationUnsafe	direct	1	n	68:return s.resolver.IsExpandoFunctionDeclarationUnsafe(ref) || 88:if s.state.resolver.IsExpandoFunctionDeclarationUnsafe(node) { // within a node builder call that should alrea
UseCaseSensitiveFileNames	direct	19	n	171:UseCaseSensitiveFileNames: host.UseCaseSensitiveFileNames(), || 184:// importingFilePath := tspath.ToPath(info.ImportingSourceFileName, host.GetCurrentDirectory(), host.UseCaseSe || 185:// importedFilePath := tspath.ToPath(importedFileName, host.GetCurrentDirectory(), host.UseCaseSensitiveFileNa
getBreakOrContinueStatementOccurrences	direct	0	n	622:func getBreakOrContinueStatementOccurrences(node *ast.Node, sourceFile *ast.SourceFile) []*ast.Node {
Clear	direct	5	y	363:e.writer.Clear()
getImportersForExport$3	closure	0	n	
AsAwaitExpression	direct	1	n	3282:p.emitAwaitExpression(node.AsAwaitExpression())
IsIncremental	direct	2	n	407:if t.resolved.CompilerOptions().IsIncremental() { || 408:if !buildInfo.IsIncremental() { || 447:if buildInfo.IsIncremental() {
VisitEachChild	direct	170	y	49:node = tx.Visitor().VisitEachChild(node) || 181:visited = tx.Visitor().VisitEachChild(node.AsNode()) || 208:return tx.Visitor().VisitEachChild(node.AsNode())
EnumMap	direct	1	n	198:enumMap := optionDecl.EnumMap() || 225:if elem != nil && elem.EnumMap() != nil { || 227:elemMap := elem.EnumMap()
getExistingNodeTreeVisitor$1$1	closure	0	n	
EmitContext	direct	2	n	181:tx.modifierVisitor = tx.EmitContext().NewNodeVisitor(tx.visitModifier) || 182:tx.discardedValueVisitor = tx.EmitContext().NewNodeVisitor(tx.visitDiscardedValue) || 183:tx.heritageClauseVisitor = tx.EmitContext().NewNodeVisitor(tx.visitHeritageClause)
