path	line	callee	receiver_type	impls_of_pair	class
crates/base-db/src/change.rs	70	Arc::new	-norow-	0	10 `T::f()`, T external or an alias
crates/base-db/src/input.rs	1020	Default::default	-norow-	0	12 `T::f()`, T a corpus trait (`Default::default`)
crates/hir-def/src/attrs.rs	230	insert	AttrFlags	0	3b receiver type undeclared in corpus (std/external)
crates/hir-def/src/attrs/docs.rs	702	TextSize::of	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-def/src/attrs/docs.rs	757	TextSize::of	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-def/src/builtin_type.rs	122	write_str	Formatter	0	3b receiver type undeclared in corpus (std/external)
crates/hir-def/src/expr_store.rs	919	la_arena::RawIdx::from_u32	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-def/src/expr_store/lower.rs	171	collect_param_as_ident	LabelRib	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir-def/src/expr_store/lower/asm.rs	27	Default::default	-norow-	0	12 `T::f()`, T a corpus trait (`Default::default`)
crates/hir-def/src/find_path.rs	406	search	-norow-	0	9 free fn / bare name / struct literal
crates/hir-def/src/hir.rs	544	contains	AsmOptions	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir-def/src/hir/format_args.rs	185	Default::default	-norow-	0	12 `T::f()`, T a corpus trait (`Default::default`)
crates/hir-def/src/import_map.rs	515	matches_assoc_mode	Query	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir-def/src/item_scope.rs	182	LazyLock::new	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-def/src/item_scope.rs	220	iter	FxIndexMap	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-def/src/item_scope.rs	323	values	FxHashMap	0	3b receiver type undeclared in corpus (std/external)
crates/hir-def/src/item_scope.rs	740	iter_mut	ThinVec	0	3b receiver type undeclared in corpus (std/external)
crates/hir-def/src/item_tree.rs	747	clone	ModPath	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir-def/src/item_tree/attrs.rs	68	AttrInput::Literal	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/hir-def/src/item_tree/lower.rs	121	push	Vec	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir-def/src/item_tree/lower.rs	511	alloc	Arena	0	3b receiver type undeclared in corpus (std/external)
crates/hir-def/src/item_tree/pretty.rs	93	as_ref	AttrsOrCfg	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir-def/src/lib.rs	1291	lookup	MacroRulesId	0	3b receiver type undeclared in corpus (std/external)
crates/hir-def/src/macro_expansion_tests/mod.rs	174	String::new	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/hir-def/src/nameres.rs	672	map	BlockInfo	0	5 corpus struct/enum, method from an external trait or a Deref
crates/hir-def/src/nameres/assoc.rs	289	push	Vec	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir-def/src/nameres/assoc.rs	363	mem::replace	-norow-	0	11 module-qualified path `mod::f()`
crates/hir-def/src/nameres/collector.rs	393	Arc::get_mut	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-def/src/nameres/collector.rs	749	into	ProcMacroId	0	3b receiver type undeclared in corpus (std/external)
crates/hir-def/src/per_ns.rs	153	or	TypesItem	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-def/src/resolver.rs	240	ResolvePathResultPrefixInfo::default	-norow-	0	8 `T::f()`, T a corpus struct/enum
crates/hir-def/src/signatures.rs	255	into	EnumId	0	3b receiver type undeclared in corpus (std/external)
crates/hir-def/src/signatures.rs	256	EnumFlags::empty	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-def/src/signatures.rs	550	into	TraitId	0	3a receiver type is a corpus ALIAS to an external type
crates/hir-def/src/signatures.rs	821	lookup	TypeAliasId	0	3b receiver type undeclared in corpus (std/external)
crates/hir-expand/src/builtin/attr_macro.rs	43	expander	BuiltinAttrExpander	0	3b receiver type undeclared in corpus (std/external)
crates/hir-expand/src/builtin/attr_macro.rs	159	ExpandResult::ok	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-expand/src/builtin/derive_macro.rs	1284	Vec::new	-norow-	0	10 `T::f()`, T external or an alias
crates/hir-expand/src/builtin/derive_macro.rs	1512	segments	Path	2	7 Named receiver, 2+ corpus impls of (T, m)
crates/hir-expand/src/builtin/fn_macro.rs	902	ExpandResult::ok	-norow-	0	10 `T::f()`, T external or an alias
