crates/proc-macro-srv/proc-macro-test/imp	2	0	104	78
crates/proc-macro-srv/proc-macro-test	2	0	90	58
lib/ungrammar/ungrammar2json	1	0	87	31
crates/proc-macro-srv-cli	8	0	96	570
crates/ide-diagnostics	81	0	115	3435
crates/ide-completion	65	0	140	6423
crates/proc-macro-api	11	0	105	1007
crates/proc-macro-srv	11	0	102	734
crates/project-model	14	0	116	2520
crates/rust-analyzer	59	0	157	11031
crates/syntax-bridge	4	0	98	607
crates/test-fixture	1	0	100	412
crates/ide-assists	142	0	208	23208
crates/syntax/fuzz	2	0	96	0
crates/hir-expand	20	0	118	3119
crates/load-cargo	1	0	105	522
crates/test-utils	5	0	107	436
crates/vfs-notify	1	0	95	180
crates/toolchain	1	0	92	56
crates/base-db	5	0	101	602
crates/edition	1	0	92	7
crates/hir-def	66	0	163	12271
crates/ide-ssr	11	0	101	1237
crates/profile	4	0	94	74
lib/line-index	2	0	98	190
lib/lsp-server	7	0	94	462
crates/hir-ty	137	0	262	25925
crates/ide-db	33	0	166	8067
crates/intern	6	0	97	408
crates/macros	1	0	94	66
crates/parser	29	0	117	2765
crates/syntax	32	0	227	10848
lib/text-size	10	0	100	157
lib/ungrammar	4	0	106	166
crates/paths	1	0	93	94
lib/la-arena	2	0	92	218
lib/smol_str	6	0	97	618
crates/span	4	0	100	557
crates/stdx	13	0	100	473
crates/cfg	4	0	97	535
crates/hir	15	0	180	9686
crates/ide	77	0	167	12493
crates/mbe	8	0	106	1132
crates/vfs	8	0	94	388
crates/tt	4	0	107	857
xtask	20	0	106	2175
