crate	side	caller	callee
line-index	scip_only	analyze_source_file	WideChar
line-index	scip_only	analyze_source_file	analyze_source_file_generic
line-index	scip_only	analyze_source_file_dispatch	WideChar
line-index	scip_only	analyze_source_file_generic	end
line-index	scip_only	analyze_source_file_generic	start
line-index	scip_only	analyze_source_file_neon	CHUNK_SIZE
line-index	scip_only	analyze_source_file_neon	WideChar
line-index	scip_only	empty_text	test
line-index	resolve_only	analyze_source_file_dispatch	analyze_source_file_sse2
line-index	resolve_only	analyze_source_file_dispatch	len
line-index	resolve_only	analyze_source_file_generic	len
line-index	resolve_only	analyze_source_file_neon	len
line-index	resolve_only	analyze_source_file_sse2	analyze_source_file_generic
line-index	resolve_only	analyze_source_file_sse2	len
line-index	resolve_only	closure@6854	new
line-index	resolve_only	line	new
text-size	scip_only	add	TextRange
text-size	scip_only	add	TextSize
text-size	scip_only	add	add
text-size	scip_only	add	ops
text-size	scip_only	add_assign	TextRange
text-size	scip_only	add_assign	TextSize
text-size	scip_only	at	TextRange
text-size	scip_only	at	TextSize
text-size	resolve_only	deserialize	deserialize
text-size	resolve_only	serialize	end
text-size	resolve_only	serialize	serialize
text-size	resolve_only	serialize	start
text-size	resolve_only	text_len	len
text-size	resolve_only	try_from	try_from
smol_str	scip_only	as_ref	SmolStr
smol_str	scip_only	as_str	Heap
smol_str	scip_only	as_str	Inline
smol_str	scip_only	as_str	Repr
smol_str	scip_only	as_str	SmolStrBuilderRepr
smol_str	scip_only	as_str	Static
smol_str	scip_only	as_str	buf
smol_str	scip_only	as_str	len
smol_str	resolve_only	arbitrary	arbitrary
smol_str	resolve_only	arbitrary	new
smol_str	resolve_only	as_ref	as_ref
smol_str	resolve_only	as_str	from_utf8_unchecked
smol_str	resolve_only	assert_traits	f
smol_str	resolve_only	borsh_non_utf8_heap	deserialize_reader
smol_str	resolve_only	borsh_non_utf8_heap	new
smol_str	resolve_only	borsh_non_utf8_stack	deserialize_reader
la-arena	scip_only	alloc	Idx
la-arena	scip_only	alloc	data
la-arena	scip_only	alloc_many	IdxRange
la-arena	scip_only	and_modify	Entry
la-arena	scip_only	and_modify	Occupied
la-arena	scip_only	as_mut	Arena
la-arena	scip_only	as_mut	data
la-arena	scip_only	clear	data
la-arena	resolve_only	as_mut	as_mut
la-arena	resolve_only	clear	clear
la-arena	resolve_only	clone	clone
la-arena	resolve_only	closure@10258	RawIdx
la-arena	resolve_only	closure@10258	from_raw
la-arena	resolve_only	closure@13066	RawIdx
la-arena	resolve_only	closure@13066	from_raw
la-arena	resolve_only	closure@2505	as_mut
