getDefinitionAtPosition	getSourceFile	method on a class instance created in another file	recv=node init=getTouchingPropertyName(sourceFile, position)
getMode	getModeForUsageLocation	other: bare call, local function	decl=src/compiler/program.ts
getCodeActions	getSourceFiles	interface receiver (signature in another file)	recv=program type=Program
<module>	getSymbolWalker	interface receiver (signature in another file)	recv=checker type=TypeChecker
value	isConstructorDeclaration	bare call, callee imported	decl=src/compiler/factory/nodeTests.ts
getAllCodeActions	codeFixAll	bare call, callee imported	decl=src/services/codeFixProvider.ts
getInfo	isImplementationOfOverload	method on a class instance created in another file	recv=typeChecker init=context.program.getTypeChecker()
update	updatePosition	other: bare call, local function	decl=src/harness/fourslashImpl.ts
getBaseTypes	getBaseTypes	receiver from a `this.` field	recv=this.checker type=TypeChecker
edit	ensureFileOrFolder	receiver typed through a union or intersection	recv=sys type=TestServerHostTrackingWrittenFiles
makeAssertChanges	emitNextAffectedFile	interface receiver (signature in another file)	recv=builderProgram type=EmitAndSemanticDiagnosticsBuilderProgram
useCaseSensitiveFileNames	useCaseSensitiveFileNames	interface receiver (signature in another file)	recv=host type=TypeCheckerHost
isLocationProjectReferenceRedirect	getProgram	interface receiver (signature in another file)	recv=project.getLanguageService() type=LanguageService
tryDeleteParameter	deleteModifier	concrete class receiver, method in another file	recv=changes type=ChangeTracker
printLinks	combinePaths	MANUAL(site not locatable)	
addInlineAssertion	replaceNode	method on a class instance created in another file	recv=changeTracker init=textChanges.ChangeTracker.fromContext(context)
promoteFromTypeOnly	deleteRange	concrete class receiver, method in another file	recv=changes type=ChangeTracker
getInstantiationCount	getTypeChecker	other: bare call, local function	decl=src/compiler/program.ts
<module>	serializeState	receiver typed through a union or intersection	recv=system type=TestServerHostTrackingWrittenFiles
getCodeActionsToConvertToTypeOnlyExport	fixSingleExportDeclaration	other: bare call, local function	decl=src/services/codefixes/convertToTypeOnlyExport.ts
visit	forEachChild	bare call, callee imported	decl=src/compiler/parser.ts
afterProgramEmitAndDiagnostics	reportStatistics	other: bare call, local function	decl=src/compiler/executeCommandLine.ts
configure	configure	concrete class receiver, method in another file	recv=(this.languageService as ts.server.SessionClient) type=SessionClient
searchDirectoryAndAncestors	addOrUpdate	other: bare call, local function	decl=src/server/packageJsonCache.ts
testConfiguredProjectNodeModules	runPendingInstalls	method on a class instance created in another file	recv=host init=TestServerHost.createServerHost(
                [app, jsconfig, pkgJson, comma
getCodeActions	createCodeFixActionWithoutFixAll	bare call, callee imported	decl=src/services/codeFixProvider.ts
createSetup	TestSession.constructor	other: constructor call on a local class	decl=src/testRunner/unittests/helpers/tsserver.ts
verifyScenario	TestSession.constructor	other: constructor call on a local class	decl=src/testRunner/unittests/helpers/tsserver.ts
<module>	getSnapshot	method on a class instance created in another file	recv=svc init=ts.server.ScriptVersionCache.fromString(testContent)
createBaseIdentifierNode	getIdentifierConstructor	interface receiver (signature in another file)	recv=objectAllocator type=ObjectAllocator
getEditInfoForConvertToNamedFunction	with	MANUAL(checker threw)	Debug Failure. False expression: Should only get Alias here.
combineAnonymousTypes	createIndexInfo	method on a class instance created in another file	recv=checker init=program.getTypeChecker()
getAllCodeActions	getCallName	other: bare call, local function	decl=src/services/codefixes/fixMissingCallParentheses.ts
createSignatureDeclarationFromSignature	getTypeChecker	interface receiver (signature in another file)	recv=program type=Program
forEachChildInTypeReference	visitNodes	other: bare call, local function	decl=src/compiler/parser.ts
sys	writeFile	method on a class instance created in another file	recv=sys init=getSysForSampleProjectReferences()
getCodeActions	isArrayBindingPattern	bare call, callee imported	decl=src/compiler/factory/nodeTests.ts
hoistExportEquals	hoistVariableDeclaration	bare call, callee imported	decl=src/compiler/transformers/esnext.ts
validateEdit	getText	method on a class instance created in another file	recv=snapshot init=lineIndex.edit(position, deleteLength, insertString)
execSyncAndLog	isEnabled	receiver from a `this.` field	recv=this.log type=Log
visitEachChildOfExternalModuleReference	checkDefined	namespace member through a (nested) namespace	recv=Debug
getAllCodeActions	getInfo	other: bare call, local function	decl=src/services/codefixes/convertLiteralTypeToMappedType.ts
sys	createWatchedSystem	concrete class receiver, method in another file	recv=TestServerHost type=typeof TestServerHost
edit	modifyFile	receiver typed through a union or intersection	recv=sys type=TestServerHostTrackingWrittenFiles
getCodeActions	tryPrefixDeclaration	other: bare call, local function	decl=src/services/codefixes/fixUnusedIdentifier.ts
forEachChildInJSDocFunctionType	visitNode	other: bare call, local function	decl=src/compiler/parser.ts
visitEachChildOfWithStatement	checkDefined	namespace member through a (nested) namespace	recv=Debug
runTest	findChild	other: bare call, local function	decl=src/testRunner/unittests/services/textChanges.ts
getCodeActionsToFixUnmatchedParameter	getInfo	other: bare call, local function	decl=src/services/codefixes/fixUnmatchedParameter.ts
evaluate	evaluateEntityNameExpression	bare call, callee imported	decl=src/compiler/utilities.ts
getAllCodeActions	createCombinedCodeActions	bare call, callee imported	decl=src/services/codeFixProvider.ts
updateGraphWorker	attachToProject	receiver typed through a union or intersection	recv=scriptInfo type=ScriptInfo | undefined
getSemanticDiagnosticsOfNextAffectedFile	withProgramOrUndefined	other: bare call, local function	decl=src/compiler/tsbuildPublic.ts
edit	prependFile	receiver typed through a union or intersection	recv=sys type=TestServerHostTrackingWrittenFiles
verifyWatchDirectoriesCaseSensitivity	writeFile	method on a class instance created in another file	recv=host init=TestServerHost.createServerHost(projectFiles, { useCaseSensitiveFileNames })
createArrayBindingOrAssignmentPattern	makeArrayAssignmentPattern	other: bare call, local function	decl=src/compiler/transformers/destructuring.ts
writeLiteral	escapingWrite	other: bare call, local function	decl=src/services/completions.ts
doChange	replaceNode	concrete class receiver, method in another file	recv=changes type=ChangeTracker
writeLine	commitPendingTrailingSemicolon	other: bare call, local function	decl=src/compiler/utilities.ts
forEachChildInTypeOfExpression	visitNode	other: bare call, local function	decl=src/compiler/parser.ts
createBaseNode	makeSynthetic	other: bare call, local function	decl=src/compiler/factory/nodeFactory.ts
getCompletionEntryDetails	getLanguageService	concrete class receiver, method in another file	recv=project type=Project
forEachChildInTemplateSpan	visitNode	other: bare call, local function	decl=src/compiler/parser.ts
createLateBoundIndexSignatures	isPropertyDeclaration	bare call, callee imported	decl=src/compiler/factory/nodeTests.ts
edit	deleteFile	receiver typed through a union or intersection	recv=sys type=TestServerHostTrackingWrittenFiles
visit	getNewNameIfConflict	other: bare call, local function	decl=src/services/codefixes/convertToAsyncFunction.ts
transformExtendsClauseWithExpression	replaceRange	method on a class instance created in another file	recv=changeTracker init=textChanges.ChangeTracker.fromContext(context)
addInlineAssertion	insertNodeAt	method on a class instance created in another file	recv=changeTracker init=textChanges.ChangeTracker.fromContext(context)
emitTrailingCommentsOfNode	enter	bare call, callee imported	decl=src/compiler/emitter.ts
createAssignHelper	createIdentifier	interface receiver (signature in another file)	recv=factory type=NodeFactory
addDefaultValueAssignmentForInitializer	createBlock	interface receiver (signature in another file)	recv=factory type=NodeFactory
clearMarks	clearMarks	receiver typed through a union or intersection	recv=performanceImpl type=Performance | undefined
walk	isStringOrNumericLiteralLike	bare call, callee imported	decl=src/compiler/utilities.ts
visitEachChildOfCatchClause	checkDefined	namespace member through a (nested) namespace	recv=Debug
forEachChildInObjectLiteralExpression	visitNodes	other: bare call, local function	decl=src/compiler/parser.ts
forEachChildInGetAccessor	visitNode	other: bare call, local function	decl=src/compiler/parser.ts
getCompletionEntryCodeActionsAndSourceDisplay	with	MANUAL(checker threw)	Debug Failure. False expression: Should only get Alias here.
getQuickInfoWorker	positionToLineOffset	concrete class receiver, method in another file	recv=scriptInfo type=ScriptInfo
createLateBoundIndexSignatures	filter	bare call, callee imported	decl=src/compiler/core.ts
getCodeActionsToAddMissingAwait	getDeclarationSiteFix	other: bare call, local function	decl=src/services/codefixes/addMissingAwait.ts
forEachChildInFunctionDeclaration	visitNodes	other: bare call, local function	decl=src/compiler/parser.ts
files	jsonToReadableText	bare call, callee imported	decl=src/testRunner/unittests/helpers.ts
getCompletionEntryDetails	getCompletionEntryDetails	namespace member through a (nested) namespace	recv=Completions
checkGrammarRegularExpressionLiteral	setScriptTarget	interface receiver (signature in another file)	recv=scanner type=Scanner
getCodeActionsToConvertConstToLet	doChange	other: bare call, local function	decl=src/services/codefixes/convertConstToLet.ts
classifySymbol	getFlags	interface receiver (signature in another file)	recv=symbol type=Symbol
errorInfo	chainDiagnosticMessages	bare call, callee imported	decl=src/compiler/utilities.ts
visitor	computeLineStarts	namespace member through a (nested) namespace	recv=ts
requiresAddingImplicitUndefined	isOptionalDeclaration	bare call, callee imported	decl=src/compiler/utilities.ts
runProjectTestCase	verifyJavaScriptOutput	concrete class receiver, method in another file	recv=projectTestCase type=ProjectTestCase
trackCreatedInode	Symlink.constructor	other: constructor call on a local class	decl=src/harness/vfsUtil.ts
<module>	TestSession.constructor	other: constructor call on a local class	decl=src/testRunner/unittests/helpers/tsserver.ts
serializePropertySymbol	createGetAccessorDeclaration	method on a class instance created in another file	recv=factory init=if (name !== originalName) {
                        return name;
          
emitFile	createHash	MANUAL(checker threw)	Debug Failure. False expression: Should only get Alias here.
hasSyntacticDiagnostics	getSyntacticDiagnostics	interface receiver (signature in another file)	recv=program type=Program
createImportCallExpressionAMD	getEmitHelperFactory	MANUAL(site not locatable)	
handleNoEmitOptions	getCompilerOptions	receiver typed through a union or intersection	recv=program type=Program | T
sys	jsonToReadableText	bare call, callee imported	decl=src/testRunner/unittests/helpers.ts
edit	replaceFileText	receiver typed through a union or intersection	recv=sys type=TestServerHostTrackingWrittenFiles
getSymbolForProgram	getSymbolAtLocation	method on a class instance created in another file	recv=checker init=program.getTypeChecker()
getInfo	getSuggestedSymbolForNonexistentJSXAttribute	method on a class instance created in another file	recv=checker init=context.program.getTypeChecker()
getNextInvalidatedProject	setupInitialBuild	other: bare call, local function	decl=src/compiler/tsbuildPublic.ts
addExtendsHelperIfNeeded	getEmitHelperFactory	MANUAL(site not locatable)	
sys	prependFile	method on a class instance created in another file	recv=sys init=getSysForDemoProjectReferences()
visitEachChildOfSatisfiesExpression	checkDefined	namespace member through a (nested) namespace	recv=Debug
getCodeActions	doChange	other: bare call, local function	decl=src/services/codefixes/fixForgottenThisPropertyAccess.ts
canReuseTypeNode	canReuseTypeNode	other: bare call, local function	decl=src/compiler/checker.ts
transformAsyncFunctionBody	hasNodeCheckFlag	method on a class instance created in another file	recv=resolver init=context.getEmitResolver()
forEachChildInJSDocImplementsTag	visitNode	other: bare call, local function	decl=src/compiler/parser.ts
verifyJavaScriptOutput	resolvePath	MANUAL(checker threw)	Debug Failure. False expression: Should only get Alias here.
forEachChildInTypeAssertionExpression	visitNode	other: bare call, local function	decl=src/compiler/parser.ts
createTestCompilerHost	getSourceFile	interface receiver (signature in another file)	recv=oldProgram type=ProgramWithSourceTexts
getBuildInfo	getBuildInfo	interface receiver (signature in another file)	recv=program type=Program
visitDeclarationSubtree	isDefinitelyReferenceToGlobalSymbolObject	method on a class instance created in another file	recv=resolver init=context.getEmitResolver()
edit	prependFile	receiver typed through a union or intersection	recv=sys type=TestServerHostTrackingWrittenFiles
signatureToSignatureDeclaration	signatureToSignatureDeclarationHelper	other: bare call, local function	decl=src/compiler/checker.ts
createLateBoundIndexSignatures	getTypeOfSymbol	other: bare call, local function	decl=src/compiler/checker.ts
addObjectLiteralProperties	replaceNode	concrete class receiver, method in another file	recv=changes type=ChangeTracker
getAllCodeActions	doChange	other: bare call, local function	decl=src/services/codefixes/correctQualifiedNameToIndexedAccessType.ts
writeSymbol	writeSymbol	interface receiver (signature in another file)	recv=writer type=EmitTextWriter
serializePropertySymbol	modifiersLength	other: bare call, local function	decl=src/compiler/checker.ts
getSemanticDiagnostics	getSemanticDiagnostics	receiver from a `this.` field	recv=this.state type=TestState
edit	deleteFile	receiver typed through a union or intersection	recv=sys type=TestServerHostTrackingWrittenFiles
getDirectories	combinePaths	MANUAL(site not locatable)	
getCommonSourceDirectory	getCommonSourceDirectory	interface receiver (signature in another file)	recv=program type=Program
updateGraph	updateProjectIfDirty	other: bare call, local function	decl=src/server/editorServices.ts
readFile	getLength	interface receiver (signature in another file)	recv=snap type=IScriptSnapshot
createSolutionBuilderHostBase	getModifiedTime	other: bare call, local function	decl=src/compiler/tsbuildPublic.ts
transformForAwaitOfStatement	getEmitHelperFactory	MANUAL(site not locatable)	
getFilenameForExceededTotalSizeLimitForNonTsFiles	getFileSize	receiver from a `this.` field	recv=this.host type=ServerHost
getCodeActionsToAddMissingAsync	find	bare call, callee imported	decl=src/compiler/core.ts
directoryExists	directoryExists	receiver from a `this.` field	recv=this.sys type=System
