path	bytes	ms	max_rss_bytes
tsc/testdata/fixtures/compiler/checker.ts	3151774	1797	103546880
tsc/internal/bundled/libs/lib.dom.d.ts	2349483	540	48840704
tsc/testdata/fixtures/lib/dom.generated.d.ts	2348669	600	47366144
tsc/internal/bundled/libs/lib.webworker.d.ts	787076	158	23117824
tsc/testdata/fixtures/compiler/diagnosticInformationMap.generated.ts	579188	178	19120128
tsc/testdata/fixtures/compiler/parser.ts	539685	350	27983872
tsc/testdata/fixtures/compiler/utilities.ts	512951	292	28770304
tsc/testdata/fixtures/compiler/types.ts	487842	194	24543232
tsc/testdata/fixtures/compiler/factory/nodeFactory.ts	334930	149	21676032
packages/typescript/test/async/api.test.ts	328674	203	22052864
packages/typescript/test/sync/api.test.ts	314588	234	21397504
packages/typescript/src/api/sync/api.ts	274167	252	20496384
tsc/testdata/fixtures/compiler/emitter.ts	273338	215	18612224
tsc/testdata/fixtures/compiler/program.ts	270697	108	17547264
tsc/testdata/fixtures/compiler/transformers/es2015.ts	231365	182	14401536
tsc/testdata/fixtures/compiler/scanner.ts	219164	125	18464768
tsc/internal/bundled/libs/lib.es5.d.ts	218947	62	12632064
tsc/testdata/fixtures/compiler/binder.ts	194463	64	13975552
packages/typescript/src/ast/factory.generated.ts	192718	299	18628608
tsc/testdata/fixtures/compiler/commandLineParser.ts	183461	98	16105472
