set	path	rc	ms_parallel8	bytes	lines	err
program	packages/typescript/lib/getExePath.d.ts	0	71	68	18	
program	packages/typescript/lib/version.d.cts	0	71	88	31	
program	packages/typescript/scripts/generateSync.ts	0	103	29171	11386	
program	packages/typescript/src/api/async/api.ts	0	155	114349	42664	
program	packages/typescript/src/api/async/client.ts	0	75	13464	4551	
program	packages/typescript/src/api/async/types.ts	0	57	15834	2650	
program	packages/typescript/src/api/diagnosticFormatter.ts	0	63	7827	3382	
program	packages/typescript/src/api/fs.ts	0	64	5078	1586	
program	packages/typescript/src/api/node/encoder.generated.ts	0	35	5025	1334	
program	packages/typescript/src/api/node/encoder.ts	0	41	13445	5275	
program	packages/typescript/src/api/node/msgpack.ts	0	37	7164	3620	
program	packages/typescript/src/api/node/node.generated.ts	0	58	35281	13719	
program	packages/typescript/src/api/node/node.infrastructure.ts	0	40	9117	2496	
program	packages/typescript/src/api/node/node.ts	0	45	21137	8055	
program	packages/typescript/src/api/node/protocol.generated.ts	0	25	15278	4757	
program	packages/typescript/src/api/node/protocol.ts	0	19	1299	291	
program	packages/typescript/src/api/node/wtf8.ts	0	30	2467	1268	
program	packages/typescript/src/api/options.ts	0	25	1899	486	
program	packages/typescript/src/api/path.ts	0	29	22176	7997	
program	packages/typescript/src/api/proto.generated.ts	0	38	50668	10440	
program	packages/typescript/src/api/proto.ts	0	31	4808	1234	
program	packages/typescript/src/api/sourceFileCache.ts	0	31	7556	2402	
program	packages/typescript/src/api/sync/api.ts	0	252	274167	90732	
program	packages/typescript/src/api/sync/client.ts	0	40	6118	2198	
program	packages/typescript/src/api/sync/generatorSupport.ts	0	33	4768	1986	
program	packages/typescript/src/api/sync/types.ts	0	41	19899	3842	
program	packages/typescript/src/api/syncChannel.ts	0	44	24266	6362	
program	packages/typescript/src/api/timing.ts	0	32	10570	1886	
program	packages/typescript/src/ast/ast.generated.ts	0	51	67978	15085	
program	packages/typescript/src/ast/ast.ts	0	36	7724	1555	
program	packages/typescript/src/ast/astnav.ts	0	54	27597	9379	
program	packages/typescript/src/ast/clone.ts	0	45	5498	2194	
program	packages/typescript/src/ast/factory.generated.ts	0	299	192718	83865	
program	packages/typescript/src/ast/index.ts	0	28	1134	259	
program	packages/typescript/src/ast/is.generated.ts	0	169	129152	49142	
program	packages/typescript/src/ast/is.ts	0	49	25170	8964	
program	packages/typescript/src/ast/jsdoc.ts	0	29	8788	3310	
program	packages/typescript/src/ast/scanner.ts	0	132	121500	40335	
program	packages/typescript/src/ast/spanMap.ts	0	61	23515	8593	
program	packages/typescript/src/ast/utils.ts	0	36	4067	1615	
program	packages/typescript/src/ast/visitor.generated.ts	0	135	78067	31914	
program	packages/typescript/src/ast/visitor.ts	0	17	3119	1117	
program	packages/typescript/src/enums/characterCodes.enum.ts	0	24	2827	848	
program	packages/typescript/src/enums/characterCodes.ts	0	36	7923	3078	
program	packages/typescript/src/enums/checkFlags.enum.ts	0	17	1132	318	
program	packages/typescript/src/enums/checkFlags.ts	0	26	2421	798	
program	packages/typescript/src/enums/commentDirectiveType.enum.ts	0	16	78	22	
