corpus	path	rc	ms_parallel8	bytes	facts	size_skip	err
src	src/compiler/_namespaces/ts.moduleSpecifiers.ts	0	1215	111	10	0	
src	src/compiler/_namespaces/ts.performance.ts	0	1213	101	10	0	
src	src/compiler/_namespaces/ts.ts	0	1215	3288	556	0	
src	src/compiler/binder.ts	0	1259	199121	40750	0	
src	src/compiler/builder.ts	0	1238	116961	30700	0	
src	src/compiler/builderPublic.ts	0	1218	11523	1838	0	
src	src/compiler/builderState.ts	0	1221	26090	7386	0	
src	src/compiler/builderStatePublic.ts	0	1205	382	103	0	
src	src/compiler/checker.ts	0	2043	3121747	630064	0	
src	src/compiler/commandLineParser.ts	0	97	181717	50775	0	
src	src/compiler/core.ts	0	75	92353	37830	0	
src	src/compiler/corePublic.ts	0	5	1318	311	0	
src	src/compiler/debug.ts	0	28	56593	19474	0	
src	src/compiler/emitter.ts	0	112	272827	66274	0	
src	src/compiler/executeCommandLine.ts	0	28	53205	19504	0	
src	src/compiler/expressionToTypeNode.ts	0	39	70053	16007	0	
src	src/compiler/factory/baseNodeFactory.ts	0	7	2677	733	0	
src	src/compiler/factory/emitHelpers.ts	0	19	69094	9665	0	
src	src/compiler/factory/emitNode.ts	0	11	12719	4374	0	
src	src/compiler/factory/nodeChildren.ts	0	6	2237	807	0	
src	src/compiler/factory/nodeConverters.ts	0	8	7205	1623	0	
src	src/compiler/factory/nodeFactory.ts	0	126	335027	82941	0	
src	src/compiler/factory/nodeTests.ts	0	29	36796	14928	0	
src	src/compiler/factory/parenthesizerRules.ts	0	16	34012	5158	0	
src	src/compiler/factory/utilities.ts	0	37	76114	22358	0	
src	src/compiler/factory/utilitiesPublic.ts	0	7	2101	983	0	
src	src/compiler/moduleNameResolver.ts	0	75	180972	50811	0	
src	src/compiler/moduleSpecifiers.ts	0	40	79619	21531	0	
src	src/compiler/parser.ts	0	261	539588	151166	0	
src	src/compiler/path.ts	0	29	44162	12081	0	
src	src/compiler/performance.ts	0	7	6146	2010	0	
src	src/compiler/performanceCore.ts	0	13	3255	781	0	
src	src/compiler/program.ts	0	107	268261	61704	0	
src	src/compiler/programDiagnostics.ts	0	12	21292	4526	0	
src	src/compiler/resolutionCache.ts	0	38	81324	17502	0	
src	src/compiler/scanner.ts	0	117	219162	62087	0	
src	src/compiler/semver.ts	0	11	17933	6069	0	
src	src/compiler/sourcemap.ts	0	21	32104	9083	0	
src	src/compiler/symbolWalker.ts	0	11	8177	2100	0	
src	src/compiler/sys.ts	0	43	86142	20059	0	
src	src/compiler/tracing.ts	0	21	15028	5583	0	
src	src/compiler/transformer.ts	0	25	29755	6777	0	
src	src/compiler/transformers/classFields.ts	0	41	156326	27926	0	
src	src/compiler/transformers/classThis.ts	0	10	5504	1402	0	
src	src/compiler/transformers/declarations.ts	0	58	99159	19892	0	
src	src/compiler/transformers/declarations/diagnostics.ts	0	17	46162	7885	0	
src	src/compiler/transformers/destructuring.ts	0	27	30755	8288	0	
src	src/compiler/transformers/es2015.ts	0	84	231365	40203	0	
src	src/compiler/transformers/es2016.ts	0	9	4484	1007	0	
src	src/compiler/transformers/es2017.ts	0	36	49966	10003	0	
src	src/compiler/transformers/es2018.ts	0	26	69751	13088	0	
src	src/compiler/transformers/es2019.ts	0	8	1533	432	0	
src	src/compiler/transformers/es2020.ts	0	12	13066	2950	0	
src	src/compiler/transformers/es2021.ts	0	8	4104	814	0	
src	src/compiler/transformers/esDecorators.ts	0	41	126995	23401	0	
src	src/compiler/transformers/esnext.ts	0	16	35556	6946	0	
src	src/compiler/transformers/generators.ts	0	47	123796	22001	0	
src	src/compiler/transformers/jsx.ts	0	21	35841	9255	0	
src	src/compiler/transformers/legacyDecorators.ts	0	13	36625	6080	0	
src	src/compiler/transformers/module/esnextAnd2015.ts	0	14	18606	3981	0	
src	src/compiler/transformers/module/impliedNodeFormatDependent.ts	0	10	3725	1014	0	
src	src/compiler/transformers/module/module.ts	0	43	111486	19662	0	
src	src/compiler/transformers/module/system.ts	0	34	85185	14297	0	
src	src/compiler/transformers/namedEvaluation.ts	0	15	22186	5309	0	
src	src/compiler/transformers/taggedTemplate.ts	0	11	5424	1633	0	
src	src/compiler/transformers/ts.ts	0	38	116203	21067	0	
src	src/compiler/transformers/typeSerializer.ts	0	13	28796	5475	0	
src	src/compiler/transformers/utilities.ts	0	26	35618	10071	0	
src	src/compiler/tsbuild.ts	0	7	5322	816	0	
src	src/compiler/tsbuildPublic.ts	0	59	114409	35255	0	
src	src/compiler/types.ts	0	184	486748	92523	0	
src	src/compiler/utilities.ts	0	452	510858	153376	0	
src	src/compiler/utilitiesPublic.ts	0	65	103648	32718	0	
src	src/compiler/visitorPublic.ts	0	88	88048	34034	0	
src	src/compiler/watch.ts	0	36	45616	14706	0	
src	src/compiler/watchPublic.ts	0	23	60845	12693	0	
src	src/compiler/watchUtilities.ts	0	35	34758	9198	0	
src	src/deprecatedCompat/_namespaces/ts.ts	0	6	141	17	0	
src	src/deprecatedCompat/deprecate.ts	0	10	3571	1625	0	
src	src/deprecatedCompat/deprecations.ts	0	12	5946	1555	0	
src	src/harness/_namespaces/FourSlash.ts	0	7	98	10	0	
src	src/harness/_namespaces/FourSlashInterface.ts	0	7	116	10	0	
src	src/harness/_namespaces/Harness.LanguageService.ts	0	7	121	10	0	
src	src/harness/_namespaces/Harness.SourceMapRecorder.ts	0	7	118	10	0	
src	src/harness/_namespaces/Harness.ts	0	7	358	66	0	
src	src/harness/_namespaces/Utils.ts	0	9	156	24	0	
src	src/harness/_namespaces/collections.ts	0	13	102	10	0	
src	src/harness/_namespaces/compiler.ts	0	12	96	10	0	
src	src/harness/_namespaces/documents.ts	0	4	98	10	0	
src	src/harness/_namespaces/evaluator.ts	0	5	98	10	0	
src	src/harness/_namespaces/fakes.ts	0	16	91	10	0	
src	src/harness/_namespaces/ts.server.ts	0	10	275	31	0	
src	src/harness/_namespaces/ts.ts	0	14	479	73	0	
src	src/harness/_namespaces/vfs.ts	0	14	86	10	0	
src	src/harness/_namespaces/vpath.ts	0	10	90	10	0	
src	src/harness/client.ts	0	45	51326	20779	0	
src	src/harness/collectionsImpl.ts	0	12	9551	4533	0	
src	src/harness/compilerImpl.ts	0	17	14561	6565	0	
src	src/harness/documentsUtil.ts	0	12	7430	2962	0	
src	src/harness/evaluatorImpl.ts	0	31	29742	9798	0	
src	src/harness/fakesHosts.ts	0	17	15703	6289	0	
src	src/harness/findUpDir.ts	0	7	675	276	0	
src	src/harness/fourslashImpl.ts	0	396	256145	106047	0	
src	src/harness/fourslashInterfaceImpl.ts	0	56	73574	25759	0	
src	src/harness/harnessGlobals.ts	0	8	1653	401	0	
src	src/harness/harnessIO.ts	0	56	79218	27666	0	
src	src/harness/harnessLanguageService.ts	0	19	27363	9561	0	
src	src/harness/harnessUtils.ts	0	16	14465	5467	0	
src	src/harness/incrementalUtils.ts	0	49	31912	12194	0	
src	src/harness/projectServiceStateLogger.ts	0	21	22637	5997	0	
src	src/harness/runnerbase.ts	0	9	2635	827	0	
src	src/harness/sourceMapRecorder.ts	0	14	16955	5871	0	
src	src/harness/tsserverLogger.ts	0	14	6910	3146	0	
src	src/harness/typeWriter.ts	0	19	14704	5820	0	
src	src/harness/util.ts	0	13	5005	2666	0	
src	src/harness/vfsUtil.ts	0	66	67007	25963	0	
src	src/harness/vpathUtil.ts	0	16	6327	2250	0	
src	src/harness/watchUtils.ts	0	20	9258	3373	0	
src	src/jsTyping/_namespaces/ts.JsTyping.ts	0	11	95	10	0	
src	src/jsTyping/_namespaces/ts.server.ts	0	5	121	17	0	
src	src/jsTyping/_namespaces/ts.ts	0	4	236	52	0	
src	src/jsTyping/jsTyping.ts	0	17	18388	4737	0	
src	src/jsTyping/shared.ts	0	8	3264	1041	0	
src	src/jsTyping/types.ts	0	9	4061	852	0	
src	src/lib/decorators.d.ts	0	13	12705	1346	0	
src	src/lib/decorators.legacy.d.ts	0	7	477	179	0	
src	src/lib/dom.asynciterable.generated.d.ts	0	7	1034	261	0	
src	src/lib/dom.generated.d.ts	0	823	1874048	235659	0	
src	src/lib/dom.iterable.generated.d.ts	0	14	28949	6458	0	
src	src/lib/es2015.collection.d.ts	0	6	4505	1131	0	
src	src/lib/es2015.core.d.ts	0	9	22592	2714	0	
src	src/lib/es2015.d.ts	0	8	398	21	0	
src	src/lib/es2015.full.d.ts	0	6	184	11	0	
src	src/lib/es2015.generator.d.ts	0	8	1763	328	0	
src	src/lib/es2015.iterable.d.ts	0	24	17934	3964	0	
src	src/lib/es2015.promise.d.ts	0	5	2410	391	0	
src	src/lib/es2015.proxy.d.ts	0	12	4508	580	0	
src	src/lib/es2015.reflect.d.ts	0	9	5766	781	0	
src	src/lib/es2015.symbol.d.ts	0	6	824	99	0	
src	src/lib/es2015.symbol.wellknown.d.ts	0	14	10465	1652	0	
src	src/lib/es2016.array.include.d.ts	0	7	4449	488	0	
src	src/lib/es2016.d.ts	0	7	115	7	0	
src	src/lib/es2016.full.d.ts	0	6	184	11	0	
src	src/lib/es2016.intl.d.ts	0	9	644	40	0	
src	src/lib/es2017.arraybuffer.d.ts	0	9	65	16	0	
src	src/lib/es2017.d.ts	0	5	317	17	0	
src	src/lib/es2017.date.d.ts	0	8	1076	76	0	
src	src/lib/es2017.full.d.ts	0	13	184	11	0	
src	src/lib/es2017.intl.d.ts	0	13	622	167	0	
src	src/lib/es2017.object.d.ts	0	7	1651	220	0	
src	src/lib/es2017.sharedmemory.d.ts	0	10	6473	1139	0	
src	src/lib/es2017.string.d.ts	0	10	1552	64	0	
src	src/lib/es2017.typedarrays.d.ts	0	9	724	190	0	
src	src/lib/es2018.asyncgenerator.d.ts	0	9	1898	356	0	
src	src/lib/es2018.asynciterable.d.ts	0	9	1439	368	0	
src	src/lib/es2018.d.ts	0	9	241	13	0	
src	src/lib/es2018.full.d.ts	0	9	227	13	0	
src	src/lib/es2018.intl.d.ts	0	10	2233	610	0	
src	src/lib/es2018.promise.d.ts	0	9	512	61	0	
src	src/lib/es2018.regexp.d.ts	0	9	398	68	0	
src	src/lib/es2019.array.d.ts	0	9	2371	510	0	
src	src/lib/es2019.d.ts	0	8	224	13	0	
src	src/lib/es2019.full.d.ts	0	10	227	13	0	
src	src/lib/es2019.intl.d.ts	0	10	110	24	0	
src	src/lib/es2019.object.d.ts	0	14	635	92	0	
src	src/lib/es2019.string.d.ts	0	11	694	56	0	
src	src/lib/es2019.symbol.d.ts	0	9	159	24	0	
src	src/lib/es2020.bigint.d.ts	0	28	38079	4711	0	
src	src/lib/es2020.d.ts	0	7	357	19	0	
src	src/lib/es2020.date.d.ts	0	13	2127	118	0	
src	src/lib/es2020.full.d.ts	0	6	227	13	0	
src	src/lib/es2020.intl.d.ts	0	21	22041	2207	0	
src	src/lib/es2020.number.d.ts	0	8	744	46	0	
src	src/lib/es2020.promise.d.ts	0	6	979	227	0	
src	src/lib/es2020.sharedmemory.d.ts	0	6	4356	590	0	
src	src/lib/es2020.string.d.ts	0	9	1729	132	0	
src	src/lib/es2020.symbol.wellknown.d.ts	0	8	776	110	0	
src	src/lib/es2021.d.ts	0	6	188	11	0	
src	src/lib/es2021.full.d.ts	0	9	227	13	0	
src	src/lib/es2021.intl.d.ts	0	26	7540	891	0	
src	src/lib/es2021.promise.d.ts	0	5	1439	228	0	
src	src/lib/es2021.string.d.ts	0	6	754	96	0	
src	src/lib/es2021.weakref.d.ts	0	8	2378	287	0	
src	src/lib/es2022.array.d.ts	0	5	3926	552	0	
src	src/lib/es2022.d.ts	0	11	262	15	0	
src	src/lib/es2022.error.d.ts	0	6	1583	501	0	
src	src/lib/es2022.full.d.ts	0	12	227	13	0	
src	src/lib/es2022.intl.d.ts	0	12	6966	477	0	
src	src/lib/es2022.object.d.ts	0	8	240	36	0	
src	src/lib/es2022.regexp.d.ts	0	9	499	91	0	
src	src/lib/es2022.string.d.ts	0	10	309	34	0	
src	src/lib/es2023.array.d.ts	0	21	40289	4122	0	
src	src/lib/es2023.collection.d.ts	0	7	50	16	0	
src	src/lib/es2023.d.ts	0	7	150	9	0	
src	src/lib/es2023.full.d.ts	0	6	227	13	0	
src	src/lib/es2023.intl.d.ts	0	9	1830	750	0	
src	src/lib/es2024.arraybuffer.d.ts	0	7	1831	143	0	
src	src/lib/es2024.collection.d.ts	0	6	382	82	0	
src	src/lib/es2024.d.ts	0	5	321	17	0	
src	src/lib/es2024.full.d.ts	0	22	227	13	0	
src	src/lib/es2024.object.d.ts	0	29	417	92	0	
src	src/lib/es2024.promise.d.ts	0	19	553	109	0	
src	src/lib/es2024.regexp.d.ts	0	18	227	18	0	
src	src/lib/es2024.sharedmemory.d.ts	0	12	2274	328	0	
src	src/lib/es2024.string.d.ts	0	12	352	32	0	
src	src/lib/es5.d.ts	0	97	222169	26974	0	
src	src/lib/es5.full.d.ts	0	12	143	9	0	
src	src/lib/esnext.array.d.ts	0	11	955	200	0	
src	src/lib/esnext.collection.d.ts	0	8	3103	574	0	
src	src/lib/esnext.d.ts	0	11	440	23	0	
src	src/lib/esnext.decorators.d.ts	0	9	227	47	0	
src	src/lib/esnext.disposable.d.ts	0	11	6128	729	0	
src	src/lib/esnext.error.d.ts	0	6	182	32	0	
src	src/lib/esnext.float16.d.ts	0	18	20102	2257	0	
src	src/lib/esnext.full.d.ts	0	9	227	13	0	
src	src/lib/esnext.intl.d.ts	0	8	43	11	0	
src	src/lib/esnext.iterator.d.ts	0	8	7953	1022	0	
src	src/lib/esnext.promise.d.ts	0	10	821	90	0	
src	src/lib/esnext.sharedmemory.d.ts	0	5	221	28	0	
src	src/lib/header.d.ts	0	8	40	3	0	
src	src/lib/scripthost.d.ts	0	11	8902	1161	0	
src	src/lib/webworker.asynciterable.generated.d.ts	0	8	1034	261	0	
src	src/lib/webworker.generated.d.ts	0	215	608704	86420	0	
src	src/lib/webworker.importscripts.d.ts	0	7	193	34	0	
src	src/lib/webworker.iterable.generated.d.ts	0	30	21915	4810	0	
src	src/server/_namespaces/ts.server.protocol.ts	0	17	102	10	0	
src	src/server/_namespaces/ts.server.ts	0	16	682	115	0	
src	src/server/_namespaces/ts.ts	0	8	408	54	0	
src	src/server/editorServices.ts	0	200	268915	73779	0	
src	src/server/moduleSpecifierCache.ts	0	12	5258	1642	0	
src	src/server/packageJsonCache.ts	0	10	3051	1015	0	
src	src/server/project.ts	0	72	131363	41575	0	
src	src/server/protocol.ts	0	27	96386	13108	0	
src	src/server/scriptInfo.ts	0	17	28548	8967	0	
src	src/server/scriptVersionCache.ts	0	24	33003	12719	0	
src	src/server/session.ts	0	232	202281	70125	0	
src	src/server/types.ts	0	6	2271	701	0	
src	src/server/typingInstallerAdapter.ts	0	9	10643	2910	0	
src	src/server/utilities.ts	0	8	3297	1273	0	
src	src/server/utilitiesPublic.ts	0	8	4462	1565	0	
src	src/services/_namespaces/ts.BreakpointResolver.ts	0	8	108	10	0	
src	src/services/_namespaces/ts.CallHierarchy.ts	0	6	105	10	0	
src	src/services/_namespaces/ts.Completions.StringCompletions.ts	0	5	125	10	0	
src	src/services/_namespaces/ts.Completions.ts	0	5	209	31	0	
src	src/services/_namespaces/ts.FindAllReferences.ts	0	9	151	17	0	
src	src/services/_namespaces/ts.GoToDefinition.ts	0	6	107	10	0	
src	src/services/_namespaces/ts.InlayHints.ts	0	12	99	10	0	
src	src/services/_namespaces/ts.JsDoc.ts	0	7	89	10	0	
src	src/services/_namespaces/ts.MapCode.ts	0	5	93	10	0	
src	src/services/_namespaces/ts.NavigateTo.ts	0	6	99	10	0	
src	src/services/_namespaces/ts.NavigationBar.ts	0	8	105	10	0	
src	src/services/_namespaces/ts.OrganizeImports.ts	0	5	109	10	0	
src	src/services/_namespaces/ts.OutliningElementsCollector.ts	0	9	131	10	0	
src	src/services/_namespaces/ts.PasteEdits.ts	0	7	35	8	0	
src	src/services/_namespaces/ts.Rename.ts	0	8	91	10	0	
src	src/services/_namespaces/ts.SignatureHelp.ts	0	10	105	10	0	
src	src/services/_namespaces/ts.SmartSelectionRange.ts	0	7	112	10	0	
src	src/services/_namespaces/ts.SymbolDisplay.ts	0	7	105	10	0	
src	src/services/_namespaces/ts.classifier.ts	0	8	135	24	0	
src	src/services/_namespaces/ts.classifier.v2020.ts	0	7	109	10	0	
src	src/services/_namespaces/ts.codefix.ts	0	8	4361	521	0	
src	src/services/_namespaces/ts.formatting.ts	0	6	390	52	0	
src	src/services/_namespaces/ts.preparePasteEdits.ts	0	9	40	8	0	
src	src/services/_namespaces/ts.refactor.addOrRemoveBracesToArrowFunction.ts	0	8	233	17	0	
src	src/services/_namespaces/ts.refactor.convertArrowFunctionOrFunctionExpression.ts	0	8	178	10	0	
src	src/services/_namespaces/ts.refactor.convertParamsToDestructuredObject.ts	0	9	164	10	0	
src	src/services/_namespaces/ts.refactor.convertStringOrTemplateLiteral.ts	0	7	158	10	0	
src	src/services/_namespaces/ts.refactor.convertToOptionalChainExpression.ts	0	7	162	10	0	
