path	rc	ms	bytes	lines	maxrss_b
src/compiler/checker.ts	0	388	3121747	630064	104054784
src/lib/dom.generated.d.ts	0	155	1874048	235659	43302912
src/lib/webworker.generated.d.ts	0	71	608704	86420	21659648
src/compiler/parser.ts	0	97	539588	151166	26918912
src/compiler/utilities.ts	0	101	510858	153376	28049408
src/compiler/types.ts	0	80	486748	92523	23527424
src/compiler/factory/nodeFactory.ts	0	71	335027	82941	21610496
src/services/completions.ts	0	63	285036	70832	17711104
src/compiler/emitter.ts	0	66	272827	66274	18300928
src/server/editorServices.ts	0	75	268915	73779	17743872
src/compiler/program.ts	0	61	268261	61704	16531456
src/harness/fourslashImpl.ts	0	75	256145	106047	22085632
src/compiler/transformers/es2015.ts	0	49	231365	40203	15007744
src/lib/es5.d.ts	0	41	222169	26974	12468224
src/compiler/scanner.ts	0	59	219162	62087	18120704
src/server/session.ts	0	62	202281	70125	17072128
src/compiler/binder.ts	0	50	199121	40750	15155200
src/compiler/commandLineParser.ts	0	51	181717	50775	15253504
src/compiler/moduleNameResolver.ts	0	52	180972	50811	15450112
src/services/utilities.ts	0	53	171456	55583	16089088
