class	sites
edge_minted	75648
covered_ambiguous	11658
covered_callee_absent	10196
no_covering_def_unique_callee	740
covered_unique_callee	682
no_covering_def_callee_absent	508
no_covering_def_ambiguous	110
#	
file	sites	unresolved	ratio
src/compiler/checker.ts	18412	1688	0.092
src/testRunner/unittests/evaluation/esDecorators.ts	654	632	0.966
src/server/session.ts	1494	588	0.394
src/server/editorServices.ts	1499	565	0.377
src/compiler/utilities.ts	2165	546	0.252
src/harness/fourslashImpl.ts	1797	528	0.294
src/testRunner/unittests/paths.ts	743	507	0.682
src/compiler/program.ts	1428	442	0.310
src/compiler/parser.ts	3988	333	0.084
src/compiler/visitorPublic.ts	699	324	0.464
src/compiler/transformers/es2015.ts	1391	267	0.192
src/services/completions.ts	1339	243	0.181
src/testRunner/unittests/incrementalParser.ts	440	237	0.539
src/compiler/resolutionCache.ts	448	231	0.516
src/harness/fourslashInterfaceImpl.ts	452	228	0.504
src/compiler/tsbuildPublic.ts	667	223	0.334
src/harness/harnessIO.ts	501	219	0.437
src/testRunner/unittests/printer.ts	397	219	0.552
src/compiler/transformers/classFields.ts	985	208	0.211
src/compiler/builder.ts	607	204	0.336
src/compiler/emitter.ts	2111	202	0.096
src/compiler/transformers/module/module.ts	787	202	0.257
src/compiler/commandLineParser.ts	749	201	0.268
src/compiler/sys.ts	445	196	0.440
src/services/refactors/extractSymbol.ts	679	191	0.281
src/server/project.ts	775	190	0.245
src/services/services.ts	923	189	0.205
src/services/utilities.ts	889	187	0.210
src/compiler/moduleNameResolver.ts	898	184	0.205
src/testRunner/unittests/services/convertToAsyncFunction.ts	213	184	0.864
src/compiler/core.ts	339	179	0.528
src/compiler/transformers/esDecorators.ts	917	169	0.184
src/testRunner/unittests/tsserver/typingsInstaller.ts	630	166	0.263
src/compiler/scanner.ts	777	165	0.212
src/compiler/executeCommandLine.ts	466	151	0.324
src/compiler/moduleSpecifiers.ts	431	150	0.348
src/compiler/transformers/ts.ts	717	150	0.209
src/compiler/factory/nodeFactory.ts	1749	149	0.085
src/testRunner/unittests/evaluation/awaitUsingDeclarations.ts	188	143	0.761
src/testRunner/unittests/tsserver/configuredProjects.ts	414	138	0.333
src/testRunner/unittests/tsserver/projectReferenceCompileOnSave.ts	509	137	0.269
src/testRunner/unittests/helpers/virtualFileSystemWithWatch.ts	480	136	0.283
src/testRunner/unittests/evaluation/usingDeclarations.ts	176	135	0.767
src/services/codefixes/importFixes.ts	607	131	0.216
src/harness/incrementalUtils.ts	268	129	0.481
src/testRunner/unittests/reuseProgramStructure.ts	426	129	0.303
src/compiler/transformers/declarations.ts	693	128	0.185
src/compiler/transformers/generators.ts	777	125	0.161
src/testRunner/unittests/tsserver/session.ts	166	124	0.747
src/testRunner/unittests/moduleResolution.ts	465	122	0.262
src/testRunner/unittests/tsserver/projects.ts	441	122	0.277
src/testRunner/unittests/tsserver/versionCache.ts	141	121	0.858
src/compiler/watch.ts	272	120	0.441
src/testRunner/unittests/tsserver/autoImportProvider.ts	248	119	0.480
src/services/findAllReferences.ts	761	118	0.155
src/services/refactors/moveToFile.ts	435	118	0.271
src/compiler/transformers/es2018.ts	470	117	0.249
src/tsserver/nodeServer.ts	198	117	0.591
src/testRunner/parallel/host.ts	181	115	0.635
src/testRunner/unittests/compilerCore.ts	143	112	0.783
src/testRunner/unittests/tsserver/projectReferences.ts	433	103	0.238
src/compiler/transformers/module/system.ts	490	102	0.208
src/testRunner/unittests/tscWatch/watchApi.ts	261	98	0.375
src/testRunner/unittests/publicApi.ts	152	97	0.638
src/compiler/expressionToTypeNode.ts	503	95	0.189
src/typingsInstallerCore/typingsInstaller.ts	176	95	0.540
src/services/stringCompletions.ts	462	94	0.203
src/testRunner/unittests/services/organizeImports.ts	285	94	0.330
src/harness/vfsUtil.ts	444	89	0.200
src/services/codefixes/inferFromUsage.ts	416	89	0.214
src/compiler/watchPublic.ts	271	88	0.325
src/testRunner/unittests/services/patternMatcher.ts	174	87	0.500
src/testRunner/unittests/programApi.ts	141	85	0.603
src/compiler/factory/utilities.ts	352	78	0.222
src/compiler/path.ts	200	78	0.390
src/services/codefixes/fixAddMissingMember.ts	339	78	0.230
src/testRunner/unittests/semver.ts	227	78	0.344
src/testRunner/unittests/tsserver/projectErrors.ts	245	78	0.318
src/testRunner/unittests/tsserver/exportMapCache.ts	134	77	0.575
src/testRunner/unittests/tsserver/resolutionCache.ts	234	77	0.329
src/services/codefixes/convertToAsyncFunction.ts	349	76	0.218
src/services/exportInfoMap.ts	192	76	0.396
src/testRunner/projectsRunner.ts	168	75	0.446
src/testRunner/unittests/tsserver/externalProjects.ts	252	74	0.294
src/compiler/watchUtilities.ts	194	73	0.376
src/testRunner/unittests/tsserver/compileOnSave.ts	265	73	0.275
src/testRunner/unittests/services/languageService.ts	111	72	0.649
src/testRunner/unittests/tsserver/watchEnvironment.ts	203	72	0.355
src/compiler/transformers/es2017.ts	313	70	0.224
src/testRunner/unittests/tscWatch/incremental.ts	125	69	0.552
src/testRunner/unittests/transform.ts	211	67	0.318
src/testRunner/unittests/tscWatch/programUpdates.ts	415	67	0.161
src/compiler/builderState.ts	144	65	0.451
src/harness/harnessUtils.ts	102	65	0.637
src/testRunner/unittests/services/textChanges.ts	409	65	0.159
src/services/codefixes/helpers.ts	283	64	0.226
src/testRunner/unittests/helpers/tsserver.ts	171	64	0.374
src/services/textChanges.ts	568	63	0.111
src/compiler/debug.ts	281	62	0.221
src/harness/typeWriter.ts	127	62	0.488
src/testRunner/parallel/worker.ts	110	60	0.545
src/compiler/transformers/legacyDecorators.ts	222	58	0.261
src/harness/projectServiceStateLogger.ts	136	58	0.426
src/services/codefixes/fixUnusedIdentifier.ts	174	58	0.333
src/testRunner/unittests/tsserver/cachingFileSystemInformation.ts	179	58	0.324
src/compiler/binder.ts	1073	57	0.053
src/services/codefixes/convertToEsModule.ts	228	57	0.250
src/testRunner/unittests/tsserver/events/projectUpdatedInBackground.ts	140	57	0.407
src/services/formatting/formatting.ts	284	55	0.194
src/testRunner/unittests/helpers/tsc.ts	147	55	0.374
src/compiler/utilitiesPublic.ts	355	54	0.152
src/testRunner/unittests/tsbuild/sample.ts	165	54	0.327
src/harness/evaluatorImpl.ts	165	53	0.321
src/testRunner/unittests/sys/symlinkWatching.ts	183	52	0.284
src/compiler/transformers/jsx.ts	253	49	0.194
src/compiler/transformers/typeSerializer.ts	159	48	0.302
src/harness/compilerImpl.ts	110	48	0.436
src/harness/harnessLanguageService.ts	155	47	0.303
src/compiler/sourcemap.ts	152	46	0.303
src/compiler/transformers/module/esnextAnd2015.ts	142	46	0.324
src/testRunner/unittests/tsserver/projectReferencesSourcemap.ts	147	46	0.313
src/testRunner/unittests/services/colorization.ts	301	44	0.146
src/testRunner/unittests/tsserver/plugins.ts	120	44	0.367
src/services/codefixes/fixMissingTypeAnnotationOnExports.ts	333	43	0.129
src/testRunner/unittests/tsserver/pluginsAsync.ts	111	43	0.387
src/jsTyping/jsTyping.ts	100	41	0.410
src/testRunner/unittests/tsserver/moduleResolution.ts	103	41	0.398
src/services/refactors/convertImport.ts	115	39	0.339
src/testRunner/unittests/jsDocParsing.ts	180	39	0.217
src/testRunner/unittests/tsserver/inferredProjects.ts	110	39	0.355
src/compiler/programDiagnostics.ts	105	36	0.343
src/services/classifier.ts	172	36	0.209
src/testRunner/unittests/tsserver/completionsIncomplete.ts	124	36	0.290
src/compiler/factory/emitHelpers.ts	225	35	0.156
src/compiler/transformers/esnext.ts	229	35	0.153
src/services/navigationBar.ts	301	35	0.116
src/services/symbolDisplay.ts	414	35	0.085
src/testRunner/unittests/tscWatch/projectsWithReferences.ts	132	35	0.265
src/services/documentHighlights.ts	178	34	0.191
src/testRunner/unittests/helpers/baseline.ts	174	34	0.195
src/testRunner/unittests/tsbuildWatch/programUpdates.ts	164	34	0.207
src/testRunner/unittests/tsserver/projectsWithReferences.ts	105	34	0.324
src/services/callHierarchy.ts	237	33	0.139
src/services/codefixes/addMissingAwait.ts	109	33	0.303
src/services/refactors/convertExport.ts	107	33	0.308
src/testRunner/unittests/config/matchFiles.ts	114	32	0.281
src/services/formatting/smartIndenter.ts	127	31	0.244
src/compiler/transformers/destructuring.ts	180	30	0.167
src/services/refactors/extractType.ts	162	30	0.185
src/testRunner/unittests/tscWatch/resolutionCache.ts	141	30	0.213
src/testRunner/unittests/tsserver/declarationFileMaps.ts	165	30	0.182
src/harness/fakesHosts.ts	108	29	0.269
src/services/goToDefinition.ts	225	29	0.129
src/testRunner/unittests/tscWatch/watchEnvironment.ts	166	29	0.175
src/compiler/factory/parenthesizerRules.ts	138	28	0.203
src/compiler/transformers/declarations/diagnostics.ts	163	28	0.172
src/services/patternMatcher.ts	114	28	0.246
src/services/signatureHelp.ts	211	28	0.133
src/services/getEditsForFileRename.ts	108	26	0.241
src/services/outliningElementsCollector.ts	161	26	0.161
src/services/suggestionDiagnostics.ts	108	26	0.241
src/compiler/transformers/es2020.ts	108	25	0.231
src/services/inlayHints.ts	360	24	0.067
src/testRunner/unittests/tsserver/forceConsistentCasingInFileNames.ts	104	24	0.231
src/harness/client.ts	312	23	0.074
src/testRunner/unittests/config/commandLineParsing.ts	120	23	0.192
src/compiler/transformers/utilities.ts	200	22	0.110
src/services/refactors/convertParamsToDestructuredObject.ts	211	22	0.104
src/services/smartSelection.ts	123	22	0.179
src/server/scriptVersionCache.ts	179	21	0.117
src/harness/sourceMapRecorder.ts	109	20	0.183
src/server/scriptInfo.ts	153	20	0.131
src/services/codefixes/convertFunctionToEs6Class.ts	113	20	0.177
src/testRunner/unittests/tscWatch/emit.ts	103	20	0.194
src/testRunner/unittests/services/transpile.ts	116	19	0.164
src/services/codefixes/generateAccessors.ts	109	18	0.165
src/services/importTracker.ts	197	18	0.091
src/services/refactors/convertToOptionalChainExpression.ts	124	18	0.145
src/testRunner/unittests/tsserver/openFile.ts	119	18	0.151
src/testRunner/unittests/tsc/incremental.ts	135	17	0.126
src/compiler/semver.ts	138	16	0.116
src/compiler/transformer.ts	121	15	0.124
src/services/jsDoc.ts	127	15	0.118
src/services/preProcess.ts	104	15	0.144
src/testRunner/unittests/tscWatch/moduleResolution.ts	113	15	0.133
src/services/organizeImports.ts	213	13	0.061
src/testRunner/unittests/config/configurationExtension.ts	105	13	0.124
src/services/breakpoints.ts	194	12	0.062
src/services/formatting/rules.ts	263	5	0.019
