file	parse_ok	roundtrip_ok
aggregate_count_min_max_track_arrivals_and_retraction.dl6	1	1
aggregate_in_edge_head_rejected.dl6	1	1
aggregate_min_recomputes_when_the_minimum_is_retracted.dl6	1	1
aggregate_sum_tracks_a_growing_and_shrinking_group.dl6	1	1
any_two_tagged_arms_land_on_one_tick.dl6	1	1
arithmetic_rejects_non_int_operand_at_runtime.dl6	1	1
arrival_affinity_rewrite_keeps_delta.dl6	1	1
arrival_dup_batch_partial_ignore.dl6	1	1
async_state_machine_with_pattern_scan.dl6	1	1
backslash_in_string_literal_survives_both_doors.dl6	1	1
batched_increments_both_count.dl6	1	1
bind_computes_derived_value_then_comparison_filters.dl6	1	1
bool_identity_comparison_filters.dl6	1	1
bool_literals_round_trip.dl6	1	1
bool_rejects_text_ingress.dl6	1	1
bool_relation_negation_is_two_valued.dl6	1	1
braces_in_head_position.dl6	1	1
braces_literal_canonicalizes.dl6	1	1
callgraph_derivation_over_extraction.dl6	1	1
callgraph_unused_inverts_with_the_call_set.dl6	1	1
chain_into_keyed_head_replaces.dl6	1	1
changed_since_ignores_events_before_turn.dl6	1	1
changed_since_spans_two_turns.dl6	1	1
clean_state_gate_and_exit_zero.dl6	1	1
clean_state_no_diags.dl6	1	1
clock_rel_join_storms.dl6	1	1
coalesce_default_returns_when_source_retracts.dl6	1	1
coalesce_defaults_the_absent_row.dl6	1	1
coalesce_in_edge_body_samples.dl6	1	1
coalesce_over_derived_source.dl6	1	1
coalesce_under_negation_is_refused.dl6	1	1
coalesce_with_a_variable_default_is_refused.dl6	1	1
coalesce_with_two_outputs_is_refused.dl6	1	1
coalesce_without_an_output_is_refused.dl6	1	1
combine_edge_is_the_conjunction_spelling.dl6	1	1
combine_level_is_the_conjunction_spelling.dl6	1	1
comparison_filters_rows.dl6	1	1
complete_is_a_named_unsupported.dl6	1	1
completion_propagation_lattice_tick.dl6	1	1
concat_fold_follows_arrival_order.dl6	1	1
concat_fold_reversed_arrival_reverses_result.dl6	1	1
concat_program_queue.dl6	1	1
conjunction_edge_control_for_combine.dl6	1	1
conjunction_level_control_for_combine.dl6	1	1
count_is_bag_of_derivations.dl6	1	1
counter_fold_matches_hand_computation.dl6	1	1
created_at_pinned_updated_at_advances.dl6	1	1
declaration_order_preserves_struct_refs.dl6	1	1
decode_missing_key_fails_quietly.dl6	1	1
decode_open_pattern_binds_nested.dl6	1	1
demand_laziness_effect_rows.dl6	1	1
demand_view_fires_its_consumer_once.dl6	1	1
departed_fires_next_tick_on_retraction.dl6	1	1
derive_directory_prefix_via_rtrim_replace.dl6	1	1
desugared_trace_equals_hand_written.dl6	1	1
diag_scenario_seven_ticks_end_to_end.dl6	1	1
dirty_derives_from_digest_mismatch.dl6	1	1
dirty_retracts_on_matching_commit.dl6	1	1
division_truncates_toward_zero_mod_follows_divisor_sign.dl6	1	1
duplicate_host_name_is_refused.dl6	1	1
edge_chain_hops_tick_per_stage.dl6	1	1
edge_into_unkeyed_set_rejected.dl6	1	1
edge_trigger_literal_filters_on_the_oracle_door.dl6	1	1
enum_decl_two_variants_union_in_tag_view.dl6	1	1
enum_decl_variant_name_collision_is_refused.dl6	1	1
enum_decl_variant_rows_round_trip_through_tag_view.dl6	1	1
enum_name_is_a_column_type.dl6	1	1
enum_nullary_variant_boots_and_tags.dl6	1	1
enum_variant_field_typed_as_rel_is_a_ref.dl6	1	1
enum_variant_field_undeclared_type_still_throws.dl6	1	1
error_is_a_named_unsupported.dl6	1	1
exhaust_policy.dl6	1	1
extraction_fork_callgraph.dl6	1	1
extraction_fork_span_line.dl6	1	1
fill_as_cache_update_swr.dl6	1	1
filter_map_is_a_level_rule.dl6	1	1
finalize_over_log_fires_on_retention_prune.dl6	1	1
fix_by_waiver_returns_to_clean.dl6	1	1
flagship_flow_reach_over_batched_resolved_edges.dl6	1	1
flagship_flow_reach_over_resolved_edges.dl6	1	1
float_arithmetic_is_binary64.dl6	1	1
float_avg_is_grouped.dl6	1	1
float_avg_retracts_to_empty_group.dl6	1	1
float_exact_comparison_has_no_epsilon.dl6	1	1
float_exact_join_has_no_epsilon.dl6	1	1
float_integral_value_keeps_real_storage.dl6	1	1
float_negative_zero_canonical_boundary.dl6	1	1
float_rejects_non_float_ingress.dl6	1	1
float_shortest_round_trip_wire.dl6	1	1
float_widens_integer_ingress.dl6	1	1
float_widens_wide_integer_ingress.dl6	1	1
flow_arg_param_hop_is_positional_and_site_pinned.dl6	1	1
flow_sig_owner_join_types_the_resolved_callee.dl6	1	1
fork_join_error_arm_is_a_value.dl6	1	1
fork_join_is_a_conjunctive_body.dl6	1	1
generic_expansion_end_to_end.dl6	1	1
ghcacher_host_program_term.dl6	1	1
ghcacher_json_normalization.dl6	1	1
group_concat_one_argument_joins_members.dl6	1	1
groupby_aggregate_two_bare_integer_literals.dl6	1	1
groupby_two_bare_integer_literals.dl6	1	1
guard_stage_fires_on_negation_and_comparison.dl6	1	1
guard_stage_silent_below_threshold.dl6	1	1
guard_stage_silent_when_muted.dl6	1	1
head_column_int_widens_into_float.dl6	1	1
head_column_list_and_json_share_storage.dl6	1	1
head_column_type_conflict_is_refused.dl6	1	1
head_expression_evaluates_derived_column.dl6	1	1
head_move_flips_current_tree_in_one_tick.dl6	1	1
head_move_replaces_key.dl6	1	1
higher_order_call_goal_rejected.dl6	1	1
higher_order_call_over_atom_rejected.dl6	1	1
host_free_query_leaves_a_derived_rel_unsubscribed.dl6	1	1
host_input_column_shadows_runtime_witness.dl6	1	1
host_output_column_shadows_runtime_ordinal.dl6	1	1
identical_demand_dedups.dl6	1	1
identical_increments_stack_as_log_deltas.dl6	1	1
increment_decrement_same_tick_nets_zero.dl6	1	1
int_accepts_integral_float.dl6	1	1
int_float_arithmetic_keeps_real_result.dl6	1	1
int_out_of_range_is_named_unsupported.dl6	1	1
int_rejects_fractional_ingress.dl6	1	1
interpolation_desugars_to_concat.dl6	1	1
json_absent_key_yields_no_row_under_arrivals.dl6	1	1
json_array_groups_and_nests.dl6	1	1
json_array_keeps_bag_duplicates.dl6	1	1
json_array_spread_fans_out_correlated_siblings.dl6	1	1
json_array_spread_skips_non_matching_elements.dl6	1	1
json_capture_type_bool_is_refused.dl6	1	1
json_capture_type_typo_is_refused.dl6	1	1
json_control_escapes_inside_a_document.dl6	1	1
json_deep_exact_key_chain_binds.dl6	1	1
json_descent_into_scalars_is_silent.dl6	1	1
json_descent_matches_at_any_depth.dl6	1	1
json_each_fans_out.dl6	1	1
json_empty_containers_nest.dl6	1	1
json_empty_object_pattern_matches_any_object.dl6	1	1
json_empty_string_key_round_trips.dl6	1	1
json_key_capture_binds_key_and_value.dl6	1	1
json_key_capture_nests_and_fans_out.dl6	1	1
json_list_columns_emit_array_items.dl6	1	1
json_marker_shaped_keys_are_ordinary_data.dl6	1	1
json_nfc_and_nfd_keys_stay_distinct.dl6	1	1
json_non_ascii_keys_sort_by_code_point.dl6	1	1
json_null_round_trips_byte_identical.dl6	1	1
json_object_builds_document.dl6	1	1
json_object_dup_key_rejected.dl6	1	1
json_object_groups_rows_into_documents.dl6	1	1
json_object_orders_keys.dl6	1	1
json_object_throws_on_duplicate_keys.dl6	1	1
json_patch_fold_merges_arrival_documents.dl6	1	1
json_patch_fold_result_is_key_sorted.dl6	1	1
json_patch_merges_nested_objects_recursively.dl6	1	1
json_patch_non_object_patch_replaces_the_document.dl6	1	1
json_patch_non_object_target_becomes_empty.dl6	1	1
json_patch_null_value_composes.dl6	1	1
json_patch_null_value_sets_key.dl6	1	1
json_patch_replaces_arrays_wholesale.dl6	1	1
json_round_trip_decode_to_document.dl6	1	1
json_safe_integer_boundary_survives_both_doors.dl6	1	1
json_spread_and_capture_and_descent_multiply.dl6	1	1
json_string_control_escapes_are_valid_json.dl6	1	1
json_top_level_scalar_document_is_a_value.dl6	1	1
json_typed_capture_filters_a_wrong_typed_value.dl6	1	1
json_typed_capture_folds_into_a_keyed_int_total.dl6	1	1
json_untyped_capture_binds_without_a_type.dl6	1	1
keep_on_non_log_rel_rejected.dl6	1	1
key_identical_write_is_silent.dl6	1	1
key_last_write_wins.dl6	1	1
key_range_reported_before_unknown_column_type.dl6	1	1
key_same_tick_ordered_not_conflict.dl6	1	1
keyed_edge_head_still_replaces.dl6	1	1
keyed_level_head_is_refused.dl6	1	1
keyed_log_rejected.dl6	1	1
keyed_replace_departs_the_old_row.dl6	1	1
latest_in_level_rule_rejected.dl6	1	1
level_view_reads_set_projection_not_occurrences.dl6	1	1
list_bare_column_round_trips.dl6	1	1
list_bare_text_door.dl6	1	1
list_column_fans_out_through_spread.dl6	1	1
