budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
constrained	10	400	10	pg_ivm	delete_batch	3	10	10	20	245	0.678417	0.635083	0.702583	0.551875	0.501500	0.580875	1.254458	1.136583	1.259292	0.184500	0.050375
constrained	10	400	10	pg_ivm	dimension_fanout	3	1	10	20	246	0.716292	0.673250	0.794333	0.529917	0.508250	0.562709	1.246209	1.181500	1.357042	0.178958	0.041917
constrained	10	400	10	pg_ivm	initial	3	0	0	20	241	0.000000	0.000000	0.000000	0.592542	0.542459	0.629666	0.592542	0.542459	0.629666	0.210500	0.155125
constrained	10	400	10	pg_ivm	insert_batch	3	10	10	20	245	0.923125	0.900833	1.259041	0.582291	0.551791	0.694167	1.505416	1.452624	1.953208	0.194000	0.050416
constrained	10	400	10	pg_ivm	update_batch	3	10	10	20	245	0.969833	0.752417	1.091791	0.596833	0.563834	0.638458	1.533667	1.390875	1.688624	0.195542	0.044833
constrained	10	400	10	query	delete_batch	3	10	10	20	245	0.228750	0.213875	0.280500	0.640167	0.579541	0.650417	0.868917	0.793416	0.930917	0.186125	0.045000
constrained	10	400	10	query	dimension_fanout	3	1	10	20	246	0.200000	0.183750	0.229500	0.718208	0.718166	0.901625	0.918208	0.901916	1.131125	0.213041	0.041167
constrained	10	400	10	query	initial	3	0	0	20	241	0.000000	0.000000	0.000000	0.838959	0.776708	0.884917	0.838959	0.776708	0.884917	0.221791	0.151458
constrained	10	400	10	query	insert_batch	3	10	10	20	245	0.454792	0.423708	0.592125	0.656333	0.625750	0.717959	1.111125	1.049458	1.310084	0.203875	0.055875
constrained	10	400	10	query	update_batch	3	10	10	20	245	0.362833	0.341666	0.395292	0.684541	0.578916	0.722250	1.047374	0.920582	1.117542	0.168917	0.038333
constrained	10	12000	10	pg_ivm	delete_batch	3	10	10	110	1605	0.923208	0.870667	1.028041	0.580958	0.566375	0.697333	1.594416	1.451625	1.620541	0.358959	0.083708
constrained	10	12000	10	pg_ivm	dimension_fanout	3	1	10	110	1607	0.738000	0.567791	0.764750	0.578625	0.559209	0.662666	1.316625	1.127000	1.427416	0.363875	0.092667
constrained	10	12000	10	pg_ivm	initial	3	0	0	110	1608	0.000000	0.000000	0.000000	0.798083	0.762458	0.840000	0.798083	0.762458	0.840000	0.472208	0.204541
constrained	10	12000	10	pg_ivm	insert_batch	3	10	10	110	1605	1.082875	0.945750	1.185375	0.606625	0.582417	0.608459	1.689500	1.528167	1.793834	0.474125	0.098083
constrained	10	12000	10	pg_ivm	update_batch	3	10	10	110	1606	1.017917	0.899250	1.032458	0.593709	0.573000	0.650458	1.605458	1.492959	1.668375	0.360709	0.065250
constrained	10	12000	10	query	delete_batch	3	10	10	110	1605	0.257625	0.228167	0.343459	2.244625	2.190083	2.589166	2.502250	2.418250	2.932625	0.297458	0.071584
constrained	10	12000	10	query	dimension_fanout	3	1	10	110	1607	0.195041	0.165583	0.238458	2.203792	2.201666	2.405875	2.396707	2.369375	2.644333	0.256958	0.095292
constrained	10	12000	10	query	initial	3	0	0	110	1608	0.000000	0.000000	0.000000	2.496875	2.429667	2.511792	2.496875	2.429667	2.511792	0.435250	0.192125
constrained	10	12000	10	query	insert_batch	3	10	10	110	1605	0.403625	0.354875	0.692250	2.187291	2.116666	2.372916	2.776541	2.471541	2.879541	0.434250	0.068209
constrained	10	12000	10	query	update_batch	3	10	10	110	1606	0.342458	0.301500	0.403417	2.190709	2.104417	2.457500	2.594126	2.446875	2.759000	0.323958	0.063333
constrained	200	400	10	pg_ivm	delete_batch	3	10	10	20	249	0.754125	0.700167	0.874875	0.585583	0.552833	0.629917	1.306958	1.285750	1.504792	0.210959	0.054291
constrained	200	400	10	pg_ivm	dimension_fanout	3	1	200	20	249	0.822500	0.791084	0.831292	0.551875	0.533708	0.584584	1.374375	1.324792	1.415876	0.169250	0.046708
constrained	200	400	10	pg_ivm	initial	3	0	0	20	244	0.000000	0.000000	0.000000	0.721125	0.668709	0.781625	0.721125	0.668709	0.781625	0.252250	0.215250
constrained	200	400	10	pg_ivm	insert_batch	3	10	10	20	247	1.006250	0.975166	1.040041	0.584291	0.569125	0.617458	1.592624	1.590541	1.609166	0.219584	0.057333
constrained	200	400	10	pg_ivm	update_batch	3	10	10	20	248	0.944917	0.936042	1.128792	0.623000	0.556958	0.678750	1.614792	1.501875	1.751792	0.191833	0.042334
constrained	200	400	10	query	delete_batch	3	10	10	20	249	0.255166	0.242542	0.334625	0.750500	0.731042	17.026000	1.085125	0.973584	17.281166	0.247250	0.064000
constrained	200	400	10	query	dimension_fanout	3	1	200	20	249	0.215667	0.167541	0.397417	0.739542	0.738125	0.750875	0.955209	0.918416	1.135542	0.212333	0.053625
constrained	200	400	10	query	initial	3	0	0	20	244	0.000000	0.000000	0.000000	0.970833	0.922667	1.001917	0.970833	0.922667	1.001917	0.277708	0.182375
constrained	200	400	10	query	insert_batch	3	10	10	20	247	0.601709	0.560125	0.638083	0.834958	0.749000	1.026375	1.473041	1.309125	1.628084	0.299792	0.074167
constrained	200	400	10	query	update_batch	3	10	10	20	248	0.480333	0.478583	0.614083	0.748291	0.731625	0.753959	1.234292	1.226874	1.345708	0.228625	0.042167
constrained	200	1200	10	pg_ivm	delete_batch	3	10	10	35	448	0.943166	0.725833	1.091333	0.714916	0.598500	0.856292	1.541666	1.440749	1.947625	0.299375	0.079458
constrained	200	1200	10	pg_ivm	dimension_fanout	3	1	200	35	450	0.820167	0.721375	0.912958	0.654667	0.612875	0.683083	1.433042	1.404458	1.567625	0.279375	0.072417
constrained	200	1200	10	pg_ivm	initial	3	0	0	35	444	0.000000	0.000000	0.000000	0.753458	0.716500	1.400750	0.753458	0.716500	1.400750	0.305541	0.243333
constrained	200	1200	10	pg_ivm	insert_batch	3	10	10	35	449	1.143959	1.064708	1.206333	0.755875	0.666458	0.907042	1.872791	1.820583	2.051001	0.296250	0.064291
constrained	200	1200	10	pg_ivm	update_batch	3	10	10	35	449	0.928250	0.867333	0.970333	0.579792	0.578834	0.626208	1.507084	1.447125	1.596541	0.261000	0.071000
constrained	200	1200	10	query	delete_batch	3	10	10	35	448	0.268958	0.210625	0.324250	0.897834	0.822333	0.954917	1.146583	1.108459	1.223875	0.286125	0.068167
constrained	200	1200	10	query	dimension_fanout	3	1	200	35	450	0.284792	0.214834	0.366166	1.437875	0.964625	2.331834	1.652709	1.249417	2.698000	0.297291	0.078416
constrained	200	1200	10	query	initial	3	0	0	35	444	0.000000	0.000000	0.000000	1.109125	1.063084	1.160041	1.109125	1.063084	1.160041	0.364541	0.205833
constrained	200	1200	10	query	insert_batch	3	10	10	35	449	0.369583	0.364500	0.407125	0.869708	0.855875	0.879250	1.243750	1.225458	1.276833	0.254959	0.064000
constrained	200	1200	10	query	update_batch	3	10	10	35	449	0.297042	0.293875	0.353083	0.866625	0.812166	0.963625	1.163667	1.106041	1.316708	0.270125	0.056916
constrained	200	4000	10	pg_ivm	delete_batch	3	10	10	64	879	0.990625	0.817167	1.121167	0.676500	0.612292	0.711083	1.602917	1.493667	1.832250	0.388917	0.076834
constrained	200	4000	10	pg_ivm	dimension_fanout	3	1	200	64	880	0.904833	0.879542	0.935375	0.636958	0.605333	0.677667	1.541791	1.540708	1.557209	0.265083	0.071292
constrained	200	4000	10	pg_ivm	initial	3	0	0	64	878	0.000000	0.000000	0.000000	0.840791	0.728875	0.851125	0.840791	0.728875	0.851125	0.455000	0.209833
constrained	200	4000	10	pg_ivm	insert_batch	3	10	10	64	879	1.062042	0.985333	1.111583	0.649125	0.577375	0.676125	1.711167	1.562708	1.787708	0.363125	0.087334
constrained	200	4000	10	pg_ivm	update_batch	3	10	10	64	879	0.970500	0.912250	1.099791	0.657542	0.599083	0.719083	1.689583	1.511333	1.757333	0.283083	0.072125
constrained	200	4000	10	query	delete_batch	3	10	10	64	879	0.598791	0.444250	0.680583	1.351500	1.256667	1.421667	1.865917	1.855458	2.032083	0.429375	0.093750
constrained	200	4000	10	query	dimension_fanout	3	1	200	64	880	0.303584	0.286375	0.307000	1.820000	1.277083	2.029583	2.127000	1.580667	2.315958	0.323125	0.084042
constrained	200	4000	10	query	initial	3	0	0	64	878	0.000000	0.000000	0.000000	1.661625	1.599792	2.938125	1.661625	1.599792	2.938125	0.462041	0.232625
constrained	200	4000	10	query	insert_batch	3	10	10	64	879	0.657542	0.404333	1.014250	1.500875	1.301917	1.625792	2.158417	1.706250	2.640042	0.478250	0.118666
constrained	200	4000	10	query	update_batch	3	10	10	64	879	0.329917	0.300583	0.406834	1.374334	1.300125	1.413583	1.706959	1.704251	1.714166	0.297708	0.081542
constrained	200	12000	1	pg_ivm	delete_batch	3	1	1	110	1608	0.787750	0.699375	0.883583	0.703209	0.636541	0.726667	1.514417	1.335916	1.586792	0.368875	0.096834
constrained	200	12000	1	pg_ivm	dimension_fanout	3	1	200	110	1609	0.867292	0.811041	1.041292	0.750208	0.691167	0.758584	1.569625	1.558459	1.791500	0.303583	0.104500
constrained	200	12000	1	pg_ivm	initial	3	0	0	110	1608	0.000000	0.000000	0.000000	0.938417	0.801875	1.011417	0.938417	0.801875	1.011417	0.586791	0.219583
