budget	fanout	rows	batch_size	stage	status	measured_pairs	full_query_update_plus_query_median_ms	ivm_update_plus_query_median_ms	full_query_over_ivm_speedup_median	speedup_min	speedup_max	speedup_span_percent	full_query_setup_median_ms	ivm_setup_median_ms	full_query_process_median_ms	ivm_process_median_ms	postgres_group_observed_peak_rss_kb	full_query_database_median_bytes	ivm_database_median_bytes
constrained	10	400	10	fanout-anchor	measured	3	3.923999	5.582040	0.702969	0.697073	0.738116	5.839	4.628665	7.157709	69.732792	73.310250	65008.000000	7878335.000000	8074943.000000
constrained	10	12000	10	fanout-anchor	measured	3	10.242292	6.063208	1.689253	1.612999	1.803606	11.284	40.877958	48.034500	121.309667	127.936750	68048.000000	8828607.000000	9180863.000000
constrained	200	400	10	batch10-row-sweep	measured	3	4.928000	5.954958	0.825242	0.798238	3.508204	328.384	5.326833	8.672085	77.587125	78.144542	65344.000000	8058559.000000	8500927.000000
constrained	200	1200	10	batch10-row-sweep	measured	3	5.392833	6.391832	0.843707	0.759256	0.899237	16.591	7.079709	10.641834	83.865000	87.103583	65248.000000	8206015.000000	8787647.000000
constrained	200	4000	10	batch10-row-sweep	measured	3	8.054458	6.395916	1.177115	1.098507	1.311317	18.079	16.360541	19.347959	99.877459	94.918459	50048.000000	8525503.000000	9230015.000000
constrained	200	12000	1	batch-sweep	measured	3	11.529334	6.714459	1.603524	1.588515	1.853168	16.504	42.905375	49.350375	132.276583	133.441334	69200.000000	9590463.000000	10933951.000000
constrained	200	12000	10	batch10-row-sweep	measured	3	13.492044	6.813958	1.555025	0.881331	2.333190	93.366	52.078417	53.276500	147.779458	135.169666	57664.000000	9180863.000000	10049215.000000
constrained	200	12000	100	batch-sweep	measured	3	11.933873	11.586040	1.059929	0.940954	1.221903	26.506	43.177459	48.514500	138.577792	141.776958	69152.000000	9696959.000000	11187903.000000
constrained	200	12000	1000	batch-sweep	measured	3	19.983126	20.376041	0.966127	0.509737	1.063759	57.345	46.691250	50.672459	167.092583	147.854542	71840.000000	9729727.000000	10958527.000000
constrained	200	40000	10	larger-batch10	measured	3	25.367166	6.992751	3.678643	2.016963	3.914876	51.593	161.957333	163.533418	278.440208	275.554708	73504.000000	11433663.000000	12547775.000000
constrained	200	160000	10	larger-batch10	measured	3	87.031918	7.676959	11.451888	11.336770	11.631516	2.574	791.588918	779.305709	1046.820291	967.055834	90576.000000	20256447.000000	21239487.000000
roomy	10	400	10	fanout-anchor	measured	3	4.674833	6.210833	0.752690	0.698950	0.819435	16.007	5.089209	8.060709	78.390541	81.300583	85568.000000	7878335.000000	8074943.000000
roomy	10	12000	10	fanout-anchor	measured	3	13.141293	7.011792	1.830118	1.591365	1.874170	15.453	45.570374	57.003958	169.575000	143.683209	87216.000000	8828607.000000	9180863.000000
roomy	200	400	10	batch10-row-sweep	measured	3	6.584917	7.163833	0.919189	0.447584	2.185241	189.042	6.178708	14.154792	92.691292	88.723667	70272.000000	8058559.000000	8500927.000000
roomy	200	12000	10	batch10-row-sweep	measured	3	10.732084	7.133166	1.658102	1.500440	1.676727	10.632	40.744250	45.113000	128.006875	127.201250	71728.000000	8984255.000000	9598655.000000
roomy	200	12000	1000	batch-sweep	measured	3	19.286251	19.458000	1.033670	0.268347	1.103790	80.823	39.976457	46.243209	137.438500	198.417667	72080.000000	9410239.000000	10294975.000000
roomy	200	160000	10	larger-batch10	measured	3	89.613333	7.763083	12.099624	11.495980	12.193035	5.761	541.138292	597.965583	808.017583	746.127750	103472.000000	20076223.000000	20788927.000000
