budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
constrained	10	400	10	dd	delete_batch	5	10	10	20	245	0.033583	0.033375	0.037250	0.000084	0.000083	0.000125	0.033667	0.033458	0.037334		
constrained	10	400	10	dd	dimension_fanout	5	1	10	20	246	0.024250	0.024000	0.024792	0.000084	0.000042	0.000125	0.024292	0.024084	0.024875		
constrained	10	400	10	dd	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.000416	0.000125	0.000500	0.000416	0.000125	0.000500		
constrained	10	400	10	dd	insert_batch	5	10	10	20	245	0.037750	0.036791	0.037875	0.000125	0.000125	0.000167	0.037875	0.036958	0.038000		
constrained	10	400	10	dd	update_batch	5	10	10	20	245	0.034916	0.033333	0.035125	0.000083	0.000083	0.000125	0.034999	0.033416	0.035250		
constrained	10	400	10	pg_ivm	delete_batch	5	10	10	20	245	0.588458	0.566708	0.621792	0.696834	0.658292	0.828375	1.283708	1.246750	1.450167	0.059458	0.035750
constrained	10	400	10	pg_ivm	dimension_fanout	5	1	10	20	246	0.610667	0.571083	0.650750	0.670583	0.621750	0.685667	1.256750	1.232417	1.321333	0.052541	0.031500
constrained	10	400	10	pg_ivm	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.776500	0.756750	0.864000	0.776500	0.756750	0.864000	0.124916	0.332958
constrained	10	400	10	pg_ivm	insert_batch	5	10	10	20	245	0.840708	0.780666	4.575166	0.725083	0.697541	0.759291	1.565791	1.478207	5.330583	0.079791	0.054042
constrained	10	400	10	pg_ivm	update_batch	5	10	10	20	245	0.754334	0.726667	0.780709	0.670417	0.651042	0.785958	1.415542	1.377709	1.566667	0.054500	0.032750
constrained	10	400	10	sqlite-plugin-delta	delete_batch	5	10	10	20	245	0.258166	0.248083	0.264458	0.033583	0.033250	0.035458	0.293624	0.281416	0.297708		
constrained	10	400	10	sqlite-plugin-delta	dimension_fanout	5	1	10	20	246	0.254625	0.247417	0.264042	0.032333	0.031917	0.033041	0.287583	0.279750	0.297083		
constrained	10	400	10	sqlite-plugin-delta	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.044333	0.044000	0.055167	0.044333	0.044000	0.055167		
constrained	10	400	10	sqlite-plugin-delta	insert_batch	5	10	10	20	245	0.315208	0.306666	0.330375	0.038500	0.036500	0.041708	0.353708	0.343166	0.371000		
constrained	10	400	10	sqlite-plugin-delta	update_batch	5	10	10	20	245	0.365917	0.360375	0.374000	0.032459	0.032125	0.033792	0.399542	0.392834	0.407750		
constrained	10	400	10	sqlite-plugin-logged	delete_batch	5	10	10	20	245	0.236833	0.209666	0.266584	0.040500	0.033167	0.084667	0.277333	0.243541	0.351251		
constrained	10	400	10	sqlite-plugin-logged	dimension_fanout	5	1	10	20	246	0.278833	0.268375	0.312667	0.034250	0.033292	0.048500	0.312125	0.302625	0.361167		
constrained	10	400	10	sqlite-plugin-logged	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.049792	0.042916	0.093375	0.049792	0.042916	0.093375		
constrained	10	400	10	sqlite-plugin-logged	insert_batch	5	10	10	20	245	0.277459	0.256250	0.382375	0.047083	0.036917	0.084541	0.329791	0.293167	0.429458		
constrained	10	400	10	sqlite-plugin-logged	update_batch	5	10	10	20	245	0.345375	0.313583	0.422958	0.036375	0.032916	0.048667	0.381750	0.346499	0.471625		
constrained	10	400	10	sqlite-template-group	delete_batch	5	10	10	20	245	0.414917	0.402792	0.451833	0.041625	0.040541	0.063667	0.456542	0.444334	0.498667		
constrained	10	400	10	sqlite-template-group	dimension_fanout	5	1	10	20	246	0.187667	0.184500	0.250875	0.034500	0.033459	0.047209	0.221126	0.219000	0.298084		
constrained	10	400	10	sqlite-template-group	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.047958	0.045834	0.061500	0.047958	0.045834	0.061500		
constrained	10	400	10	sqlite-template-group	insert_batch	5	10	10	20	245	0.430667	0.424084	0.473459	0.054584	0.044542	0.089667	0.483042	0.482833	0.563126		
constrained	10	400	10	sqlite-template-group	update_batch	5	10	10	20	245	0.455208	0.443292	0.530375	0.037792	0.036000	0.062459	0.493000	0.479584	0.592834		
constrained	10	12000	10	dd	delete_batch	5	10	10	110	1605	0.037708	0.037458	0.038416	0.000416	0.000333	0.000458	0.038125	0.037916	0.038791		
constrained	10	12000	10	dd	dimension_fanout	5	1	10	110	1607	0.027542	0.026959	0.031666	0.000291	0.000291	0.000334	0.027833	0.027250	0.031958		
constrained	10	12000	10	dd	initial	5	0	0	110	1608	0.000000	0.000000	0.000000	0.000583	0.000417	0.000625	0.000583	0.000417	0.000625		
constrained	10	12000	10	dd	insert_batch	5	10	10	110	1605	0.042125	0.041500	0.061959	0.000375	0.000292	0.000416	0.042541	0.041792	0.062334		
constrained	10	12000	10	dd	update_batch	5	10	10	110	1606	0.038333	0.037084	0.042417	0.000334	0.000250	0.000375	0.038583	0.037418	0.042792		
constrained	10	12000	10	pg_ivm	delete_batch	5	10	10	110	1605	0.903000	0.830000	0.947292	0.834916	0.738667	0.924292	1.737916	1.575458	1.871584	0.136125	0.057542
constrained	10	12000	10	pg_ivm	dimension_fanout	5	1	10	110	1607	0.599208	0.566500	0.739792	0.705250	0.689875	0.769125	1.314625	1.263667	1.429667	0.134000	0.073833
constrained	10	12000	10	pg_ivm	initial	5	0	0	110	1608	0.000000	0.000000	0.000000	0.774917	0.698542	0.950375	0.774917	0.698542	0.950375	0.379667	0.393417
constrained	10	12000	10	pg_ivm	insert_batch	5	10	10	110	1605	2.002416	1.890833	2.106750	0.990834	0.900709	1.063000	3.035250	2.791542	3.142625	0.168375	0.086500
constrained	10	12000	10	pg_ivm	update_batch	5	10	10	110	1606	0.940583	0.898666	1.102208	0.827250	0.760292	0.848250	1.776958	1.658958	1.950458	0.144292	0.059584
constrained	10	12000	10	sqlite-plugin-delta	delete_batch	5	10	10	110	1605	0.295083	0.281792	0.325000	0.051084	0.050083	0.058333	0.348625	0.331875	0.376084		
