budget	rows	batch_size	fanout	arm	successful_trials	median_ms	min_ms	max_ms	states_per_arm	final_input_hash	final_checksum
constrained	400	10	10	pg_ivm	5	5.351042	5.032959	5.496083	5	42b8618996cb3fc8f98b19b55c825ee62ec89e075d987e6a7cd62be557622ece	2280b39b174a08246150f25505cb79e2cd7321a215f121e7e75b65e7c1d2cc1f
constrained	400	10	10	sqlite-template-group	5	1.640501	1.595207	1.773501	5	42b8618996cb3fc8f98b19b55c825ee62ec89e075d987e6a7cd62be557622ece	2280b39b174a08246150f25505cb79e2cd7321a215f121e7e75b65e7c1d2cc1f
constrained	400	10	10	dd	5	0.132291	0.129666	0.135084	5	42b8618996cb3fc8f98b19b55c825ee62ec89e075d987e6a7cd62be557622ece	2280b39b174a08246150f25505cb79e2cd7321a215f121e7e75b65e7c1d2cc1f
constrained	400	10	10	sqlite-plugin-delta	5	1.526666	1.397793	1.619249	5	42b8618996cb3fc8f98b19b55c825ee62ec89e075d987e6a7cd62be557622ece	2280b39b174a08246150f25505cb79e2cd7321a215f121e7e75b65e7c1d2cc1f
constrained	400	10	10	sqlite-plugin-logged	5	1.319917	1.311167	1.424166	5	42b8618996cb3fc8f98b19b55c825ee62ec89e075d987e6a7cd62be557622ece	2280b39b174a08246150f25505cb79e2cd7321a215f121e7e75b65e7c1d2cc1f
constrained	12000	10	10	pg_ivm	5	7.521668	7.193917	9.175625	5	0f6725bcfcf027eea159d800d54bbbf905689b085de919faaa3bdd8406b4507c	965080100ce9e71aa78a9493dbc09863be6d412b213c3a9b1b90e1dcc06b4540
constrained	12000	10	10	sqlite-template-group	5	3.661166	3.548376	4.108375	5	0f6725bcfcf027eea159d800d54bbbf905689b085de919faaa3bdd8406b4507c	965080100ce9e71aa78a9493dbc09863be6d412b213c3a9b1b90e1dcc06b4540
constrained	12000	10	10	dd	5	0.161875	0.155876	0.222457	5	0f6725bcfcf027eea159d800d54bbbf905689b085de919faaa3bdd8406b4507c	965080100ce9e71aa78a9493dbc09863be6d412b213c3a9b1b90e1dcc06b4540
constrained	12000	10	10	sqlite-plugin-delta	5	1.745332	1.621667	2.046625	5	0f6725bcfcf027eea159d800d54bbbf905689b085de919faaa3bdd8406b4507c	965080100ce9e71aa78a9493dbc09863be6d412b213c3a9b1b90e1dcc06b4540
constrained	12000	10	10	sqlite-plugin-logged	5	1.852002	1.778917	1.914999	5	0f6725bcfcf027eea159d800d54bbbf905689b085de919faaa3bdd8406b4507c	965080100ce9e71aa78a9493dbc09863be6d412b213c3a9b1b90e1dcc06b4540
constrained	400	10	200	pg_ivm	5	5.312916	5.029543	6.325333	5	80ecb845449fc678e06bb74de31fa1df921e3246ef9ae170a040302f69b87cb6	377e6ce5bfd1c536ea31668d5caa41219a6cd69ea4231c97002b87cb9c8d0706
constrained	400	10	200	sqlite-template-group	5	1.621460	1.541126	1.738084	5	80ecb845449fc678e06bb74de31fa1df921e3246ef9ae170a040302f69b87cb6	377e6ce5bfd1c536ea31668d5caa41219a6cd69ea4231c97002b87cb9c8d0706
constrained	400	10	200	dd	5	0.147875	0.141917	0.153292	5	80ecb845449fc678e06bb74de31fa1df921e3246ef9ae170a040302f69b87cb6	377e6ce5bfd1c536ea31668d5caa41219a6cd69ea4231c97002b87cb9c8d0706
constrained	400	10	200	sqlite-plugin-delta	5	1.598167	1.489291	1.722000	5	80ecb845449fc678e06bb74de31fa1df921e3246ef9ae170a040302f69b87cb6	377e6ce5bfd1c536ea31668d5caa41219a6cd69ea4231c97002b87cb9c8d0706
constrained	400	10	200	sqlite-plugin-logged	5	1.360457	1.243416	1.424586	5	80ecb845449fc678e06bb74de31fa1df921e3246ef9ae170a040302f69b87cb6	377e6ce5bfd1c536ea31668d5caa41219a6cd69ea4231c97002b87cb9c8d0706
constrained	1200	10	200	pg_ivm	5	6.505793	6.240792	7.918457	5	2fabc2745e87bb3614339de3da34fcfda3802e32f5cae798f4d2636ac99975a9	7c935da0b1eb7913e5852d79c288a029bfb03d74792e0b682740b25113246d4b
constrained	1200	10	200	sqlite-template-group	5	2.483292	2.341583	6.624207	5	2fabc2745e87bb3614339de3da34fcfda3802e32f5cae798f4d2636ac99975a9	7c935da0b1eb7913e5852d79c288a029bfb03d74792e0b682740b25113246d4b
constrained	1200	10	200	dd	5	0.154499	0.137832	0.157457	5	2fabc2745e87bb3614339de3da34fcfda3802e32f5cae798f4d2636ac99975a9	7c935da0b1eb7913e5852d79c288a029bfb03d74792e0b682740b25113246d4b
constrained	1200	10	200	sqlite-plugin-delta	5	1.694917	1.284499	3.476168	5	2fabc2745e87bb3614339de3da34fcfda3802e32f5cae798f4d2636ac99975a9	7c935da0b1eb7913e5852d79c288a029bfb03d74792e0b682740b25113246d4b
constrained	1200	10	200	sqlite-plugin-logged	5	1.753333	1.302123	2.163708	5	2fabc2745e87bb3614339de3da34fcfda3802e32f5cae798f4d2636ac99975a9	7c935da0b1eb7913e5852d79c288a029bfb03d74792e0b682740b25113246d4b
constrained	4000	10	200	pg_ivm	5	6.111542	5.562793	10.225999	5	7eca5e6f8b74f9e5afc7c7b48e1103dbaf8eaf16ba2fb6f617128736a62bc6ed	6c264efe8daf8812c7b6ed165ea835ac880c83e5cd22f1b07421b0bb189deb21
constrained	4000	10	200	sqlite-template-group	5	3.173709	3.087625	4.311459	5	7eca5e6f8b74f9e5afc7c7b48e1103dbaf8eaf16ba2fb6f617128736a62bc6ed	6c264efe8daf8812c7b6ed165ea835ac880c83e5cd22f1b07421b0bb189deb21
constrained	4000	10	200	dd	5	0.157958	0.156001	0.265333	5	7eca5e6f8b74f9e5afc7c7b48e1103dbaf8eaf16ba2fb6f617128736a62bc6ed	6c264efe8daf8812c7b6ed165ea835ac880c83e5cd22f1b07421b0bb189deb21
constrained	4000	10	200	sqlite-plugin-delta	5	1.768418	1.541081	2.217998	5	7eca5e6f8b74f9e5afc7c7b48e1103dbaf8eaf16ba2fb6f617128736a62bc6ed	6c264efe8daf8812c7b6ed165ea835ac880c83e5cd22f1b07421b0bb189deb21
constrained	4000	10	200	sqlite-plugin-logged	5	1.873793	1.591041	1.947750	5	7eca5e6f8b74f9e5afc7c7b48e1103dbaf8eaf16ba2fb6f617128736a62bc6ed	6c264efe8daf8812c7b6ed165ea835ac880c83e5cd22f1b07421b0bb189deb21
constrained	12000	10	200	pg_ivm	5	8.184459	7.414292	8.355625	5	e1e336a92e9ad053a9ec45f239ec98ce09a90b4e8d6e8f76aa07d7096ef816e8	fa652edc3e18c0d9fa35d123b2557b8497dae78b5f40cca097477ef0025259c6
constrained	12000	10	200	sqlite-template-group	5	4.003708	3.804834	4.046333	5	e1e336a92e9ad053a9ec45f239ec98ce09a90b4e8d6e8f76aa07d7096ef816e8	fa652edc3e18c0d9fa35d123b2557b8497dae78b5f40cca097477ef0025259c6
constrained	12000	10	200	dd	5	0.202624	0.164290	0.278666	5	e1e336a92e9ad053a9ec45f239ec98ce09a90b4e8d6e8f76aa07d7096ef816e8	fa652edc3e18c0d9fa35d123b2557b8497dae78b5f40cca097477ef0025259c6
constrained	12000	10	200	sqlite-plugin-delta	5	1.816915	1.759709	2.081625	5	e1e336a92e9ad053a9ec45f239ec98ce09a90b4e8d6e8f76aa07d7096ef816e8	fa652edc3e18c0d9fa35d123b2557b8497dae78b5f40cca097477ef0025259c6
constrained	12000	10	200	sqlite-plugin-logged	5	1.843333	1.783792	1.957709	5	e1e336a92e9ad053a9ec45f239ec98ce09a90b4e8d6e8f76aa07d7096ef816e8	fa652edc3e18c0d9fa35d123b2557b8497dae78b5f40cca097477ef0025259c6
constrained	12000	1000	200	pg_ivm	5	20.571541	19.006458	25.424957	5	7aefe61db4d05f6cff1b0f7d39a10129a591290f5661d1f674243dd8b7ae2812	37a855bf4e75587e4d18e6426b94e5fcef60be731c273d66e28e6a791690c188
constrained	12000	1000	200	sqlite-template-group	5	170.059458	165.782249	185.511833	5	7aefe61db4d05f6cff1b0f7d39a10129a591290f5661d1f674243dd8b7ae2812	37a855bf4e75587e4d18e6426b94e5fcef60be731c273d66e28e6a791690c188
constrained	12000	1000	200	dd	5	1.096584	0.948625	1.198623	5	7aefe61db4d05f6cff1b0f7d39a10129a591290f5661d1f674243dd8b7ae2812	37a855bf4e75587e4d18e6426b94e5fcef60be731c273d66e28e6a791690c188
