budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
constrained	10	400	10	dd	delete_batch	5	10	10	20	245	0.033792	0.033209	0.035792	0.000125	0.000083	0.000125	0.033917	0.033292	0.035917		
constrained	10	400	10	dd	dimension_fanout	5	1	10	20	246	0.025042	0.024083	0.026208	0.000083	0.000083	0.000125	0.025125	0.024166	0.026333		
constrained	10	400	10	dd	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.000375	0.000250	0.000500	0.000375	0.000250	0.000500		
constrained	10	400	10	dd	insert_batch	5	10	10	20	245	0.037792	0.037541	0.038541	0.000125	0.000125	0.000167	0.037917	0.037666	0.038708		
constrained	10	400	10	dd	update_batch	5	10	10	20	245	0.034834	0.034000	0.036000	0.000083	0.000083	0.000084	0.034918	0.034083	0.036083		
constrained	10	400	10	pg_ivm	delete_batch	5	10	10	20	245	0.614750	0.551083	0.673083	0.627166	0.574542	0.714833	1.234042	1.125625	1.387916	0.067208	0.033917
constrained	10	400	10	pg_ivm	dimension_fanout	5	1	10	20	246	0.645125	0.566084	0.715292	0.547667	0.506083	0.583125	1.192792	1.073333	1.298417	0.053792	0.034375
constrained	10	400	10	pg_ivm	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.752792	0.614125	0.813000	0.752792	0.614125	0.813000	0.140542	0.354583
constrained	10	400	10	pg_ivm	insert_batch	5	10	10	20	245	0.869667	0.838208	0.931333	0.621125	0.575625	0.784292	1.505667	1.431834	1.622500	0.084750	0.055333
constrained	10	400	10	pg_ivm	update_batch	5	10	10	20	245	0.753084	0.744875	0.797709	0.558250	0.539250	0.583084	1.311334	1.290459	1.372542	0.054167	0.031500
constrained	10	400	10	sqlite-plugin-delta	delete_batch	5	10	10	20	245	0.284792	0.276875	0.324000	0.039917	0.035792	0.048125	0.322875	0.312750	0.372125		
constrained	10	400	10	sqlite-plugin-delta	dimension_fanout	5	1	10	20	246	0.278334	0.246667	0.336834	0.035084	0.033209	0.058583	0.314834	0.279876	0.395417		
constrained	10	400	10	sqlite-plugin-delta	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.049667	0.043250	0.054125	0.049667	0.043250	0.054125		
constrained	10	400	10	sqlite-plugin-delta	insert_batch	5	10	10	20	245	0.350292	0.335000	0.355750	0.051417	0.040375	0.088416	0.401333	0.375375	0.443707		
constrained	10	400	10	sqlite-plugin-delta	update_batch	5	10	10	20	245	0.402084	0.392125	0.447750	0.038041	0.035292	0.040833	0.442584	0.427417	0.488583		
constrained	10	400	10	sqlite-plugin-logged	delete_batch	5	10	10	20	245	0.234667	0.230000	0.260792	0.041375	0.035875	0.049166	0.279042	0.265875	0.309958		
constrained	10	400	10	sqlite-plugin-logged	dimension_fanout	5	1	10	20	246	0.294125	0.283375	0.297625	0.035500	0.033459	0.036166	0.330291	0.318875	0.333500		
constrained	10	400	10	sqlite-plugin-logged	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.056833	0.043458	0.076334	0.056833	0.043458	0.076334		
constrained	10	400	10	sqlite-plugin-logged	insert_batch	5	10	10	20	245	0.290458	0.276125	0.310750	0.050958	0.042375	0.089125	0.349625	0.334917	0.379583		
constrained	10	400	10	sqlite-plugin-logged	update_batch	5	10	10	20	245	0.335209	0.328709	0.378875	0.036959	0.034833	0.037750	0.372959	0.363542	0.416333		
constrained	10	400	10	sqlite-template-group	delete_batch	5	10	10	20	245	0.380542	0.369541	0.397167	0.037416	0.036666	0.052625	0.418917	0.406207	0.449792		
constrained	10	400	10	sqlite-template-group	dimension_fanout	5	1	10	20	246	0.195791	0.186541	0.275792	0.033709	0.033000	0.055417	0.229500	0.220000	0.331209		
constrained	10	400	10	sqlite-template-group	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.059916	0.047333	0.068334	0.059916	0.047333	0.068334		
constrained	10	400	10	sqlite-template-group	insert_batch	5	10	10	20	245	0.444166	0.433708	0.451541	0.043042	0.041167	0.043416	0.487582	0.474875	0.494750		
constrained	10	400	10	sqlite-template-group	update_batch	5	10	10	20	245	0.462250	0.437125	0.489917	0.036750	0.034542	0.074000	0.501458	0.471667	0.536250		
constrained	10	12000	10	dd	delete_batch	5	10	10	110	1605	0.040209	0.038417	0.041375	0.000333	0.000250	0.000375	0.040459	0.038750	0.041750		
constrained	10	12000	10	dd	dimension_fanout	5	1	10	110	1607	0.030708	0.028459	0.100083	0.000333	0.000292	0.000542	0.031083	0.028751	0.100625		
constrained	10	12000	10	dd	initial	5	0	0	110	1608	0.000000	0.000000	0.000000	0.000542	0.000333	0.000584	0.000542	0.000333	0.000584		
constrained	10	12000	10	dd	insert_batch	5	10	10	110	1605	0.044916	0.043333	0.055375	0.000375	0.000291	0.000458	0.045291	0.043666	0.055709		
constrained	10	12000	10	dd	update_batch	5	10	10	110	1606	0.039417	0.039041	0.044084	0.000333	0.000250	0.000417	0.039667	0.039416	0.044501		
constrained	10	12000	10	pg_ivm	delete_batch	5	10	10	110	1605	0.955791	0.902916	1.008417	0.745333	0.652833	0.872333	1.732624	1.595458	1.854749	0.127834	0.074917
constrained	10	12000	10	pg_ivm	dimension_fanout	5	1	10	110	1607	0.703125	0.665167	0.816959	0.682416	0.609875	0.708709	1.403792	1.275042	1.494167	0.125250	0.080125
constrained	10	12000	10	pg_ivm	initial	5	0	0	110	1608	0.000000	0.000000	0.000000	0.725208	0.649666	0.759375	0.725208	0.649666	0.759375	0.371875	0.413875
constrained	10	12000	10	pg_ivm	insert_batch	5	10	10	110	1605	1.888375	1.617791	3.360000	0.877167	0.859791	0.923792	2.765542	2.541583	4.233042	0.173834	0.089708
constrained	10	12000	10	pg_ivm	update_batch	5	10	10	110	1606	0.977917	0.930750	1.079750	0.690875	0.627125	0.729958	1.683542	1.557875	1.770625	0.143042	0.063792
constrained	10	12000	10	sqlite-plugin-delta	delete_batch	5	10	10	110	1605	0.310875	0.275708	0.422500	0.052625	0.049458	0.074292	0.365499	0.325166	0.496792		
constrained	10	12000	10	sqlite-plugin-delta	dimension_fanout	5	1	10	110	1607	0.359000	0.356042	0.416458	0.048792	0.046292	0.074125	0.407625	0.402334	0.490583		
