budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
constrained	10	400	10	dd	delete_batch	5	10	10	20	245	0.036209	0.035417	0.038292	0.000125	0.000083	0.000167	0.036334	0.035584	0.038417		
constrained	10	400	10	dd	dimension_fanout	5	1	10	20	246	0.026333	0.026166	0.036833	0.000083	0.000083	0.000166	0.026416	0.026250	0.036999		
constrained	10	400	10	dd	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.000417	0.000333	0.000459	0.000417	0.000333	0.000459		
constrained	10	400	10	dd	insert_batch	5	10	10	20	245	0.040084	0.038833	0.043500	0.000167	0.000125	0.000167	0.040251	0.039000	0.043667		
constrained	10	400	10	dd	update_batch	5	10	10	20	245	0.036625	0.035959	0.088042	0.000125	0.000083	0.000208	0.036750	0.036084	0.088250		
constrained	10	400	10	pg_ivm	delete_batch	5	10	10	20	245	0.669583	0.589917	0.799667	0.750541	0.671291	0.845334	1.420124	1.261208	1.645001	0.110209	0.056875
constrained	10	400	10	pg_ivm	dimension_fanout	5	1	10	20	246	0.752250	0.671500	0.830416	0.614500	0.528416	0.747708	1.392667	1.199916	1.437500	0.057833	0.040583
constrained	10	400	10	pg_ivm	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.883625	0.716375	0.941375	0.883625	0.716375	0.941375	0.174709	0.387834
constrained	10	400	10	pg_ivm	insert_batch	5	10	10	20	245	0.896875	0.871583	1.140375	0.705083	0.658084	1.081917	1.600333	1.576333	2.222292	0.085667	0.068042
constrained	10	400	10	pg_ivm	update_batch	5	10	10	20	245	0.827791	0.773041	1.049667	0.619875	0.567459	0.895292	1.411958	1.392916	1.944959	0.061125	0.044167
constrained	10	400	10	sqlite-plugin-delta	delete_batch	5	10	10	20	245	0.254958	0.234042	0.272583	0.036292	0.035083	0.059625	0.308875	0.269125	0.314583		
