budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
constrained	4	24	3	dd	batch_key_value_move	3	3		12	72	0.021542	0.021083	0.022375	0.000291	0.000250	0.000292	0.021833	0.021375	0.022625		
constrained	4	24	3	dd	batch_key_value_move	3	3		24	149	0.017958	0.017416	0.018125	0.000458	0.000417	0.000500	0.018458	0.017833	0.018583		
constrained	4	24	3	dd	batch_key_value_move	3	3		23	149	0.026416	0.025375	0.026708	0.000542	0.000500	0.000542	0.026958	0.025917	0.027208		
constrained	4	24	3	dd	batch_key_value_move	3	3		16	100	0.022500	0.022375	0.025625	0.000333	0.000333	0.000333	0.022833	0.022708	0.025958		
constrained	4	24	3	dd	batch_key_value_move	3	3		48	316	0.031000	0.030916	0.031042	0.001042	0.001000	0.001083	0.032000	0.031958	0.032125		
constrained	4	24	3	dd	batch_key_value_move	3	3		24	144	0.028333	0.027417	0.049375	0.000625	0.000583	0.000667	0.028958	0.028000	0.050042		
constrained	4	24	3	dd	batch_key_value_move	3	3		48	295	0.026833	0.025875	0.028083	0.000958	0.000875	0.001000	0.027708	0.026833	0.029083		
constrained	4	24	3	dd	batch_key_value_move	3	3		16	105	0.028500	0.027916	0.031166	0.000333	0.000333	0.000375	0.028833	0.028249	0.031541		
constrained	4	24	3	dd	batch_key_value_move	3	3		8	51	0.029333	0.028750	0.029959	0.000166	0.000166	0.000167	0.029500	0.028916	0.030125		
constrained	4	24	3	dd	batch_key_value_move	3	3		4	33	0.026334	0.026291	0.026500	0.000083	0.000083	0.000125	0.026417	0.026416	0.026583		
constrained	4	24	3	dd	batch_key_value_move	3	3		7	31	0.056416	0.056375	0.058042	0.000167	0.000125	0.000167	0.056583	0.056542	0.058167		
constrained	4	24	3	dd	batch_key_value_move	3	3		6	65	0.027250	0.027250	0.027708	0.000167	0.000167	0.002167	0.027417	0.027417	0.029875		
constrained	4	24	3	dd	batch_key_value_move	3	3		6	36	0.034583	0.033708	0.035625	0.000167	0.000125	0.000167	0.034750	0.033875	0.035750		
constrained	4	24	3	dd	batch_key_value_move	3	3		28	183	0.026417	0.025958	0.027375	0.000583	0.000583	0.000583	0.027000	0.026541	0.027958		
constrained	4	24	3	dd	batch_key_value_move	3	3		21	136	0.042375	0.042250	0.042750	0.000583	0.000541	0.000584	0.042959	0.042791	0.043333		
constrained	4	24	3	dd	batch_key_value_move	3	3		2	13	0.034292	0.032709	0.039291	0.000042	0.000041	0.000083	0.034333	0.032792	0.039333		
