budget	fanout	rows	batch_size	stage	status	measured_pairs	full_query_update_plus_query_median_ms	ivm_update_plus_query_median_ms	full_query_over_ivm_speedup_median	speedup_min	speedup_max	speedup_span_percent	full_query_setup_median_ms	ivm_setup_median_ms	full_query_process_median_ms	ivm_process_median_ms	postgres_group_observed_peak_rss_kb	full_query_database_median_bytes	ivm_database_median_bytes
constrained	4	24	3	pipeline	measured	3	4.452498	10.533538	0.425138	0.422697	0.428654	1.401	5.057666	8.733625	65.545125	68.817084	61856.000000	7845567.000000	8017599.000000
constrained	4	24	3	fanout_fanin	unmeasured	0							5.773250		65.703958	47.205417	60400.000000	7902911.000000	
constrained	4	24	3	distinct	measured	3	5.307002	13.649083	0.374447	0.362739	0.429632	17.865	5.776291	8.721333	67.207834	73.449666	62720.000000	7952063.000000	8173247.000000
constrained	4	24	3	join	measured	3	6.499627	16.978914	0.407308	0.286713	0.412068	30.776	7.268834	8.935458	70.373291	82.973125	61824.000000	7993023.000000	8263359.000000
constrained	4	24	3	self_join	measured	3	6.508335	21.121127	0.296997	0.182193	0.365467	61.709	5.878791	8.983250	70.839167	89.091875	62432.000000	8066751.000000	8394431.000000
constrained	4	24	3	chain	measured	3	7.516040	19.678125	0.378038	0.352286	0.443773	24.200	6.824000	10.448500	71.388083	87.056750	62160.000000	8107711.000000	8517311.000000
constrained	4	24	3	diamond	unmeasured	0							5.915417		70.252542	50.937875	61856.000000	8189631.000000	
constrained	4	24	3	semijoin	measured	3	5.244332	15.899293	0.348270	0.311393	0.358529	13.535	5.787458	8.323709	66.292375	77.769209	63488.000000	8238783.000000	8631999.000000
constrained	4	24	3	antijoin	unmeasured	0							5.850750		67.256500	66.005458	61136.000000	8287935.000000	
constrained	4	24	3	aggregate_churn	measured	3	4.936709	16.069499	0.307210	0.276683	0.397097	39.196	5.466750	9.542625	65.009458	75.700042	63168.000000	8320703.000000	8918719.000000
constrained	4	24	3	reach_cycle	unmeasured	0							5.157916		69.305000	51.243042	78160.000000	8394431.000000	
constrained	4	24	3	minmax	measured	3	4.771585	16.464124	0.298101	0.243332	0.401771	53.150	5.479625	8.544625	65.654792	75.498417	63376.000000	8451775.000000	9107135.000000
constrained	4	24	3	count_distinct	unmeasured	0							5.147500		65.162833	51.021000	61632.000000	8500927.000000	
constrained	4	24	3	union_set	unmeasured	0							5.589333		64.131709	47.336959	62464.000000	8566463.000000	
constrained	4	24	3	except_set	unmeasured	0							5.862833		64.926583	46.087667	61664.000000	8623807.000000	
constrained	4	24	3	intersect_set	unmeasured	0							5.570958		64.190042	47.302875	61600.000000	8640191.000000	
constrained	4	24	3	topk	unmeasured	0							5.356500		63.323750	45.611417	61488.000000	8681151.000000	
constrained	4	24	3	window_rank	unmeasured	0							5.581584		64.359583	46.420667	62000.000000	8738495.000000	
constrained	4	24	3	subquery	measured	3	4.005918	10.316542	0.388300	0.375167	0.416511	10.647	5.415792	8.011291	64.049792	67.703750	63728.000000	8779455.000000	9483967.000000
constrained	4	24	3	cte	measured	3	4.161418	10.262961	0.389190	0.379463	0.408536	7.470	5.599291	7.933667	63.213083	68.786000	63456.000000	8853183.000000	9631423.000000
