budget	rows	batch_size	fanout	arm	successful_trials	median_ms	min_ms	max_ms	states_per_arm	final_input_hash	final_checksum	circuit	capability
constrained	24	3	4	query	3	4.452498	4.343750	4.508125	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2	pipeline	executed
constrained	24	3	4	pg_ivm	3	10.533538	10.133459	10.603915	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2	pipeline	executed
constrained	24	3	4	sqlite-query	3	1.980498	1.955329	2.052998	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2	pipeline	executed
constrained	24	3	4	sqlite-plugin-delta	0				0			pipeline	unsupported
constrained	24	3	4	sqlite-plugin-logged	0				0			pipeline	unsupported
constrained	24	3	4	dd	3	0.226833	0.226207	0.235500	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2	pipeline	executed
constrained	24	3	4	swi-circuit	3	0.364065	0.355959	0.367165	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2	pipeline	executed
constrained	24	3	4	query	3	4.879958	4.794584	5.009750	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	492cdad723e1592ca5b33ca71d3c488cc8d7fa7c182646679ed48fb77cce1395	fanout_fanin	executed
constrained	24	3	4	pg_ivm	0				0			fanout_fanin	unsupported
constrained	24	3	4	sqlite-query	3	2.038585	1.818754	2.057210	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	492cdad723e1592ca5b33ca71d3c488cc8d7fa7c182646679ed48fb77cce1395	fanout_fanin	executed
constrained	24	3	4	sqlite-plugin-delta	0				0			fanout_fanin	unsupported
constrained	24	3	4	sqlite-plugin-logged	0				0			fanout_fanin	unsupported
constrained	24	3	4	dd	3	0.257288	0.246291	0.258581	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	492cdad723e1592ca5b33ca71d3c488cc8d7fa7c182646679ed48fb77cce1395	fanout_fanin	executed
constrained	24	3	4	swi-circuit	3	0.452518	0.388384	0.462532	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	492cdad723e1592ca5b33ca71d3c488cc8d7fa7c182646679ed48fb77cce1395	fanout_fanin	executed
constrained	24	3	4	query	3	5.307002	4.767249	5.864085	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6e67366dc022e9d4463d6a9658149abc488d24cc893b0399bc02954fd3f0b23b	distinct	executed
constrained	24	3	4	pg_ivm	3	13.649083	13.142376	14.172919	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6e67366dc022e9d4463d6a9658149abc488d24cc893b0399bc02954fd3f0b23b	distinct	executed
constrained	24	3	4	sqlite-query	3	2.227623	2.112667	2.251957	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6e67366dc022e9d4463d6a9658149abc488d24cc893b0399bc02954fd3f0b23b	distinct	executed
constrained	24	3	4	sqlite-plugin-delta	0				0			distinct	unsupported
constrained	24	3	4	sqlite-plugin-logged	0				0			distinct	unsupported
constrained	24	3	4	dd	3	0.333458	0.326208	0.335749	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6e67366dc022e9d4463d6a9658149abc488d24cc893b0399bc02954fd3f0b23b	distinct	executed
constrained	24	3	4	swi-circuit	3	0.569344	0.500202	0.580311	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6e67366dc022e9d4463d6a9658149abc488d24cc893b0399bc02954fd3f0b23b	distinct	executed
constrained	24	3	4	query	3	6.499627	4.868081	8.474957	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	12a8b15b18412814dc2bbd953e53e96e43d02c928acef188481e7c4592e06585	join	executed
constrained	24	3	4	pg_ivm	3	16.978914	15.773208	20.807253	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	12a8b15b18412814dc2bbd953e53e96e43d02c928acef188481e7c4592e06585	join	executed
constrained	24	3	4	sqlite-query	3	2.123079	2.091001	3.089793	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	12a8b15b18412814dc2bbd953e53e96e43d02c928acef188481e7c4592e06585	join	executed
constrained	24	3	4	sqlite-plugin-delta	0				0			join	unsupported
constrained	24	3	4	sqlite-plugin-logged	0				0			join	unsupported
constrained	24	3	4	dd	3	0.355083	0.351500	0.371417	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	12a8b15b18412814dc2bbd953e53e96e43d02c928acef188481e7c4592e06585	join	executed
constrained	24	3	4	swi-circuit	3	0.403404	0.372410	0.419140	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	12a8b15b18412814dc2bbd953e53e96e43d02c928acef188481e7c4592e06585	join	executed
constrained	24	3	4	query	3	6.508335	6.272918	7.630749	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	8e53daa2b02c23db1bf1eba67069c10ab4caa37a7c7fc94bb5ade89aa028ce72	self_join	executed
constrained	24	3	4	pg_ivm	3	21.121127	20.879458	35.722250	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	8e53daa2b02c23db1bf1eba67069c10ab4caa37a7c7fc94bb5ade89aa028ce72	self_join	executed
constrained	24	3	4	sqlite-query	3	2.305875	2.293121	2.915331	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	8e53daa2b02c23db1bf1eba67069c10ab4caa37a7c7fc94bb5ade89aa028ce72	self_join	executed
constrained	24	3	4	sqlite-plugin-delta	0				0			self_join	unsupported
constrained	24	3	4	sqlite-plugin-logged	0				0			self_join	unsupported
constrained	24	3	4	dd	3	0.395997	0.391210	0.547794	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	8e53daa2b02c23db1bf1eba67069c10ab4caa37a7c7fc94bb5ade89aa028ce72	self_join	executed
constrained	24	3	4	swi-circuit	3	0.457525	0.427008	0.506639	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	8e53daa2b02c23db1bf1eba67069c10ab4caa37a7c7fc94bb5ade89aa028ce72	self_join	executed
