budget	rows	batch_size	fanout	arm	successful_trials	median_ms	min_ms	max_ms	states_per_arm	final_input_hash	final_checksum	circuit	capability
constrained	24	3	4	query	1	4.563044	4.563044	4.563044	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2	pipeline	executed
constrained	24	3	4	pg_ivm	1	10.295747	10.295747	10.295747	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2	pipeline	executed
constrained	24	3	4	sqlite-query	1	1.419250	1.419250	1.419250	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2	pipeline	executed
constrained	24	3	4	sqlite-plugin-delta	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2	pipeline	unsupported
constrained	24	3	4	dd	1	0.251833	0.251833	0.251833	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2	pipeline	executed
constrained	24	3	4	query	1	4.717751	4.717751	4.717751	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	492cdad723e1592ca5b33ca71d3c488cc8d7fa7c182646679ed48fb77cce1395	fanout_fanin	executed
constrained	24	3	4	pg_ivm	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	492cdad723e1592ca5b33ca71d3c488cc8d7fa7c182646679ed48fb77cce1395	fanout_fanin	unsupported
constrained	24	3	4	sqlite-query	1	1.461706	1.461706	1.461706	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	492cdad723e1592ca5b33ca71d3c488cc8d7fa7c182646679ed48fb77cce1395	fanout_fanin	executed
constrained	24	3	4	sqlite-plugin-delta	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	492cdad723e1592ca5b33ca71d3c488cc8d7fa7c182646679ed48fb77cce1395	fanout_fanin	unsupported
constrained	24	3	4	dd	1	0.269003	0.269003	0.269003	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	492cdad723e1592ca5b33ca71d3c488cc8d7fa7c182646679ed48fb77cce1395	fanout_fanin	executed
