budget	rows	batch_size	fanout	arm	successful_trials	median_ms	min_ms	max_ms	states_per_arm	final_input_hash	final_checksum	circuit	capability
constrained	24	3	4	query	1	5.324500	5.324500	5.324500	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	3179c308ce783590437321992aa82949ffa3bde3bca754d217ff06d0615e14a1	minmax	executed
constrained	24	3	4	pg_ivm	1	18.306540	18.306540	18.306540	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	3179c308ce783590437321992aa82949ffa3bde3bca754d217ff06d0615e14a1	minmax	executed
constrained	24	3	4	sqlite-query	1	1.607167	1.607167	1.607167	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	3179c308ce783590437321992aa82949ffa3bde3bca754d217ff06d0615e14a1	minmax	executed
constrained	24	3	4	sqlite-plugin-delta	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	3179c308ce783590437321992aa82949ffa3bde3bca754d217ff06d0615e14a1	minmax	unsupported
constrained	24	3	4	dd	1	0.430665	0.430665	0.430665	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	3179c308ce783590437321992aa82949ffa3bde3bca754d217ff06d0615e14a1	minmax	executed
constrained	24	3	4	swi-circuit	1	0.630617	0.630617	0.630617	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	3179c308ce783590437321992aa82949ffa3bde3bca754d217ff06d0615e14a1	minmax	executed
constrained	24	3	4	query	1	4.990461	4.990461	4.990461	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	2f4c5f0c7585b02e8007912bda6b60331a030f96b6011de3462c40818c11664e	count_distinct	executed
constrained	24	3	4	pg_ivm	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	2f4c5f0c7585b02e8007912bda6b60331a030f96b6011de3462c40818c11664e	count_distinct	unsupported
constrained	24	3	4	sqlite-query	1	1.609124	1.609124	1.609124	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	2f4c5f0c7585b02e8007912bda6b60331a030f96b6011de3462c40818c11664e	count_distinct	executed
constrained	24	3	4	sqlite-plugin-delta	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	2f4c5f0c7585b02e8007912bda6b60331a030f96b6011de3462c40818c11664e	count_distinct	unsupported
