budget	rows	batch_size	fanout	arm	successful_trials	median_ms	min_ms	max_ms	states_per_arm	final_input_hash	final_checksum	circuit	capability
constrained	24	3	4	query	1	3.984375	3.984375	3.984375	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2	pipeline	executed
constrained	24	3	4	pg_ivm	1	9.500833	9.500833	9.500833	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2	pipeline	executed
constrained	24	3	4	sqlite-query	1	10.147545	10.147545	10.147545	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2	pipeline	executed
constrained	24	3	4	sqlite-plugin-delta	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	7e014d3a7f99034a90bf8a8525c7dece42d26eda97e00aba844740e687743ba2	pipeline	unsupported
constrained	24	3	4	query	1	4.539875	4.539875	4.539875	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	492cdad723e1592ca5b33ca71d3c488cc8d7fa7c182646679ed48fb77cce1395	fanout_fanin	executed
constrained	24	3	4	pg_ivm	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	492cdad723e1592ca5b33ca71d3c488cc8d7fa7c182646679ed48fb77cce1395	fanout_fanin	unsupported
constrained	24	3	4	sqlite-query	1	1.615253	1.615253	1.615253	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	492cdad723e1592ca5b33ca71d3c488cc8d7fa7c182646679ed48fb77cce1395	fanout_fanin	executed
constrained	24	3	4	sqlite-plugin-delta	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	492cdad723e1592ca5b33ca71d3c488cc8d7fa7c182646679ed48fb77cce1395	fanout_fanin	unsupported
constrained	24	3	4	query	1	4.299540	4.299540	4.299540	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6e67366dc022e9d4463d6a9658149abc488d24cc893b0399bc02954fd3f0b23b	distinct	executed
constrained	24	3	4	pg_ivm	1	13.875001	13.875001	13.875001	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6e67366dc022e9d4463d6a9658149abc488d24cc893b0399bc02954fd3f0b23b	distinct	executed
constrained	24	3	4	sqlite-query	1	1.877791	1.877791	1.877791	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6e67366dc022e9d4463d6a9658149abc488d24cc893b0399bc02954fd3f0b23b	distinct	executed
constrained	24	3	4	sqlite-plugin-delta	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	6e67366dc022e9d4463d6a9658149abc488d24cc893b0399bc02954fd3f0b23b	distinct	unsupported
constrained	24	3	4	query	1	5.270165	5.270165	5.270165	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	12a8b15b18412814dc2bbd953e53e96e43d02c928acef188481e7c4592e06585	join	executed
constrained	24	3	4	pg_ivm	1	14.424668	14.424668	14.424668	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	12a8b15b18412814dc2bbd953e53e96e43d02c928acef188481e7c4592e06585	join	executed
constrained	24	3	4	sqlite-query	1	1.500001	1.500001	1.500001	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	12a8b15b18412814dc2bbd953e53e96e43d02c928acef188481e7c4592e06585	join	executed
constrained	24	3	4	sqlite-plugin-delta	0				13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	12a8b15b18412814dc2bbd953e53e96e43d02c928acef188481e7c4592e06585	join	unsupported
constrained	24	3	4	query	1	5.309247	5.309247	5.309247	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	8e53daa2b02c23db1bf1eba67069c10ab4caa37a7c7fc94bb5ade89aa028ce72	self_join	executed
constrained	24	3	4	pg_ivm	1	17.132793	17.132793	17.132793	13	9d03beb254e4e4d5f3889cf234dd2e46a07ce99b66d77a2384060cab57511201	8e53daa2b02c23db1bf1eba67069c10ab4caa37a7c7fc94bb5ade89aa028ce72	self_join	executed
