budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
focused	10	400	10	sqlite-template-group	delete_batch	5	10	10	20	245	0.458916	0.378625	0.532125	0.041959	0.032083	0.092083	0.500875	0.412000	0.624208		
focused	10	400	10	sqlite-template-group	dimension_fanout	5	1	10	20	246	0.231500	0.191209	0.303000	0.034042	0.029250	0.042500	0.265792	0.220626	0.345500		
focused	10	400	10	sqlite-template-group	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.060875	0.046416	0.064875	0.060875	0.046416	0.064875		
focused	10	400	10	sqlite-template-group	insert_batch	5	10	10	20	245	0.494500	0.429750	0.654000	0.038875	0.035791	0.056042	0.550542	0.466708	0.704375		
focused	10	400	10	sqlite-template-group	update_batch	5	10	10	20	245	0.506292	0.447500	0.604542	0.034792	0.032208	0.066875	0.549751	0.479708	0.643042		
focused	10	12000	10	sqlite-template-group	delete_batch	5	10	10	110	1605	0.921584	0.827625	1.065625	0.095584	0.059417	0.133916	1.026583	0.923209	1.168500		
focused	10	12000	10	sqlite-template-group	dimension_fanout	5	1	10	110	1607	0.386541	0.326917	0.422459	0.092416	0.080208	0.104708	0.491208	0.413458	0.502667		
focused	10	12000	10	sqlite-template-group	initial	5	0	0	110	1608	0.000000	0.000000	0.000000	0.083667	0.080125	0.151542	0.083667	0.080125	0.151542		
focused	10	12000	10	sqlite-template-group	insert_batch	5	10	10	110	1605	1.386667	1.227167	2.257250	0.115375	0.101791	0.141209	1.491126	1.342542	2.398459		
focused	10	12000	10	sqlite-template-group	update_batch	5	10	10	110	1606	1.392834	1.203334	1.412291	0.089500	0.074959	0.165291	1.481251	1.284751	1.577582		
focused	200	400	10	sqlite-template-group	delete_batch	5	10	10	20	249	0.561958	0.481000	0.601959	0.071959	0.049042	0.084750	0.645375	0.547417	0.686709		
focused	200	400	10	sqlite-template-group	dimension_fanout	5	1	200	20	249	0.333917	0.272458	1.014875	0.049083	0.037459	0.500583	0.383000	0.309917	1.063750		
focused	200	400	10	sqlite-template-group	initial	5	0	0	20	244	0.000000	0.000000	0.000000	0.090625	0.065042	0.194625	0.090625	0.065042	0.194625		
focused	200	400	10	sqlite-template-group	insert_batch	5	10	10	20	247	0.496500	0.456500	0.595000	0.067083	0.047667	0.185625	0.563959	0.508416	0.703875		
focused	200	400	10	sqlite-template-group	update_batch	5	10	10	20	248	0.555333	0.465042	0.657250	0.071333	0.036708	0.204458	0.608542	0.501750	0.861708		
focused	200	12000	10	sqlite-template-group	delete_batch	5	10	10	110	1606	0.885916	0.842667	1.315959	0.105125	0.078333	0.128041	0.988041	0.952375	1.394292		
focused	200	12000	10	sqlite-template-group	dimension_fanout	5	1	200	110	1607	0.373916	0.338333	2.062708	0.080542	0.056375	0.108666	0.482582	0.407083	2.166375		
focused	200	12000	10	sqlite-template-group	initial	5	0	0	110	1608	0.000000	0.000000	0.000000	0.095917	0.076084	0.108583	0.095917	0.076084	0.108583		
focused	200	12000	10	sqlite-template-group	insert_batch	5	10	10	110	1606	1.217166	1.157584	1.762833	0.120291	0.111834	0.145375	1.338624	1.302959	1.874667		
focused	200	12000	10	sqlite-template-group	update_batch	5	10	10	110	1606	1.578750	1.507959	2.094667	0.070625	0.069125	0.186875	1.649375	1.577667	2.281542		
focused	200	12000	1000	sqlite-template-group	delete_batch	5	1000	1000	110	1598	48.124792	47.185709	51.435584	0.096791	0.085750	0.378458	48.503250	47.276459	51.521334		
focused	200	12000	1000	sqlite-template-group	dimension_fanout	5	1	200	110	1595	0.383375	0.373792	0.419083	0.099250	0.088125	0.115667	0.493292	0.471875	0.521666		
focused	200	12000	1000	sqlite-template-group	initial	5	0	0	110	1608	0.000000	0.000000	0.000000	0.112042	0.075125	0.139208	0.112042	0.075125	0.139208		
focused	200	12000	1000	sqlite-template-group	insert_batch	5	1000	1000	110	1603	49.793708	48.346959	52.530625	0.102583	0.086583	0.199375	49.880291	48.449542	52.730000		
focused	200	12000	1000	sqlite-template-group	update_batch	5	1000	1000	110	1594	79.513542	78.148958	81.954417	0.122000	0.102459	0.135833	79.649375	78.252292	82.056876		
