budget	fanout	rows	batch_size	maintenance	state	repetitions	affected_rows	join_affected_rows	output_rows	output_bytes	update_transaction_median_ms	update_transaction_min_ms	update_transaction_max_ms	query_compute_median_ms	query_compute_min_ms	query_compute_max_ms	update_plus_query_median_ms	update_plus_query_min_ms	update_plus_query_max_ms	client_transfer_median_ms	checksum_median_ms
constrained	10	400	10	dd	delete_batch	5	10	10	20	245	0.034834	0.032334	0.037958	0.000084	0.000042	0.000125	0.034918	0.032376	0.038083		
constrained	10	400	10	dd	dimension_fanout	5	1	10	20	246	0.025167	0.023375	0.027125	0.000084	0.000083	0.000125	0.025251	0.023459	0.027208		
constrained	10	400	10	dd	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.000334	0.000292	0.000500	0.000334	0.000292	0.000500		
constrained	10	400	10	dd	insert_batch	5	10	10	20	245	0.039541	0.034834	0.045625	0.000125	0.000083	0.000167	0.039666	0.034918	0.045750		
constrained	10	400	10	dd	update_batch	5	10	10	20	245	0.034375	0.032625	0.040667	0.000083	0.000083	0.000125	0.034458	0.032708	0.040750		
constrained	10	400	10	pg_ivm	delete_batch	5	10	10	20	245	0.783583	0.628916	0.957917	0.849125	0.780667	1.055292	1.632708	1.410874	1.911834	0.133333	0.071875
constrained	10	400	10	pg_ivm	dimension_fanout	5	1	10	20	246	0.797083	0.690167	0.968834	0.786125	0.641042	0.844375	1.584667	1.336500	1.813209	0.072542	0.057875
constrained	10	400	10	pg_ivm	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.944833	0.940292	1.250709	0.944833	0.940292	1.250709	0.230667	0.450166
constrained	10	400	10	pg_ivm	insert_batch	5	10	10	20	245	1.058167	1.031333	1.177250	0.796750	0.717000	0.895959	1.855459	1.756500	2.034792	0.106292	0.087792
constrained	10	400	10	pg_ivm	update_batch	5	10	10	20	245	1.008708	0.822125	1.289417	0.751000	0.707334	0.888792	1.761125	1.529459	2.110792	0.081417	0.067250
constrained	10	400	10	sqlite-template-group	delete_batch	5	10	10	20	245	0.473458	0.442709	0.622292	0.046041	0.045084	0.073250	0.521500	0.488459	0.672251		
constrained	10	400	10	sqlite-template-group	dimension_fanout	5	1	10	20	246	0.258708	0.209334	0.370375	0.045542	0.035042	0.057875	0.294958	0.244376	0.420500		
constrained	10	400	10	sqlite-template-group	initial	5	0	0	20	241	0.000000	0.000000	0.000000	0.080084	0.045375	0.097542	0.080084	0.045375	0.097542		
constrained	10	400	10	sqlite-template-group	insert_batch	5	10	10	20	245	0.473333	0.453375	0.580834	0.087042	0.040416	0.094125	0.567458	0.493791	0.669542		
constrained	10	400	10	sqlite-template-group	update_batch	5	10	10	20	245	0.484208	0.465958	0.529917	0.043250	0.037542	0.074459	0.538333	0.505000	0.573167		
constrained	10	12000	10	dd	delete_batch	5	10	10	110	1605	0.067167	0.055334	0.081083	0.000625	0.000500	0.000958	0.067750	0.055834	0.082041		
constrained	10	12000	10	dd	dimension_fanout	5	1	10	110	1607	0.047875	0.037542	0.081709	0.000458	0.000375	0.000791	0.048292	0.038000	0.082500		
constrained	10	12000	10	dd	initial	5	0	0	110	1608	0.000000	0.000000	0.000000	0.000542	0.000417	0.000584	0.000542	0.000417	0.000584		
constrained	10	12000	10	dd	insert_batch	5	10	10	110	1605	0.094166	0.087500	0.112000	0.000792	0.000625	0.004584	0.094791	0.088292	0.113166		
constrained	10	12000	10	dd	update_batch	5	10	10	110	1606	0.070958	0.051500	0.113333	0.000458	0.000250	0.000709	0.071667	0.051750	0.113791		
constrained	10	12000	10	pg_ivm	delete_batch	5	10	10	110	1605	1.193708	1.049833	1.260250	0.852375	0.712459	0.872334	2.066042	1.763875	2.112625	0.131917	0.081875
constrained	10	12000	10	pg_ivm	dimension_fanout	5	1	10	110	1607	0.869458	0.788833	1.201709	0.940208	0.734625	1.130542	1.729041	1.528542	2.269417	0.142667	0.120667
constrained	10	12000	10	pg_ivm	initial	5	0	0	110	1608	0.000000	0.000000	0.000000	0.976375	0.825166	1.031458	0.976375	0.825166	1.031458	0.438667	0.464292
constrained	10	12000	10	pg_ivm	insert_batch	5	10	10	110	1605	3.074583	2.451000	3.211667	0.951167	0.756792	1.051125	4.125708	3.370333	4.211209	0.160334	0.110875
constrained	10	12000	10	pg_ivm	update_batch	5	10	10	110	1606	1.197541	1.028750	1.317042	1.006292	0.763750	2.221458	2.091833	1.792500	3.538500	0.143834	0.100500
constrained	10	12000	10	sqlite-template-group	delete_batch	5	10	10	110	1605	0.878208	0.764958	1.057667	0.100125	0.077125	0.108833	0.975584	0.865083	1.136625		
constrained	10	12000	10	sqlite-template-group	dimension_fanout	5	1	10	110	1607	0.351167	0.302125	0.410542	0.075167	0.054917	0.094875	0.426126	0.357042	0.492083		
constrained	10	12000	10	sqlite-template-group	initial	5	0	0	110	1608	0.000000	0.000000	0.000000	0.111375	0.075792	0.126083	0.111375	0.075792	0.126083		
constrained	10	12000	10	sqlite-template-group	insert_batch	5	10	10	110	1605	1.344167	1.155291	1.423125	0.097459	0.073042	0.187667	1.445292	1.285626	1.496167		
constrained	10	12000	10	sqlite-template-group	update_batch	5	10	10	110	1606	1.136167	1.119500	1.256042	0.067792	0.062333	0.084875	1.198542	1.194667	1.340917		
