package	current_path	depth	hand	derived	in	out	proposed_path	verdict
dl	v6/dl/src/0_types.ts	0	0	0	9	0	v6/dl/src/0_types.ts	agree
dl	v6/dl/src/0_digest.ts	0	0	0	2	0	v6/dl/src/0_digest.ts	agree
dl	v6/dl/src/0_generated/ast.ts	0	None	0	2	0	v6/dl/src/0_generated/0_ast.ts	generated
dl	v6/dl/src/0_generated/grammar.ts	0	None	0	1	0	v6/dl/src/0_generated/0_grammar.ts	generated
dl	v6/dl/src/5_diag.ts	0	5	0	1	0	v6/dl/src/0_diag.ts	differs
dl	v6/dl/src/0_trace.ts	1	0	1	4	1	v6/dl/src/1_trace.ts	differs
dl	v6/dl/src/0_row.ts	1	0	1	2	1	v6/dl/src/1_row.ts	differs
dl	v6/dl/src/0_generated/module.ts	1	None	1	1	2	v6/dl/src/0_generated/1_module.ts	generated
dl	v6/dl/src/2_schema.ts	1	2	1	1	2	v6/dl/src/1_schema.ts	differs
dl	v6/dl/src/0_ast_bridge.ts	2	0	2	1	3	v6/dl/src/2_ast_bridge.ts	differs
dl	v6/dl/src/1_binds.ts	2	1	2	1	2	v6/dl/src/2_binds.ts	differs
dl	v6/dl/src/1_hosts.ts	2	1	2	1	4	v6/dl/src/2_hosts.ts	differs
dl	v6/dl/src/3_runtime.ts	2	3	2	1	4	v6/dl/src/2_runtime.ts	differs
dl	v6/dl/src/4_ingest.ts	2	4	2	1	2	v6/dl/src/2_ingest.ts	differs
dl	v6/dl/src/6_http.ts	3	6	3	1	7	v6/dl/src/3_http.ts	differs
dl	v6/dl/src/main.ts	4	None	4	0	1	v6/dl/src/4_main.ts	unnumbered
prolog	v6/prolog/compile/registry.pl	0	None	0	13	0	v6/prolog/compile/0_registry.pl	unnumbered
prolog	v6/prolog/0_type_plane.pl	0	0	0	7	0	v6/prolog/0_type_plane.pl	agree
prolog	v6/prolog/0_coalesce_expand.pl	0	0	0	2	0	v6/prolog/0_coalesce_expand.pl	agree
prolog	v6/prolog/0_enum_expand.pl	0	0	0	2	0	v6/prolog/0_enum_expand.pl	agree
