engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
swi-incr,402,696,180,2,1,0,13.81,N/A,N/A,N/A
swi-incr,12002,24096,1715,92,84,0,50.12,N/A,N/A,N/A
swi-incr,160002,326667,18096,1348,1492,0,710.22,N/A,N/A,N/A
differential-dataflow,402,696,180,2.826,0.347,180,3.7,N/A,N/A,N/A
differential-dataflow,12002,24096,1715,9.058,2.791,1715,11.3,N/A,N/A,N/A
differential-dataflow,160002,326667,18096,123.593,32.073,18096,113.0,N/A,N/A,N/A
sqlite-count-scc,402,696,180,8.705,1.349,21,7.1,0.11,0.29,0.07
sqlite-count-scc,12002,24096,1715,25.035,22.492,39,17.2,0.17,1.34,0.80
sqlite-count-scc,160002,326667,18096,347.909,330.542,51,131.0,1.24,14.72,10.39
sqlite-dred-loop,402,696,180,3.728,0.924,31,7.3,0.11,0.29,0.07
sqlite-dred-loop,12002,24096,1715,24.542,23.009,53,17.0,0.17,1.34,0.80
sqlite-dred-loop,160002,326667,18096,350.475,333.594,67,129.7,1.24,14.72,10.39
sqlite-dred-cte,402,696,180,5.924,0.946,6,7.4,0.11,0.29,0.07
sqlite-dred-cte,12002,24096,1715,24.227,31.816,6,17.8,0.17,1.56,0.80
sqlite-dred-cte,160002,326667,18096,357.419,461.825,6,152.4,1.24,18.37,10.39
sqlite-signed-delta-v2,402,696,180,5.067,0.404,3,6.5,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,24096,1715,26.843,14.113,3,17.0,0.17,1.38,0.80
sqlite-signed-delta-v2,160002,326667,18096,351.214,198.564,3,132.0,1.24,15.32,10.39
tsv2-runtime,402,696,180,17.158,4.779,98,150.7,N/A,N/A,0
tsv2-runtime,12002,24096,1715,342.394,51.612,107,201.6,N/A,N/A,0
tsv2-runtime,160002,326667,18096,8017.677,785.388,113,621.3,N/A,N/A,0
sprefa-engine-rs,402,696,180,6.752,1.514,64,8.9,N/A,N/A,0
sprefa-engine-rs,12002,24096,1715,176.457,59.873,76,65.2,N/A,N/A,0
sprefa-engine-rs,160002,326667,18096,2333.540,1104.066,88,470.8,N/A,N/A,0
pglite-query,402,696,180,13.883,2.631,N/A,909.7,N/A,N/A,38.125
pglite-query,12002,24096,1715,69.636,33.194,N/A,1113.9,N/A,N/A,39.328
pglite-query,160002,326667,18096,910.488,490.918,N/A,1141.6,N/A,N/A,87.024
native-postgres-query,402,696,180,8.452,4.221,N/A,119.8,N/A,N/A,7.420
native-postgres-query,12002,24096,1715,41.776,23.151,N/A,182.7,N/A,N/A,8.623
native-postgres-query,160002,326667,18096,651.976,268.973,N/A,450.4,N/A,N/A,24.318
