engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
swi-incr,402,667,200,1,1,0,13.69,N/A,N/A,N/A
swi-incr,12002,22667,2000,80,73,0,48.72,N/A,N/A,N/A
swi-incr,160002,306667,20000,1189,1395,0,648.05,N/A,N/A,N/A
differential-dataflow,402,667,200,2.678,0.262,200,3.5,N/A,N/A,N/A
differential-dataflow,12002,22667,2000,7.117,2.414,2000,8.4,N/A,N/A,N/A
differential-dataflow,160002,306667,20000,102.106,28.989,20000,103.9,N/A,N/A,N/A
sqlite-count,402,667,200,9.027,0.912,23,7.1,0.11,0.29,0.07
sqlite-count,12002,22667,2000,22.816,5.595,23,16.2,0.21,1.34,0.79
sqlite-count,160002,306667,20000,402.988,57.595,23,124.8,1.22,12.93,10.25
sqlite-count-scc,402,667,200,5.010,2.327,15,6.8,0.11,0.29,0.07
sqlite-count-scc,12002,22667,2000,32.120,37.245,39,17.1,0.21,1.34,0.79
sqlite-count-scc,160002,306667,20000,413.896,338.740,51,136.7,1.22,14.32,10.25
sqlite-dred-loop,402,667,200,3.165,0.889,25,7.1,0.11,0.29,0.07
sqlite-dred-loop,12002,22667,2000,22.875,20.431,53,16.8,0.21,1.34,0.79
sqlite-dred-loop,160002,306667,20000,472.674,408.675,67,107.5,1.22,14.32,10.25
sqlite-dred-cte,402,667,200,4.058,1.097,6,7.1,0.11,0.29,0.07
sqlite-dred-cte,12002,22667,2000,32.944,48.280,6,19.5,0.21,1.53,0.79
sqlite-dred-cte,160002,306667,20000,494.690,566.390,6,117.8,1.22,18.20,10.25
sqlite-signed-delta-v2,402,667,200,7.526,1.826,3,7.0,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,22667,2000,54.587,20.034,3,17.9,0.21,1.35,0.79
sqlite-signed-delta-v2,160002,306667,20000,504.870,214.489,3,136.9,1.22,15.15,10.25
tsv2-runtime,402,667,200,24.593,4.397,92,155.8,N/A,N/A,0
tsv2-runtime,12002,22667,2000,366.980,49.904,107,187.5,N/A,N/A,0
tsv2-runtime,160002,306667,20000,7862.394,733.520,113,612.9,N/A,N/A,0
sprefa-engine-rs,402,667,200,6.533,1.113,52,9.7,N/A,N/A,0
sprefa-engine-rs,12002,22667,2000,167.184,56.802,76,67.5,N/A,N/A,0
sprefa-engine-rs,160002,306667,20000,2745.847,1998.850,88,390.8,N/A,N/A,0
pglite-query,402,667,200,22.880,2.327,N/A,1126.0,N/A,N/A,38.117
pglite-query,12002,22667,2000,112.983,47.970,N/A,916.6,N/A,N/A,39.274
pglite-query,160002,306667,20000,1981.149,682.782,N/A,1249.4,N/A,N/A,70.274
native-postgres-query,402,667,200,11.406,2.991,N/A,97.4,N/A,N/A,7.412
native-postgres-query,12002,22667,2000,42.132,21.847,N/A,174.9,N/A,N/A,8.568
native-postgres-query,160002,306667,20000,726.818,254.203,N/A,415.6,N/A,N/A,23.568
