engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
swi-incr,402,667,200,2,1,0,13.36,N/A,N/A,N/A
swi-incr,12002,22667,2000,81,85,0,49.19,N/A,N/A,N/A
swi-incr,160002,306667,20000,1214,1300,0,675.86,N/A,N/A,N/A
differential-dataflow,402,667,200,1.117,0.247,200,3.2,N/A,N/A,N/A
differential-dataflow,12002,22667,2000,7.143,2.408,2000,9.1,N/A,N/A,N/A
differential-dataflow,160002,306667,20000,102.298,27.838,20000,112.8,N/A,N/A,N/A
sqlite-count,402,667,200,3.902,0.658,23,6.5,0.11,0.29,0.07
sqlite-count,12002,22667,2000,22.728,5.761,23,16.3,0.21,1.34,0.79
sqlite-count,160002,306667,20000,310.486,54.676,23,115.4,1.22,12.93,10.25
sqlite-count-scc,402,667,200,5.021,0.749,15,6.6,0.11,0.29,0.07
sqlite-count-scc,12002,22667,2000,22.455,21.201,39,15.1,0.21,1.34,0.79
sqlite-count-scc,160002,306667,20000,312.897,292.036,51,121.3,1.22,14.32,10.25
sqlite-dred-loop,402,667,200,5.242,0.918,25,6.8,0.11,0.29,0.07
sqlite-dred-loop,12002,22667,2000,22.587,21.515,53,16.0,0.21,1.34,0.79
sqlite-dred-loop,160002,306667,20000,310.855,301.057,67,121.5,1.22,14.32,10.25
sqlite-dred-cte,402,667,200,4.494,0.780,6,7.2,0.11,0.29,0.07
sqlite-dred-cte,12002,22667,2000,22.386,29.374,6,16.1,0.21,1.53,0.79
sqlite-dred-cte,160002,306667,20000,317.550,441.133,6,132.6,1.22,18.20,10.25
sqlite-signed-delta-v2,402,667,200,4.458,0.407,3,6.7,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,22667,2000,22.313,13.826,3,15.2,0.21,1.35,0.79
sqlite-signed-delta-v2,160002,306667,20000,315.209,188.954,3,130.3,1.22,15.15,10.25
tsv2-runtime,402,667,200,16.028,3.916,92,146.4,N/A,N/A,0
sprefa-engine-rs,402,667,200,6.922,1.163,52,9.3,N/A,N/A,0
sprefa-engine-rs,12002,22667,2000,165.331,56.699,76,64.3,N/A,N/A,0
sprefa-engine-rs,160002,306667,20000,2222.133,1033.627,88,496.4,N/A,N/A,0
pglite-query,402,667,200,12.317,2.755,N/A,1055.2,N/A,N/A,38.117
pglite-query,12002,22667,2000,66.581,29.356,N/A,1108.0,N/A,N/A,39.274
pglite-query,160002,306667,20000,790.827,459.353,N/A,1188.3,N/A,N/A,70.274
native-postgres-query,402,667,200,7.206,2.295,N/A,109.9,N/A,N/A,7.412
native-postgres-query,12002,22667,2000,41.919,22.325,N/A,185.0,N/A,N/A,8.568
native-postgres-query,160002,306667,20000,599.926,255.202,N/A,472.5,N/A,N/A,23.568
