engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
swi-incr,402,667,200,1,1,0,10.28,N/A,N/A,N/A
swi-incr,12002,22667,2000,75,72,0,45.61,N/A,N/A,N/A
swi-incr,160002,306667,20000,1153,1314,0,685.33,N/A,N/A,N/A
swipl-pure,402,667,200,0.7860000000000003,0.08700000000000027,0,8.5,N/A,N/A,N/A
swipl-pure,12002,22667,2000,28.637000000000004,6.931,0,16.8,N/A,N/A,N/A
swipl-pure,160002,306667,20000,425.51700000000005,134.42699999999996,0,130.1,N/A,N/A,N/A
differential-dataflow,402,667,200,1.195,0.262,200,3.2,N/A,N/A,N/A
differential-dataflow,12002,22667,2000,6.778,2.566,2000,8.5,N/A,N/A,N/A
differential-dataflow,160002,306667,20000,100.995,28.052,20000,109.4,N/A,N/A,N/A
pglite-query,402,667,200,12.065,1.891,N/A,838.0,N/A,N/A,38.117
pglite-query,12002,22667,2000,62.657,29.291,N/A,1075.5,N/A,N/A,39.274
pglite-query,160002,306667,20000,946.163,444.382,N/A,1283.2,N/A,N/A,70.274
native-postgres-query,402,667,200,6.206,2.029,N/A,109.9,N/A,N/A,7.412
native-postgres-query,12002,22667,2000,40.299,21.946,N/A,181.7,N/A,N/A,8.568
native-postgres-query,160002,306667,20000,652.225,242.209,N/A,291.2,N/A,N/A,23.568
