engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
swi-incr,402,667,200,1,1,0,10.47,N/A,N/A,N/A
swi-incr,12002,22667,2000,76,67,0,42.86,N/A,N/A,N/A
swi-incr,160002,306667,20000,1159,1219,0,617.80,N/A,N/A,N/A
swipl-pure,402,667,200,0.7109999999999999,0.08200000000000048,0,8.9,N/A,N/A,N/A
swipl-pure,12002,22667,2000,30.928000000000004,7.053999999999998,0,16.7,N/A,N/A,N/A
swipl-pure,160002,306667,20000,423.759,132.86599999999999,0,129.9,N/A,N/A,N/A
swi-sqlite,402,667,200,18,0,15,9.17,N/A,N/A,N/A
swi-sqlite,12002,22667,2000,96,11,78,13.44,N/A,N/A,N/A
swi-sqlite,160002,306667,20000,1275,207,792,32.09,N/A,N/A,N/A
swi-ts,402,667,200,8.943,8.520,0,83.6,N/A,N/A,N/A
swi-ts,12002,22667,2000,2294.714,1920.332,0,136.5,N/A,N/A,N/A
swi-emit,402,667,200,4.684,2.228,0,128.3,N/A,N/A,N/A
swi-emit,12002,22667,2000,31.441,13.328,0,132.7,N/A,N/A,N/A
swi-emit,160002,306667,20000,411.799,218.643,0,215.2,N/A,N/A,N/A
pglite-query,402,667,200,10.412,1.821,N/A,1044.5,N/A,N/A,38.117
pglite-query,12002,22667,2000,61.083,29.161,N/A,1116.8,N/A,N/A,39.274
pglite-query,160002,306667,20000,757.523,432.853,N/A,1275.5,N/A,N/A,70.274
native-postgres-query,402,667,200,5.688,1.652,N/A,111.7,N/A,N/A,7.412
native-postgres-query,12002,22667,2000,36.706,18.659,N/A,178.1,N/A,N/A,8.568
native-postgres-query,160002,306667,20000,530.764,236.449,N/A,288.2,N/A,N/A,23.568
