engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
swi-incr,402,667,200,1,1,0,10.75,N/A,N/A,N/A
swi-incr,12002,22667,2000,80,70,0,44.47,N/A,N/A,N/A
swi-incr,160002,306667,20000,1260,1330,0,634.83,N/A,N/A,N/A
swipl-pure,402,667,200,0.7320000000000018,0.08599999999999927,0,9.2,N/A,N/A,N/A
swipl-pure,12002,22667,2000,28.651999999999997,7.077,0,17.2,N/A,N/A,N/A
swipl-pure,160002,306667,20000,440.621,138.33100000000005,0,130.6,N/A,N/A,N/A
swi-sqlite,402,667,200,12,0,15,9.69,N/A,N/A,N/A
swi-sqlite,12002,22667,2000,100,12,78,13.19,N/A,N/A,N/A
swi-sqlite,160002,306667,20000,1458,215,792,33.28,N/A,N/A,N/A
swi-ts,402,667,200,9.699,9.528,0,79.8,N/A,N/A,N/A
swi-ts,12002,22667,2000,2391.333,1975.606,0,135.1,N/A,N/A,N/A
swi-emit,402,667,200,4.935,2.421,0,128.7,N/A,N/A,N/A
swi-emit,12002,22667,2000,33.388,14.362,0,132.2,N/A,N/A,N/A
swi-emit,160002,306667,20000,423.009,224.399,0,211.0,N/A,N/A,N/A
pglite-query,402,667,200,13.469,2.723,N/A,1092.9,N/A,N/A,38.117
pglite-query,12002,22667,2000,86.681,42.767,N/A,1097.3,N/A,N/A,39.274
pglite-query,160002,306667,20000,1123.806,834.435,N/A,1129.4,N/A,N/A,70.274
native-postgres-query,402,667,200,11.481,3.087,N/A,104.2,N/A,N/A,7.412
native-postgres-query,12002,22667,2000,133.029,30.386,N/A,171.3,N/A,N/A,8.568
native-postgres-query,160002,306667,20000,1082.350,532.112,N/A,298.7,N/A,N/A,23.568
