epoch_seconds	engine	scale	available_percent
1788841072	pglite-query	2x200	60
1788841073	pglite-query	6x2000	60
1788841074	pglite-query	8x20000	60
1788841078	native-postgres-query	2x200	60
1788841078	native-postgres-query	6x2000	60
1788841078	native-postgres-query	8x20000	60
1788841079	pglite-pg_ivm	2x200	61
1788841079	pglite-pg_ivm	6x2000	61
1788841079	pglite-pg_ivm	8x20000	61
1788841079	native-postgres-pg_ivm	2x200	61
1788841079	native-postgres-pg_ivm	6x2000	61
1788841080	native-postgres-pg_ivm	8x20000	61
1788841080	swi-incr	2x200	61
1788841080	swi-incr	6x2000	61
1788841080	swi-incr	8x20000	60
1788841084	differential-dataflow	2x200	60
1788841084	differential-dataflow	6x2000	60
1788841084	differential-dataflow	8x20000	60
1788841084	sqlite-count	2x200	60
1788841084	sqlite-count	6x2000	60
1788841084	sqlite-count	8x20000	60
1788841084	sqlite-count-scc	2x200	60
1788841084	sqlite-count-scc	6x2000	60
1788841084	sqlite-count-scc	8x20000	60
1788841085	sqlite-dred-loop	2x200	60
1788841086	sqlite-dred-loop	6x2000	60
1788841086	sqlite-dred-loop	8x20000	60
1788841087	sqlite-dred-cte	2x200	60
1788841087	sqlite-dred-cte	6x2000	60
1788841087	sqlite-dred-cte	8x20000	60
1788841088	sqlite-signed-delta-v2	2x200	60
1788841088	sqlite-signed-delta-v2	6x2000	60
1788841088	sqlite-signed-delta-v2	8x20000	60
1788841089	tsv2-runtime	2x200	60
1788841089	tsv2-runtime	6x2000	60
1788841090	tsv2-runtime	8x20000	60
1788841099	sprefa-engine-rs	2x200	60
1788841099	sprefa-engine-rs	6x2000	60
1788841100	sprefa-engine-rs	8x20000	60
