engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
swi-incr,402,696,180,1,1,0,12.97,N/A,N/A,N/A
swi-incr,12002,24096,1715,74,58,0,46.45,N/A,N/A,N/A
swi-incr,160002,326667,18096,1133,1169,0,601.92,N/A,N/A,N/A
differential-dataflow,402,696,180,0.617,0.311,180,4.0,N/A,N/A,N/A
differential-dataflow,12002,24096,1715,7.969,2.647,1715,8.7,N/A,N/A,N/A
differential-dataflow,160002,326667,18096,110.667,30.241,18096,81.7,N/A,N/A,N/A
sqlite-count-scc,402,696,180,2.242,0.789,21,6.2,0.11,0.29,0.07
sqlite-count-scc,12002,24096,1715,22.494,20.351,39,13.8,0.17,1.34,0.80
sqlite-count-scc,160002,326667,18096,316.626,308.156,51,110.5,1.24,14.72,10.39
sqlite-dred-loop,402,696,180,4.645,0.934,31,6.7,0.11,0.29,0.07
sqlite-dred-loop,12002,24096,1715,23.080,21.440,53,14.6,0.17,1.34,0.80
sqlite-dred-loop,160002,326667,18096,314.578,307.800,67,119.9,1.24,14.72,10.39
sqlite-dred-cte,402,696,180,4.386,0.811,6,6.7,0.11,0.29,0.07
sqlite-dred-cte,12002,24096,1715,22.572,30.658,6,14.2,0.17,1.56,0.80
sqlite-dred-cte,160002,326667,18096,314.863,428.854,6,131.2,1.24,18.37,10.39
sqlite-signed-delta-v2,402,696,180,4.225,0.406,3,6.5,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,24096,1715,22.727,13.266,3,13.8,0.17,1.38,0.80
sqlite-signed-delta-v2,160002,326667,18096,317.703,189.453,3,130.6,1.24,15.32,10.39
tsv2-runtime,402,696,180,14.960,3.906,98,149.2,N/A,N/A,0
tsv2-runtime,12002,24096,1715,297.072,46.237,107,189.1,N/A,N/A,0
tsv2-runtime,160002,326667,18096,7339.318,717.583,113,723.9,N/A,N/A,0
sprefa-engine-rs,402,696,180,5.173,1.379,64,8.5,N/A,N/A,0
sprefa-engine-rs,12002,24096,1715,165.728,56.698,76,63.1,N/A,N/A,0
sprefa-engine-rs,160002,326667,18096,2097.686,1033.193,88,496.4,N/A,N/A,0
pglite-query,402,696,180,10.268,2.123,N/A,1068.1,N/A,N/A,38.125
pglite-query,12002,24096,1715,62.612,29.276,N/A,1050.7,N/A,N/A,39.328
pglite-query,160002,326667,18096,813.527,445.474,N/A,1369.5,N/A,N/A,87.024
native-postgres-query,402,696,180,7.233,3.034,N/A,161.5,N/A,N/A,7.420
native-postgres-query,12002,24096,1715,39.776,19.700,N/A,220.3,N/A,N/A,8.623
native-postgres-query,160002,326667,18096,510.481,252.409,N/A,467.8,N/A,N/A,24.318
