engine,nodes,samples,setup_min_ms,setup_median_ms,setup_max_ms,retract_min_ms,retract_median_ms,retract_max_ms,rss_min_mb,rss_median_mb,rss_max_mb
differential-dataflow,402,5,0.601,4.215,4.36,0.307,0.311,0.342,4,4.2,4.3
differential-dataflow,12002,5,7.674,7.855,7.969,2.591,2.593,2.668,8.7,8.7,8.7
differential-dataflow,160002,5,109.384,109.638,110.767,28.947,29.306,30.241,73.7,75.2,83.4
native-postgres-query,402,5,6.82,7.117,7.243,2.852,2.949,3.052,156,160.2,161.5
native-postgres-query,12002,5,37.81,37.951,39.776,19.022,19.669,20.082,219.5,220.7,221.1
native-postgres-query,160002,5,471.333,513.407,525.276,241.759,246.357,252.409,467.8,480.4,488.1
pglite-query,402,5,10.268,10.423,11.785,2.123,2.174,2.251,1051,1068.1,1073.1
pglite-query,12002,5,62.069,62.776,62.954,29.008,29.264,29.484,1041,1048.9,1068.6
pglite-query,160002,5,803.629,811.091,821.61,439.898,442.891,445.474,1353.5,1359.7,1381.3
sprefa-engine-rs,402,5,5.052,5.173,6.184,1.379,1.411,1.469,8.5,8.5,8.8
sprefa-engine-rs,12002,5,162.611,165.728,174.154,56.399,57.729,59.689,57.4,61.5,66.5
sprefa-engine-rs,160002,5,2097.686,2123.878,2230.118,1033.193,1056.267,1078.669,496.4,513.4,542.7
sqlite-count-scc,402,5,2.198,2.362,7.205,0.78,0.79,0.92,5.9,6.2,6.3
sqlite-count-scc,12002,5,22.146,22.46,22.557,20.351,20.677,21.019,13.4,13.8,15
sqlite-count-scc,160002,5,312.682,316.626,318.138,305.918,307.445,308.156,110.5,119.1,129.4
sqlite-dred-cte,402,5,4.238,4.902,5.201,0.767,0.802,0.825,6.6,6.6,6.8
sqlite-dred-cte,12002,5,22.346,22.572,23.54,29.258,30.658,31.126,13.5,14.2,15.9
sqlite-dred-cte,160002,5,310.081,314.863,316.779,426.872,432.373,436.015,119.6,125.2,133.5
sqlite-dred-loop,402,5,4.421,4.614,4.798,0.934,0.976,1.005,6.5,6.6,6.9
sqlite-dred-loop,12002,5,22.355,22.595,23.08,20.745,21.371,21.44,13.4,14.2,15.1
sqlite-dred-loop,160002,5,312.412,315.751,318.918,306.632,308.212,310.747,110.7,119.4,125.3
sqlite-signed-delta-v2,402,5,2.477,4.384,4.948,0.4,0.406,0.477,6.2,6.5,6.8
sqlite-signed-delta-v2,12002,5,22.231,22.644,22.835,13.092,13.379,13.485,13.3,13.6,13.8
sqlite-signed-delta-v2,160002,5,314.027,317.703,326.355,185.4,189.453,191.608,125.1,130.6,146.4
swi-incr,402,5,1,1,1,1,1,1,12.86,12.97,13.23
swi-incr,12002,5,73,74,77,56,59,63,46.45,47.28,48.77
swi-incr,160002,5,1111,1133,1157,1148,1163,1185,563.11,601.92,666.05
tsv2-runtime,402,5,14.711,15.005,15.847,3.659,3.83,4.01,140.8,146.8,149.2
tsv2-runtime,12002,5,297.072,302.153,314.945,46.078,46.339,47.429,189.1,192,192.9
tsv2-runtime,160002,5,7302.168,7325.148,7438.247,713.982,717.583,747.709,723.9,731.9,750.5
