engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
differential-dataflow,402,696,180,4.215,0.311,180,4.2,N/A,N/A,N/A
differential-dataflow,12002,24096,1715,7.855,2.593,1715,8.7,N/A,N/A,N/A
differential-dataflow,160002,326667,18096,109.638,29.306,18096,75.2,N/A,N/A,N/A
native-postgres-query,402,696,180,7.117,2.949,N/A,160.2,N/A,N/A,7.42
native-postgres-query,12002,24096,1715,37.951,19.669,N/A,220.7,N/A,N/A,8.623
native-postgres-query,160002,326667,18096,513.407,246.357,N/A,480.4,N/A,N/A,24.318
pglite-query,402,696,180,10.423,2.174,N/A,1068.1,N/A,N/A,38.125
pglite-query,12002,24096,1715,62.776,29.264,N/A,1048.9,N/A,N/A,39.328
pglite-query,160002,326667,18096,811.091,442.891,N/A,1359.7,N/A,N/A,87.024
sprefa-engine-rs,402,696,180,5.173,1.411,64,8.5,N/A,N/A,0
sprefa-engine-rs,12002,24096,1715,165.728,57.729,76,61.5,N/A,N/A,0
sprefa-engine-rs,160002,326667,18096,2123.878,1056.267,88,513.4,N/A,N/A,0
sqlite-count-scc,402,696,180,2.362,0.79,21,6.2,0.11,0.29,0.07
sqlite-count-scc,12002,24096,1715,22.46,20.677,39,13.8,0.17,1.34,0.8
sqlite-count-scc,160002,326667,18096,316.626,307.445,51,119.1,1.24,14.72,10.39
sqlite-dred-cte,402,696,180,4.902,0.802,6,6.6,0.11,0.29,0.07
sqlite-dred-cte,12002,24096,1715,22.572,30.658,6,14.2,0.17,1.56,0.8
sqlite-dred-cte,160002,326667,18096,314.863,432.373,6,125.2,1.24,18.37,10.39
sqlite-dred-loop,402,696,180,4.614,0.976,31,6.6,0.11,0.29,0.07
sqlite-dred-loop,12002,24096,1715,22.595,21.371,53,14.2,0.17,1.34,0.8
sqlite-dred-loop,160002,326667,18096,315.751,308.212,67,119.4,1.24,14.72,10.39
sqlite-signed-delta-v2,402,696,180,4.384,0.406,3,6.5,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,24096,1715,22.644,13.379,3,13.6,0.17,1.38,0.8
sqlite-signed-delta-v2,160002,326667,18096,317.703,189.453,3,130.6,1.24,15.32,10.39
swi-incr,402,696,180,1,1,0,12.97,N/A,N/A,N/A
swi-incr,12002,24096,1715,74,59,0,47.28,N/A,N/A,N/A
swi-incr,160002,326667,18096,1133,1163,0,601.92,N/A,N/A,N/A
tsv2-runtime,402,696,180,15.005,3.83,98,146.8,N/A,N/A,0
tsv2-runtime,12002,24096,1715,302.153,46.339,107,192,N/A,N/A,0
tsv2-runtime,160002,326667,18096,7325.148,717.583,113,731.9,N/A,N/A,0
