epoch_seconds	engine	scale	available_percent
1788840973	swi-incr	2x200	59
1788840973	swi-incr	6x2000	59
1788840974	swi-incr	8x20000	59
1788840977	differential-dataflow	2x200	59
1788840978	differential-dataflow	6x2000	59
1788840978	differential-dataflow	8x20000	59
1788840978	sqlite-count	2x200	59
1788840978	sqlite-count	6x2000	59
1788840978	sqlite-count	8x20000	59
1788840978	sqlite-count-scc	2x200	59
1788840978	sqlite-count-scc	6x2000	60
1788840978	sqlite-count-scc	8x20000	59
1788840979	sqlite-dred-loop	2x200	59
1788840979	sqlite-dred-loop	6x2000	59
1788840979	sqlite-dred-loop	8x20000	59
1788840980	sqlite-dred-cte	2x200	59
1788840980	sqlite-dred-cte	6x2000	59
1788840981	sqlite-dred-cte	8x20000	59
1788840982	sqlite-signed-delta-v2	2x200	61
1788840982	sqlite-signed-delta-v2	6x2000	61
1788840982	sqlite-signed-delta-v2	8x20000	59
1788840983	tsv2-runtime	2x200	60
1788840983	tsv2-runtime	6x2000	59
1788840984	tsv2-runtime	8x20000	59
1788840993	sprefa-engine-rs	2x200	59
1788840993	sprefa-engine-rs	6x2000	59
1788840993	sprefa-engine-rs	8x20000	59
1788840997	pglite-query	2x200	59
1788840998	pglite-query	6x2000	60
1788840999	pglite-query	8x20000	60
1788841003	native-postgres-query	2x200	60
1788841003	native-postgres-query	6x2000	60
1788841003	native-postgres-query	8x20000	60
1788841005	pglite-pg_ivm	2x200	60
1788841005	pglite-pg_ivm	6x2000	60
1788841005	pglite-pg_ivm	8x20000	60
1788841005	native-postgres-pg_ivm	2x200	60
1788841005	native-postgres-pg_ivm	6x2000	60
1788841005	native-postgres-pg_ivm	8x20000	60
