engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
swi-incr,402,696,180,1,1,0,12.97,N/A,N/A,N/A
swi-incr,12002,24096,1715,73,56,0,47.83,N/A,N/A,N/A
swi-incr,160002,326667,18096,1151,1176,0,616.02,N/A,N/A,N/A
differential-dataflow,402,696,180,0.606,0.309,180,4.0,N/A,N/A,N/A
differential-dataflow,12002,24096,1715,7.724,2.580,1715,8.7,N/A,N/A,N/A
differential-dataflow,160002,326667,18096,107.010,28.488,18096,73.7,N/A,N/A,N/A
sqlite-count-scc,402,696,180,2.148,0.790,21,6.0,0.11,0.29,0.07
sqlite-count-scc,12002,24096,1715,22.371,20.361,39,13.0,0.17,1.34,0.80
sqlite-count-scc,160002,326667,18096,317.042,306.553,51,107.3,1.24,14.72,10.39
sqlite-dred-loop,402,696,180,4.211,1.050,31,6.6,0.11,0.29,0.07
sqlite-dred-loop,12002,24096,1715,22.545,21.392,53,15.0,0.17,1.34,0.80
sqlite-dred-loop,160002,326667,18096,311.637,306.084,67,120.9,1.24,14.72,10.39
sqlite-dred-cte,402,696,180,4.989,0.801,6,6.6,0.11,0.29,0.07
sqlite-dred-cte,12002,24096,1715,22.408,29.635,6,13.9,0.17,1.56,0.80
sqlite-dred-cte,160002,326667,18096,312.695,433.276,6,137.9,1.24,18.37,10.39
sqlite-signed-delta-v2,402,696,180,4.614,0.412,3,6.6,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,24096,1715,22.936,13.184,3,14.4,0.17,1.38,0.80
sqlite-signed-delta-v2,160002,326667,18096,319.167,184.896,3,133.0,1.24,15.32,10.39
tsv2-runtime,402,696,180,14.982,3.817,98,144.6,N/A,N/A,0
tsv2-runtime,12002,24096,1715,298.912,46.102,107,191.6,N/A,N/A,0
tsv2-runtime,160002,326667,18096,7232.580,707.015,113,749.0,N/A,N/A,0
sprefa-engine-rs,402,696,180,5.051,1.384,64,8.5,N/A,N/A,0
sprefa-engine-rs,12002,24096,1715,162.325,56.754,76,63.1,N/A,N/A,0
sprefa-engine-rs,160002,326667,18096,2099.343,1040.565,88,509.8,N/A,N/A,0
pglite-query,402,696,180,10.540,2.214,N/A,1043.8,N/A,N/A,38.125
pglite-query,12002,24096,1715,63.970,28.891,N/A,1043.6,N/A,N/A,39.328
pglite-query,160002,326667,18096,951.260,525.049,N/A,1359.9,N/A,N/A,87.024
native-postgres-query,402,696,180,7.377,2.879,N/A,160.5,N/A,N/A,7.420
native-postgres-query,12002,24096,1715,38.692,19.842,N/A,219.9,N/A,N/A,8.623
native-postgres-query,160002,326667,18096,514.614,239.475,N/A,489.0,N/A,N/A,24.318
