epoch_seconds	engine	scale	available_percent
1788840778	sqlite-count-scc	2x200	58
1788840779	sqlite-count-scc	6x2000	58
1788840779	sqlite-count-scc	8x20000	58
1788840780	sqlite-dred-loop	2x200	58
1788840780	sqlite-dred-loop	6x2000	58
1788840780	sqlite-dred-loop	8x20000	58
1788840781	sqlite-dred-cte	2x200	59
1788840781	sqlite-dred-cte	6x2000	59
1788840781	sqlite-dred-cte	8x20000	58
1788840782	sqlite-signed-delta-v2	2x200	58
1788840782	sqlite-signed-delta-v2	6x2000	58
1788840782	sqlite-signed-delta-v2	8x20000	58
1788840783	tsv2-runtime	2x200	58
1788840783	tsv2-runtime	6x2000	58
1788840784	tsv2-runtime	8x20000	58
1788840792	sprefa-engine-rs	2x200	58
1788840792	sprefa-engine-rs	6x2000	58
1788840793	sprefa-engine-rs	8x20000	58
1788840796	pglite-query	2x200	58
1788840797	pglite-query	6x2000	58
1788840798	pglite-query	8x20000	58
1788840802	native-postgres-query	2x200	58
1788840802	native-postgres-query	6x2000	58
1788840802	native-postgres-query	8x20000	58
1788840803	pglite-pg_ivm	2x200	59
1788840803	pglite-pg_ivm	6x2000	59
1788840803	pglite-pg_ivm	8x20000	59
1788840803	native-postgres-pg_ivm	2x200	59
1788840803	native-postgres-pg_ivm	6x2000	59
1788840803	native-postgres-pg_ivm	8x20000	59
1788840803	swi-incr	2x200	59
1788840804	swi-incr	6x2000	59
1788840804	swi-incr	8x20000	58
1788840807	differential-dataflow	2x200	58
1788840807	differential-dataflow	6x2000	58
1788840807	differential-dataflow	8x20000	58
1788840808	sqlite-count	2x200	58
1788840808	sqlite-count	6x2000	58
1788840808	sqlite-count	8x20000	58
