engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
sqlite-count,402,667,200,2.325,0.602,23,5.8,0.11,0.29,0.07
sqlite-count,12002,22667,2000,20.540,5.087,23,12.8,0.21,1.34,0.79
sqlite-count,160002,306667,20000,292.805,51.411,23,118.5,1.22,12.93,10.25
sqlite-count-scc,402,667,200,4.731,0.798,15,6.9,0.11,0.29,0.07
sqlite-count-scc,12002,22667,2000,21.265,19.936,39,13.1,0.21,1.34,0.79
sqlite-count-scc,160002,306667,20000,288.949,282.548,51,119.1,1.22,14.32,10.25
sqlite-dred-loop,402,667,200,5.153,0.912,25,6.5,0.11,0.29,0.07
sqlite-dred-loop,12002,22667,2000,21.181,19.382,53,13.4,0.21,1.34,0.79
sqlite-dred-loop,160002,306667,20000,292.360,277.809,67,119.5,1.22,14.32,10.25
sqlite-dred-cte,402,667,200,4.336,0.752,6,6.4,0.11,0.29,0.07
sqlite-dred-cte,12002,22667,2000,21.719,29.173,6,14.4,0.21,1.53,0.79
sqlite-dred-cte,160002,306667,20000,292.730,408.825,6,139.5,1.22,18.20,10.25
sqlite-signed-delta-v2,402,667,200,5.484,0.403,3,6.3,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,22667,2000,21.909,12.393,3,13.5,0.21,1.35,0.79
sqlite-signed-delta-v2,160002,306667,20000,292.504,177.069,3,128.8,1.22,15.15,10.25
tsv2-runtime,402,667,200,14.398,3.567,92,145.2,N/A,N/A,0
tsv2-runtime,12002,22667,2000,285.600,45.392,107,172.1,N/A,N/A,0
tsv2-runtime,160002,306667,20000,6724.373,695.309,113,719.8,N/A,N/A,0
sprefa-engine-rs,402,667,200,4.889,1.049,52,8.4,N/A,N/A,0
sprefa-engine-rs,12002,22667,2000,154.211,53.565,76,60.2,N/A,N/A,0
sprefa-engine-rs,160002,306667,20000,1991.847,985.323,88,476.6,N/A,N/A,0
pglite-query,402,667,200,10.153,1.937,N/A,1049.6,N/A,N/A,38.117
pglite-query,12002,22667,2000,58.460,27.194,N/A,1065.6,N/A,N/A,39.274
pglite-query,160002,306667,20000,721.833,413.859,N/A,1361.1,N/A,N/A,70.274
native-postgres-query,402,667,200,5.837,1.928,N/A,144.9,N/A,N/A,7.412
native-postgres-query,12002,22667,2000,35.981,18.345,N/A,218.4,N/A,N/A,8.568
native-postgres-query,160002,306667,20000,471.521,231.033,N/A,494.1,N/A,N/A,23.568
swi-incr,402,667,200,1,1,0,12.73,N/A,N/A,N/A
swi-incr,12002,22667,2000,69,55,0,46.97,N/A,N/A,N/A
swi-incr,160002,306667,20000,1052,1132,0,627.14,N/A,N/A,N/A
differential-dataflow,402,667,200,0.602,0.249,200,4.0,N/A,N/A,N/A
differential-dataflow,12002,22667,2000,6.634,2.244,2000,8.5,N/A,N/A,N/A
differential-dataflow,160002,306667,20000,92.058,25.853,20000,72.4,N/A,N/A,N/A
