engine,nodes,samples,setup_min_ms,setup_median_ms,setup_max_ms,retract_min_ms,retract_median_ms,retract_max_ms,rss_min_mb,rss_median_mb,rss_max_mb
differential-dataflow,402,5,0.567,0.587,0.602,0.24,0.241,0.249,4,4,4
differential-dataflow,12002,5,6.571,6.727,6.81,2.244,2.291,2.305,8.5,8.5,8.5
differential-dataflow,160002,5,92.025,93.373,95.008,25.742,25.825,26.15,71.4,72.4,88.4
native-postgres-query,402,5,5.331,5.483,5.837,1.796,1.847,1.928,140.7,144.6,144.9
native-postgres-query,12002,5,34.63,35.648,35.981,18,18.345,19.145,217.5,218.6,219.8
native-postgres-query,160002,5,458.935,481.055,525.806,226.245,231.033,237.739,473.3,492.5,502.7
pglite-query,402,5,9.633,9.971,10.956,1.727,1.921,2.335,1035.1,1053.9,1083.5
pglite-query,12002,5,57.385,58.16,59.152,27.194,27.588,27.925,1046.6,1057.9,1107.1
pglite-query,160002,5,714.675,721.141,723.622,413.859,416.78,418.595,1353.9,1362.5,1391.5
sprefa-engine-rs,402,5,4.852,4.907,4.934,1.046,1.054,1.07,8.4,8.4,8.4
sprefa-engine-rs,12002,5,153.858,155.65,162.129,53.565,53.833,55.288,59.3,60.3,64.1
sprefa-engine-rs,160002,5,1969.35,1977.304,1991.847,985.323,990.015,994.254,441.1,473.7,481.1
sqlite-count-scc,402,5,2.373,4.818,4.887,0.795,0.798,0.808,6,6.7,6.9
sqlite-count-scc,12002,5,20.531,21.159,21.548,18.731,19.49,19.936,13.1,13.6,14.8
sqlite-count-scc,160002,5,288.949,290.239,295.803,277.066,278.879,282.548,112,118.9,129.6
sqlite-count,402,5,2.19,2.404,2.512,0.586,0.718,0.731,5.8,6.1,6.3
sqlite-count,12002,5,20.441,20.599,21.038,5.039,5.059,5.141,12.6,12.8,13.5
sqlite-count,160002,5,291.591,295.404,296.887,51.252,51.399,51.996,115.3,118.5,120.2
sqlite-dred-cte,402,5,3.99,4.313,4.552,0.719,0.75,0.784,6.4,6.5,6.6
sqlite-dred-cte,12002,5,21.038,21.261,21.719,28.019,28.783,29.173,13,14.4,14.8
sqlite-dred-cte,160002,5,287.877,290.388,292.73,402.393,404.716,408.825,116,130.8,139.5
sqlite-dred-loop,402,5,3.809,4.337,5.153,0.793,0.891,0.926,6.5,6.5,7
sqlite-dred-loop,12002,5,21.019,21.274,21.363,19.249,19.796,19.899,13.4,14,15.1
sqlite-dred-loop,160002,5,290.924,292.113,293.791,277.508,278.194,281.952,104.4,108.1,119.5
sqlite-signed-delta-v2,402,5,2.442,4.557,5.772,0.37,0.389,0.454,6.3,6.4,6.8
sqlite-signed-delta-v2,12002,5,20.629,21.291,21.909,12.205,12.393,12.716,13.2,13.5,13.6
sqlite-signed-delta-v2,160002,5,291.124,292.504,296.69,177.069,179.158,184.093,114.8,124.2,128.8
swi-incr,402,5,1,1,1,1,1,1,12.66,12.73,12.78
swi-incr,12002,5,67,67,69,55,55,64,46.45,46.97,48.45
swi-incr,160002,5,1020,1022,1052,1078,1105,1136,604.11,627.14,648.47
tsv2-runtime,402,5,14.398,14.469,14.626,3.425,3.494,3.67,142.1,143.1,151.5
tsv2-runtime,12002,5,280.218,285.405,286.214,44.508,45.392,47.203,172.1,173.8,183
tsv2-runtime,160002,5,6619.922,6671.595,6724.373,678.385,681.254,695.309,718.1,724.2,724.9
