engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
differential-dataflow,402,667,200,0.587,0.241,200,4,N/A,N/A,N/A
differential-dataflow,12002,22667,2000,6.727,2.291,2000,8.5,N/A,N/A,N/A
differential-dataflow,160002,306667,20000,93.373,25.825,20000,72.4,N/A,N/A,N/A
native-postgres-query,402,667,200,5.483,1.847,N/A,144.6,N/A,N/A,7.412
native-postgres-query,12002,22667,2000,35.648,18.345,N/A,218.6,N/A,N/A,8.568
native-postgres-query,160002,306667,20000,481.055,231.033,N/A,492.5,N/A,N/A,23.568
pglite-query,402,667,200,9.971,1.921,N/A,1053.9,N/A,N/A,38.117
pglite-query,12002,22667,2000,58.16,27.588,N/A,1057.9,N/A,N/A,39.274
pglite-query,160002,306667,20000,721.141,416.78,N/A,1362.5,N/A,N/A,70.274
sprefa-engine-rs,402,667,200,4.907,1.054,52,8.4,N/A,N/A,0
sprefa-engine-rs,12002,22667,2000,155.65,53.833,76,60.3,N/A,N/A,0
sprefa-engine-rs,160002,306667,20000,1977.304,990.015,88,473.7,N/A,N/A,0
sqlite-count-scc,402,667,200,4.818,0.798,15,6.7,0.11,0.29,0.07
sqlite-count-scc,12002,22667,2000,21.159,19.49,39,13.6,0.21,1.34,0.79
sqlite-count-scc,160002,306667,20000,290.239,278.879,51,118.9,1.22,14.32,10.25
sqlite-count,402,667,200,2.404,0.718,23,6.1,0.11,0.29,0.07
sqlite-count,12002,22667,2000,20.599,5.059,23,12.8,0.21,1.34,0.79
sqlite-count,160002,306667,20000,295.404,51.399,23,118.5,1.22,12.93,10.25
sqlite-dred-cte,402,667,200,4.313,0.75,6,6.5,0.11,0.29,0.07
sqlite-dred-cte,12002,22667,2000,21.261,28.783,6,14.4,0.21,1.53,0.79
sqlite-dred-cte,160002,306667,20000,290.388,404.716,6,130.8,1.22,18.2,10.25
sqlite-dred-loop,402,667,200,4.337,0.891,25,6.5,0.11,0.29,0.07
sqlite-dred-loop,12002,22667,2000,21.274,19.796,53,14,0.21,1.34,0.79
sqlite-dred-loop,160002,306667,20000,292.113,278.194,67,108.1,1.22,14.32,10.25
sqlite-signed-delta-v2,402,667,200,4.557,0.389,3,6.4,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,22667,2000,21.291,12.393,3,13.5,0.21,1.35,0.79
sqlite-signed-delta-v2,160002,306667,20000,292.504,179.158,3,124.2,1.22,15.15,10.25
swi-incr,402,667,200,1,1,0,12.73,N/A,N/A,N/A
swi-incr,12002,22667,2000,67,55,0,46.97,N/A,N/A,N/A
swi-incr,160002,306667,20000,1022,1105,0,627.14,N/A,N/A,N/A
tsv2-runtime,402,667,200,14.469,3.494,92,143.1,N/A,N/A,0
tsv2-runtime,12002,22667,2000,285.405,45.392,107,173.8,N/A,N/A,0
tsv2-runtime,160002,306667,20000,6671.595,681.254,113,724.2,N/A,N/A,0
