epoch_seconds	engine	scale	available_percent
1788840746	swi-incr	2x200	58
1788840746	swi-incr	6x2000	58
1788840747	swi-incr	8x20000	58
1788840750	differential-dataflow	2x200	58
1788840750	differential-dataflow	6x2000	58
1788840750	differential-dataflow	8x20000	58
1788840750	sqlite-count	2x200	58
1788840750	sqlite-count	6x2000	58
1788840751	sqlite-count	8x20000	58
1788840751	sqlite-count-scc	2x200	58
1788840751	sqlite-count-scc	6x2000	58
1788840751	sqlite-count-scc	8x20000	58
1788840752	sqlite-dred-loop	2x200	58
1788840752	sqlite-dred-loop	6x2000	58
1788840753	sqlite-dred-loop	8x20000	58
1788840753	sqlite-dred-cte	2x200	59
1788840754	sqlite-dred-cte	6x2000	59
1788840754	sqlite-dred-cte	8x20000	59
1788840755	sqlite-signed-delta-v2	2x200	58
1788840755	sqlite-signed-delta-v2	6x2000	58
1788840755	sqlite-signed-delta-v2	8x20000	58
1788840756	tsv2-runtime	2x200	58
1788840756	tsv2-runtime	6x2000	58
1788840757	tsv2-runtime	8x20000	58
1788840765	sprefa-engine-rs	2x200	58
1788840765	sprefa-engine-rs	6x2000	58
1788840766	sprefa-engine-rs	8x20000	58
1788840769	pglite-query	2x200	58
1788840770	pglite-query	6x2000	58
1788840771	pglite-query	8x20000	58
1788840775	native-postgres-query	2x200	58
1788840775	native-postgres-query	6x2000	58
1788840775	native-postgres-query	8x20000	58
1788840776	pglite-pg_ivm	2x200	58
1788840776	pglite-pg_ivm	6x2000	58
1788840776	pglite-pg_ivm	8x20000	58
1788840776	native-postgres-pg_ivm	2x200	58
1788840776	native-postgres-pg_ivm	6x2000	58
1788840776	native-postgres-pg_ivm	8x20000	58
