engine,nodes,edges,killed,setup_ms,retract_ms,ops,rss_mb,host_peak_mb,sqlite_hw_mb,db_mb
swi-incr,402,667,200,1,1,0,12.78,N/A,N/A,N/A
swi-incr,12002,22667,2000,68,55,0,46.38,N/A,N/A,N/A
swi-incr,160002,306667,20000,1006,1068,0,554.73,N/A,N/A,N/A
differential-dataflow,402,667,200,0.605,0.241,200,4.0,N/A,N/A,N/A
differential-dataflow,12002,22667,2000,6.589,2.266,2000,8.5,N/A,N/A,N/A
differential-dataflow,160002,306667,20000,94.785,27.590,20000,87.4,N/A,N/A,N/A
sqlite-count,402,667,200,2.121,0.593,23,5.8,0.11,0.29,0.07
sqlite-count,12002,22667,2000,20.689,5.106,23,12.8,0.21,1.34,0.79
sqlite-count,160002,306667,20000,299.343,51.031,23,112.4,1.22,12.93,10.25
sqlite-count-scc,402,667,200,4.461,0.819,15,6.6,0.11,0.29,0.07
sqlite-count-scc,12002,22667,2000,21.453,19.286,39,14.4,0.21,1.34,0.79
sqlite-count-scc,160002,306667,20000,293.214,277.665,51,113.3,1.22,14.32,10.25
sqlite-dred-loop,402,667,200,5.067,0.853,25,6.8,0.11,0.29,0.07
sqlite-dred-loop,12002,22667,2000,21.946,19.852,53,13.4,0.21,1.34,0.79
sqlite-dred-loop,160002,306667,20000,288.493,277.377,67,107.2,1.22,14.32,10.25
sqlite-dred-cte,402,667,200,4.740,0.779,6,6.7,0.11,0.29,0.07
sqlite-dred-cte,12002,22667,2000,22.117,29.077,6,15.1,0.21,1.53,0.79
sqlite-dred-cte,160002,306667,20000,290.926,404.579,6,130.9,1.22,18.20,10.25
sqlite-signed-delta-v2,402,667,200,4.187,0.376,3,6.3,0.11,0.29,0.07
sqlite-signed-delta-v2,12002,22667,2000,21.443,13.240,3,13.2,0.21,1.35,0.79
sqlite-signed-delta-v2,160002,306667,20000,292.994,178.402,3,124.7,1.22,15.15,10.25
tsv2-runtime,402,667,200,14.646,3.551,92,150.0,N/A,N/A,0
tsv2-runtime,12002,22667,2000,282.302,44.554,107,174.1,N/A,N/A,0
tsv2-runtime,160002,306667,20000,6591.145,678.417,113,719.8,N/A,N/A,0
sprefa-engine-rs,402,667,200,10.472,1.952,52,9.4,N/A,N/A,0
sprefa-engine-rs,12002,22667,2000,158.771,56.933,76,56.3,N/A,N/A,0
sprefa-engine-rs,160002,306667,20000,1970.950,980.620,88,458.0,N/A,N/A,0
pglite-query,402,667,200,10.057,2.045,N/A,1056.7,N/A,N/A,38.117
pglite-query,12002,22667,2000,57.621,28.474,N/A,1040.9,N/A,N/A,39.274
pglite-query,160002,306667,20000,715.066,411.752,N/A,1362.8,N/A,N/A,70.274
native-postgres-query,402,667,200,5.938,1.742,N/A,144.5,N/A,N/A,7.412
native-postgres-query,12002,22667,2000,35.987,18.257,N/A,219.2,N/A,N/A,8.568
native-postgres-query,160002,306667,20000,516.643,228.133,N/A,493.1,N/A,N/A,23.568
