v5_rev	0b66368c367d6ae679fcec3e7e21784e95578313
v5_program	examples/version-skew.dl
v5_program_blob	a9fa19328b7962e995f79b6537405f876893f903
v5_binary_sha256	239720d5f1d01e849d21f6ed94c9354c3bd7d7233f578774840da0065d4a4b71
corpus_repos	4
corpus_sha256	52303875f3dad340a8c17b785c3c64c0c91ec966801f47ded2606c067f499d08
captured_utc	2026-08-03T12:37:40Z
regenerate	MULTIREPO_V5_WRITE=1 bash goldens/multirepo_crawl/2_gate.sh
rows_dep_pin	8
rows_skewed	2
rows_skew_row	7
rows_skew_width	2
rows_dep_ver	3
